Contract ID,SAP Code,Sell Price
405/406 0424,1000185,60.23
405/406 0424,1000206,22.26
405/406 0424,1000221,52.01
405/406 0424,1001736,5.56
405/406 0424,1001806,108.28
405/406 0424,1001865,22.5
405/406 0424,1002501,33.54
405/406 0424,1002502,0.72
405/406 0424,1002511,19.74
405/406 0424,1003055,4.73
405/406 0424,1003129,9.6
405/406 0424,1003240,12.25
405/406 0424,1003357,53.23
405/406 0424,1012065,141.88
405/406 0424,1015494,5.57
405/406 0424,1016343,38.51
405/406 0424,1033992,61.84
405/406 0424,1034084,24.4
405/406 0424,1034116,69.33
405/406 0424,1034117,6.22
405/406 0424,1034130,7.78
405/406 0424,1034280,6.22
405/406 0424,1034432,6.22
405/406 0424,1034527,6.22
405/406 0424,1048108,18.08
405/406 0424,1058996,86.32
405/406 0424,1059500,111.5
405/406 0424,1060123,41.26
405/406 0424,1060127,61.69
405/406 0424,1060252,43.55
405/406 0424,1069751,47.8
405/406 0424,1072724,2.44
405/406 0424,1079746,8.68
405/406 0424,1080819,193.72
405/406 0424,1083909,0.86
405/406 0424,1115097,3.19
405/406 0424,1115113,5.8
405/406 0424,1115382,14.56
405/406 0424,1115608,10.7
405/406 0424,1115703,44.45
405/406 0424,1115713,18.76
405/406 0424,1115732,31.22
405/406 0424,1115802,9.38
405/406 0424,1123726,3.61
405/406 0424,1124725,15.02
405/406 0424,1124901,25.78
405/406 0424,1163361,19
405/406 0424,1169246,6.22
405/406 0424,1177267,10.55
405/406 0424,1217656,30.52
405/406 0424,1222387,4.55
405/406 0424,1223554,31.1
405/406 0424,1223555,31.1
405/406 0424,1223556,31.1
405/406 0424,1223557,31.1
405/406 0424,1233999,19.74
405/406 0424,1251954,37.31
405/406 0424,1256288,94.92
405/406 0424,1278814,34.98
405/406 0424,1310964,41.04
405/406 0424,1311013,44.36
405/406 0424,1314260,21.18
405/406 0424,1323721,12.05
405/406 0424,1324436,112.58
405/406 0424,1326373,83.56
405/406 0424,1339559,65.8
405/406 0424,1341461,62.57
405/406 0424,1341590,57.22
405/406 0424,1342166,60.53
405/406 0424,1348099,25.88
405/406 0424,1383531,30.83
405/406 0424,1383533,44.17
405/406 0424,1390118,38.56
405/406 0424,1003772,92.26
405/406 0424,1010553,64.11
405/406 0424,1015105,40.05
405/406 0424,1015118,54.97
405/406 0424,1018444,52.95
405/406 0424,1021209,35.53
405/406 0424,1021230,29.58
405/406 0424,1021250,0
405/406 0424,1021250,26.53
405/406 0424,1023210,54.24
405/406 0424,1023645,25.85
405/406 0424,1023646,22.19
405/406 0424,1024270,42.09
405/406 0424,1024424,27.37
405/406 0424,1024808,47.07
405/406 0424,1025733,41.21
405/406 0424,1025742,39.71
405/406 0424,1029146,53.38
405/406 0424,1040079,98.07
405/406 0424,1042756,17.07
405/406 0424,1050345,61.81
405/406 0424,1069947,4.12
405/406 0424,1070192,24.74
405/406 0424,1077359,4.42
405/406 0424,1142710,51.83
405/406 0424,1143877,38.18
405/406 0424,1146069,144.01
405/406 0424,1154215,58.81
405/406 0424,1188344,28.8
405/406 0424,1198973,26.24
405/406 0424,1207582,225.27
405/406 0424,1207961,89.5
405/406 0424,1220796,48.87
405/406 0424,1240471,63.35
405/406 0424,1240480,51.81
405/406 0424,1241028,215.22
405/406 0424,1243071,163.46
405/406 0424,1251665,59.4
405/406 0424,1253015,17
405/406 0424,1265187,14.62
405/406 0424,1283015,61.01
405/406 0424,1293424,95.72
405/406 0424,1296497,94.09
405/406 0424,1297830,143.32
405/406 0424,1332717,242.09
405/406 0424,1334875,47.9
405/406 0424,1335995,143.32
405/406 0424,1335997,163.46
405/406 0424,1349106,71.64
405/406 0424,1003439,4.14
405/406 0424,1005005,18
405/406 0424,1032871,23.07
405/406 0424,1055320,21.38
405/406 0424,1072055,4.49
405/406 0424,1077873,32.89
405/406 0424,1078025,23.16
405/406 0424,1078073,50.35
405/406 0424,1078111,6.06
405/406 0424,1097666,13.82
405/406 0424,1097754,1.29
405/406 0424,1116976,36.26
405/406 0424,1125162,42.57
405/406 0424,1138687,7.59
405/406 0424,1139574,9.3
405/406 0424,1143658,6.3
405/406 0424,1148667,2.27
405/406 0424,1162275,3.37
405/406 0424,1170577,6.06
405/406 0424,1177275,7.16
405/406 0424,1178822,31.92
405/406 0424,1179838,39.5
405/406 0424,1181141,51.21
405/406 0424,1213787,8.7
405/406 0424,1220757,16.22
405/406 0424,1221779,49.5
405/406 0424,1224502,33.99
405/406 0424,1225508,20.91
405/406 0424,1225509,20.91
405/406 0424,1225521,32.92
405/406 0424,1225525,20.5
405/406 0424,1225871,10.49
405/406 0424,1229156,6.38
405/406 0424,1229178,35.55
405/406 0424,1229611,82.5
405/406 0424,1231883,6.3
405/406 0424,1232935,66.8
405/406 0424,1232936,57.5
405/406 0424,1236518,13.74
405/406 0424,1240236,1.71
405/406 0424,1242567,15.14
405/406 0424,1243128,4.21
405/406 0424,1246135,3.19
405/406 0424,1253304,6.81
405/406 0424,1255638,29.51
405/406 0424,1255735,28.04
405/406 0424,1255739,43.68
405/406 0424,1255742,31.6
405/406 0424,1255743,28.07
405/406 0424,1255744,42.9
405/406 0424,1261294,50.47
405/406 0424,1261568,88.68
405/406 0424,1272520,20.13
405/406 0424,1273408,24.02
405/406 0424,1273527,50.63
405/406 0424,1275329,6.16
405/406 0424,1284096,28.45
405/406 0424,1291180,43.05
405/406 0424,1292489,1.6
405/406 0424,1294451,39.55
405/406 0424,1298559,1.6
405/406 0424,1300905,46.87
405/406 0424,1301328,1.95
405/406 0424,1319413,22.26
405/406 0424,1331501,59.7
405/406 0424,1351075,23.57
405/406 0424,1352531,4.91
405/406 0424,1389409,33.38
405/406 0424,1014331,47.35
405/406 0424,1015367,7.55
405/406 0424,1015483,97.6
405/406 0424,1015567,4.75
405/406 0424,1019647,41.2
405/406 0424,1022410,17.51
405/406 0424,1115255,4.42
405/406 0424,1115741,17.92
405/406 0424,1115903,217.39
405/406 0424,1116202,91.5
405/406 0424,1116443,18.93
405/406 0424,1124537,2.12
405/406 0424,1124538,2.62
405/406 0424,1124563,3.81
405/406 0424,1124564,28.74
405/406 0424,1124922,9.69
405/406 0424,1138174,8.08
405/406 0424,1138327,10.12
405/406 0424,1138328,6.52
405/406 0424,1138329,7.79
405/406 0424,1138334,4.01
405/406 0424,1138335,5.41
405/406 0424,1138398,8.79
405/406 0424,1138399,2.53
405/406 0424,1139860,24.16
405/406 0424,1148001,3.62
405/406 0424,1150206,9.79
405/406 0424,1151298,3
405/406 0424,1156383,8.03
405/406 0424,1167276,17.03
405/406 0424,1167277,7.95
405/406 0424,1199066,65.45
405/406 0424,1199912,224.94
405/406 0424,1199982,52.59
405/406 0424,1205176,40.35
405/406 0424,1210309,251.19
405/406 0424,1228545,144.94
405/406 0424,1244990,69.15
405/406 0424,1262357,3.05
405/406 0424,1281774,61.81
405/406 0424,1299533,3.72
405/406 0424,1307165,22.85
405/406 0424,1318000,18.64
405/406 0424,1318003,48.59
405/406 0424,1321330,68.67
405/406 0424,1347856,64.16
405/406 0424,1347857,83.7
405/406 0424,1349170,120.35
405/406 0424,1351926,229.27
405/406 0424,1352832,61.84
405/406 0424,1356079,56.65
405/406 0424,1358400,8.29
405/406 0424,1381794,6.71
405/406 0424,1013252,110.26
405/406 0424,1013751,46.87
405/406 0424,1048648,61.8
405/406 0424,1050147,44.65
405/406 0424,1050329,31.51
405/406 0424,1115270,7.07
405/406 0424,1115955,8.1
405/406 0424,1116036,66.46
405/406 0424,1116228,27.2
405/406 0424,1124608,89.96
405/406 0424,1125077,11.21
405/406 0424,1138553,308.41
405/406 0424,1139056,39.87
405/406 0424,1141405,74.19
405/406 0424,1142315,48.53
405/406 0424,1142890,124.88
405/406 0424,1199079,33.23
405/406 0424,1199910,54.41
405/406 0424,1199911,35.58
