Contract ID,SAP Code,Sell Price
405/406 0724,1034128,5.78
405/406 0724,1320761,42.78
405/406 0724,1071564,2.45
405/406 0724,1220796,52.78
405/406 0724,1240480,55.95
405/406 0724,1087025,22.29
405/406 0724,1225433,11.54
405/406 0724,1225434,20.39
405/406 0724,1225526,13.6
405/406 0724,1259151,12.75
405/406 0724,1273387,39.66
405/406 0724,1300905,46.87
405/406 0724,1389408,24.37
405/406 0724,1393341,49.13
405/406 0724,1397807,42.9
405/406 0724,1167886,21.99
405/406 0724,1199912,230.11
405/406 0724,1339584,31.66
405/406 0724,1347856,66.25
405/406 0724,1347857,86.53
405/406 0724,1351926,234.42
405/406 0724,1399689,72.77
405/406 0724,1013252,119.08
405/406 0724,1116036,66.46
405/406 0724,1124608,89.96
405/406 0724,1141405,74.19
405/406 0724,1142315,48.53
405/406 0724,1142890,124.88
405/406 0724,1199079,33.23
405/406 0724,1214203,47.3
405/406 0724,1262849,97.06
405/406 0724,1267952,124.26
405/406 0724,1299558,28.28
405/406 0724,1341831,116.85
405/406 0724,1349036,83.46
405/406 0724,1358570,38.18
405/406 0724,1019866,100.07
405/406 0724,1111314,10.62
405/406 0724,1111317,10.62
405/406 0724,1111319,10.62
405/406 0724,1111320,10.62
405/406 0724,1111321,10.62
405/406 0724,1111322,10.62
405/406 0724,1111323,10.62
405/406 0724,1115484,24.42
405/406 0724,1163482,52.7
405/406 0724,1181376,65.11
405/406 0724,1208281,73.18
405/406 0724,1222639,3.41
405/406 0724,1222640,3.41
405/406 0724,1222641,3.41
405/406 0724,1222642,3.41
405/406 0724,1222643,3.41
405/406 0724,1222644,3.41
405/406 0724,1233776,48.72
405/406 0724,1239597,3.41
405/406 0724,1258057,28.38
405/406 0724,1258059,28.38
405/406 0724,1258060,28.38
405/406 0724,1258062,28.38
405/406 0724,1258063,28.38
405/406 0724,1258064,28.38
405/406 0724,1258065,28.38
405/406 0724,1281174,76.84
405/406 0724,1288217,50.04
405/406 0724,1344109,73.93
405/406 0724,1361102,68.79
405/406 0724,1387124,50.04
405/406 0724,1390965,100.07
405/406 0724,1393149,52.7
405/406 0724,1403174,26.85
405/406 0724,1274513,13.06
405/406 0724,1140421,17.55
405/406 0724,1177637,17.55
405/406 0724,1180120,17.55
405/406 0724,1183944,17.55
405/406 0724,1195838,31.85
405/406 0724,1195839,31.85
405/406 0724,1254114,5.02
405/406 0724,1286186,13.6
405/406 0724,1352488,13.55
405/406 0724,1355537,31.85
405/406 0724,1371436,31.85
405/406 0724,1283899,10.66
405/406 0724,1347565,79.31
405/406 0724,1363630,83.84
405/406 0724,1367700,20.39
405/406 0724,1381789,31.72
405/406 0724,1406774,40.79
