Contract ID,SAP Code,Sell Price
626_Omnia-OPUS,1000007,30.1
626_Omnia-OPUS,1000008,69.27
626_Omnia-OPUS,1000010,81.99
626_Omnia-OPUS,1000013,52.09
626_Omnia-OPUS,1000067,79.53
626_Omnia-OPUS,1000068,89.64
626_Omnia-OPUS,1000082,81.33
626_Omnia-OPUS,1000088,74.96
626_Omnia-OPUS,1000141,20.92
626_Omnia-OPUS,1000143,27.05
626_Omnia-OPUS,1000161,58.9
626_Omnia-OPUS,1000162,38.84
626_Omnia-OPUS,1000170,77.09
626_Omnia-OPUS,1000179,5.93
626_Omnia-OPUS,1000181,19.72
626_Omnia-OPUS,1000183,11.38
626_Omnia-OPUS,1000186,33.98
626_Omnia-OPUS,1000187,24.4
626_Omnia-OPUS,1000188,10.9
626_Omnia-OPUS,1000189,35.34
626_Omnia-OPUS,1000191,7.84
626_Omnia-OPUS,1000192,17.95
626_Omnia-OPUS,1000193,25.17
626_Omnia-OPUS,1000199,34.48
626_Omnia-OPUS,1000201,24.88
626_Omnia-OPUS,1000205,8.17
626_Omnia-OPUS,1000206,30.17
626_Omnia-OPUS,1000210,10.31
626_Omnia-OPUS,1000215,29.95
626_Omnia-OPUS,1000216,65.74
626_Omnia-OPUS,1000218,117.91
626_Omnia-OPUS,1000221,58.79
626_Omnia-OPUS,1000222,647.53
626_Omnia-OPUS,1000223,918.93
626_Omnia-OPUS,1000226,19.67
626_Omnia-OPUS,1000227,200.86
626_Omnia-OPUS,1000348,56.19
626_Omnia-OPUS,1000349,83.15
626_Omnia-OPUS,1000355,51.53
626_Omnia-OPUS,1000356,42.06
626_Omnia-OPUS,1000364,39.53
626_Omnia-OPUS,1000366,100.6
626_Omnia-OPUS,1000371,100.6
626_Omnia-OPUS,1000386,73.19
626_Omnia-OPUS,1000393,153.58
626_Omnia-OPUS,1000394,239.64
626_Omnia-OPUS,1000395,108.89
626_Omnia-OPUS,1000398,152.28
626_Omnia-OPUS,1000399,85.01
626_Omnia-OPUS,1000400,138.12
626_Omnia-OPUS,1000401,150.47
626_Omnia-OPUS,1000402,113.87
626_Omnia-OPUS,1000414,105.55
626_Omnia-OPUS,1000415,97.93
626_Omnia-OPUS,1000417,94.05
626_Omnia-OPUS,1000419,53.99
626_Omnia-OPUS,1000420,45.26
626_Omnia-OPUS,1000421,51.9
626_Omnia-OPUS,1000423,39.36
626_Omnia-OPUS,1000424,40.05
626_Omnia-OPUS,1000425,56.63
626_Omnia-OPUS,1000427,61.56
626_Omnia-OPUS,1000428,66.56
626_Omnia-OPUS,1000432,57.1
626_Omnia-OPUS,1000433,89.7
626_Omnia-OPUS,1000434,85.63
626_Omnia-OPUS,1000435,79.74
626_Omnia-OPUS,1000436,54.9
626_Omnia-OPUS,1000437,52.42
626_Omnia-OPUS,1000438,119.6
626_Omnia-OPUS,1000439,67.52
626_Omnia-OPUS,1000440,81.81
626_Omnia-OPUS,1000441,69.89
626_Omnia-OPUS,1000443,60.47
626_Omnia-OPUS,1000444,75.11
626_Omnia-OPUS,1000445,80.36
626_Omnia-OPUS,1000446,51.78
626_Omnia-OPUS,1000447,57.81
626_Omnia-OPUS,1000464,58.36
626_Omnia-OPUS,1000465,36.05
626_Omnia-OPUS,1000466,68.82
626_Omnia-OPUS,1000467,54.08
626_Omnia-OPUS,1000468,88.99
626_Omnia-OPUS,1000470,38.67
626_Omnia-OPUS,1000471,59.99
626_Omnia-OPUS,1000472,97.85
626_Omnia-OPUS,1000473,42.92
626_Omnia-OPUS,1000474,62.36
626_Omnia-OPUS,1000475,76.73
626_Omnia-OPUS,1000477,78.38
626_Omnia-OPUS,1000486,56.96
626_Omnia-OPUS,1000487,63.3
626_Omnia-OPUS,1000489,61.86
626_Omnia-OPUS,1000490,33.77
626_Omnia-OPUS,1000491,41.32
626_Omnia-OPUS,1000511,64.43
626_Omnia-OPUS,1000513,113.91
626_Omnia-OPUS,1000514,124.49
626_Omnia-OPUS,1000521,41.74
626_Omnia-OPUS,1000523,104.44
626_Omnia-OPUS,1000527,39.45
626_Omnia-OPUS,1000530,88.84
626_Omnia-OPUS,1000532,71.1
626_Omnia-OPUS,1000535,56.58
626_Omnia-OPUS,1000536,73.77
626_Omnia-OPUS,1000537,42.26
626_Omnia-OPUS,1000538,45.34
626_Omnia-OPUS,1000539,33.49
626_Omnia-OPUS,1000540,34.93
626_Omnia-OPUS,1000541,36.23
626_Omnia-OPUS,1000542,41.16
626_Omnia-OPUS,1000544,38.97
626_Omnia-OPUS,1000545,46.51
626_Omnia-OPUS,1000547,42.19
626_Omnia-OPUS,1000548,58.49
626_Omnia-OPUS,1000549,47.95
626_Omnia-OPUS,1000550,89.18
626_Omnia-OPUS,1000551,77.74
626_Omnia-OPUS,1000555,82.53
626_Omnia-OPUS,1000557,36.16
626_Omnia-OPUS,1000565,69.62
626_Omnia-OPUS,1000573,56.2
626_Omnia-OPUS,1000578,198.1
626_Omnia-OPUS,1000584,12.84
626_Omnia-OPUS,1000585,130.88
626_Omnia-OPUS,1000600,12.72
626_Omnia-OPUS,1000630,72.51
626_Omnia-OPUS,1000637,74.04
626_Omnia-OPUS,1000641,177.85
626_Omnia-OPUS,1000651,117.53
626_Omnia-OPUS,1000652,147.45
626_Omnia-OPUS,1000654,20.98
626_Omnia-OPUS,1000655,114.07
626_Omnia-OPUS,1000659,63.4
626_Omnia-OPUS,1000667,112.58
626_Omnia-OPUS,1000678,127.85
626_Omnia-OPUS,1000679,37.1
626_Omnia-OPUS,1000681,41.1
626_Omnia-OPUS,1000685,39.74
626_Omnia-OPUS,1000688,19.98
626_Omnia-OPUS,1000689,26.59
626_Omnia-OPUS,1000693,19.44
626_Omnia-OPUS,1000694,22.02
626_Omnia-OPUS,1000695,25.89
626_Omnia-OPUS,1000697,34.08
626_Omnia-OPUS,1000698,37.1
626_Omnia-OPUS,1000704,19.44
626_Omnia-OPUS,1000705,22.02
626_Omnia-OPUS,1000707,37.1
626_Omnia-OPUS,1000710,152.11
626_Omnia-OPUS,1000711,37.1
626_Omnia-OPUS,1000717,37.1
626_Omnia-OPUS,1000719,82.62
626_Omnia-OPUS,1000723,19.23
626_Omnia-OPUS,1000800,95.13
626_Omnia-OPUS,1000864,48.42
626_Omnia-OPUS,1000867,69.05
626_Omnia-OPUS,1000996,87.41
626_Omnia-OPUS,1001216,102.83
626_Omnia-OPUS,1001326,58.57
626_Omnia-OPUS,1001327,72.12
626_Omnia-OPUS,1001329,46.16
626_Omnia-OPUS,1001330,82.47
626_Omnia-OPUS,1001331,93.97
626_Omnia-OPUS,1001332,53.42
626_Omnia-OPUS,1001338,75.96
626_Omnia-OPUS,1001345,7.19
626_Omnia-OPUS,1001347,77.41
626_Omnia-OPUS,1001348,72.27
626_Omnia-OPUS,1001349,65.97
626_Omnia-OPUS,1001409,49.39
626_Omnia-OPUS,1001430,109.91
626_Omnia-OPUS,1001438,49.16
626_Omnia-OPUS,1001439,49.65
626_Omnia-OPUS,1001450,49.33
626_Omnia-OPUS,1001481,54.45
626_Omnia-OPUS,1001619,41.78
626_Omnia-OPUS,1001670,74.18
626_Omnia-OPUS,1001675,19.4
626_Omnia-OPUS,1001677,7.52
626_Omnia-OPUS,1001680,8.93
626_Omnia-OPUS,1001681,12.62
626_Omnia-OPUS,1001684,12.64
626_Omnia-OPUS,1001710,34.97
626_Omnia-OPUS,1001712,38.13
626_Omnia-OPUS,1001716,29.44
