Contract ID,SAP Code,Sell Price
631 OMNIA,1000007,28.72
631 OMNIA,1000008,66.1
631 OMNIA,1000010,78.24
631 OMNIA,1000013,49.92
631 OMNIA,1000067,73.97
631 OMNIA,1000068,83.38
631 OMNIA,1000082,75.65
631 OMNIA,1000141,19.94
631 OMNIA,1000143,25.78
631 OMNIA,1000161,56.21
631 OMNIA,1000162,37.06
631 OMNIA,1000170,73.88
631 OMNIA,1000179,5.38
631 OMNIA,1000188,9.88
631 OMNIA,1000189,32.03
631 OMNIA,1000191,7.11
631 OMNIA,1000193,22.81
631 OMNIA,1000199,31.25
631 OMNIA,1000206,27.34
631 OMNIA,1000221,53.28
631 OMNIA,1000226,17.83
631 OMNIA,1000227,182.03
631 OMNIA,1000348,52.26
631 OMNIA,1000349,77.34
631 OMNIA,1000355,47.93
631 OMNIA,1000356,39.12
631 OMNIA,1000364,36.76
631 OMNIA,1000366,93.57
631 OMNIA,1000394,222.9
631 OMNIA,1000398,141.65
631 OMNIA,1000414,100.72
631 OMNIA,1000415,93.45
631 OMNIA,1000417,89.75
631 OMNIA,1000419,51.52
631 OMNIA,1000420,43.19
631 OMNIA,1000421,49.53
631 OMNIA,1000423,37.56
631 OMNIA,1000424,38.22
631 OMNIA,1000425,54.04
631 OMNIA,1000427,58.75
631 OMNIA,1000428,63.52
631 OMNIA,1000432,54.48
631 OMNIA,1000433,85.59
631 OMNIA,1000434,81.71
631 OMNIA,1000435,76.09
631 OMNIA,1000436,52.39
631 OMNIA,1000437,50.03
631 OMNIA,1000438,114.13
631 OMNIA,1000439,64.43
631 OMNIA,1000440,78.07
631 OMNIA,1000441,66.69
631 OMNIA,1000443,57.7
631 OMNIA,1000444,71.67
631 OMNIA,1000445,76.68
631 OMNIA,1000446,49.41
631 OMNIA,1000447,55.16
631 OMNIA,1000464,55.69
631 OMNIA,1000465,34.41
631 OMNIA,1000466,65.67
631 OMNIA,1000467,51.61
631 OMNIA,1000468,84.92
631 OMNIA,1000470,36.9
631 OMNIA,1000471,57.24
631 OMNIA,1000472,93.37
631 OMNIA,1000473,40.95
631 OMNIA,1000474,59.5
631 OMNIA,1000475,77.79
631 OMNIA,1000477,79.47
631 OMNIA,1000486,54.58
631 OMNIA,1000487,60.67
631 OMNIA,1000489,59.28
631 OMNIA,1000490,32.36
631 OMNIA,1000491,39.6
631 OMNIA,1000513,105.96
631 OMNIA,1000527,37.65
631 OMNIA,1000530,84.77
631 OMNIA,1000532,67.84
631 OMNIA,1000535,53.99
631 OMNIA,1000536,70.39
631 OMNIA,1000537,40.33
631 OMNIA,1000538,43.27
631 OMNIA,1000539,31.96
631 OMNIA,1000540,33.33
631 OMNIA,1000541,34.58
631 OMNIA,1000542,39.28
631 OMNIA,1000544,37.19
631 OMNIA,1000545,44.38
631 OMNIA,1000547,40.26
631 OMNIA,1000548,55.82
631 OMNIA,1000549,45.75
631 OMNIA,1000550,85.1
631 OMNIA,1000551,74.18
631 OMNIA,1000555,78.76
631 OMNIA,1000557,34.51
631 OMNIA,1000573,53.86
631 OMNIA,1000630,67.44
631 OMNIA,1000641,165.43
631 OMNIA,1000652,137.15
631 OMNIA,1000659,58.97
631 OMNIA,1000667,104.72
631 OMNIA,1000685,37.88
631 OMNIA,1000800,91.17
631 OMNIA,1000864,46.21
631 OMNIA,1000867,65.81
631 OMNIA,1001329,44.05
631 OMNIA,1001330,78.69
631 OMNIA,1001331,89.67
631 OMNIA,1001332,50.98
631 OMNIA,1001338,72.48
631 OMNIA,1001347,73.87
631 OMNIA,1001348,68.97
631 OMNIA,1001349,62.95
631 OMNIA,1001430,105.33
631 OMNIA,1001619,39.87
631 OMNIA,1001670,70.78
631 OMNIA,1001675,17.58
631 OMNIA,1001725,72.05
631 OMNIA,1001736,6.48
631 OMNIA,1001745,75.88
631 OMNIA,1001806,100.64
631 OMNIA,1001828,55.56
631 OMNIA,1001846,12.03
631 OMNIA,1001856,26.8
631 OMNIA,1001868,77.39
631 OMNIA,1001932,58.17
631 OMNIA,1001934,67.44
631 OMNIA,1001967,48.28
631 OMNIA,1002011,22.06
631 OMNIA,1002014,28.63
631 OMNIA,1002021,38.74
631 OMNIA,1002022,30.84
631 OMNIA,1002048,16.52
631 OMNIA,1002049,9.88
631 OMNIA,1002054,106.25
631 OMNIA,1002059,160.94
631 OMNIA,1002075,7.06
631 OMNIA,1002500,48.04
631 OMNIA,1002501,36.73
631 OMNIA,1002503,72.65
631 OMNIA,1002504,96.33
631 OMNIA,1002505,39.67
631 OMNIA,1002506,36.86
631 OMNIA,1002509,32.22
631 OMNIA,1003019,19.94
631 OMNIA,1003023,13.34
631 OMNIA,1003040,43.8
631 OMNIA,1003041,35.64
631 OMNIA,1003050,9.39
631 OMNIA,1003055,5.8
631 OMNIA,1003063,20.66
631 OMNIA,1003083,37.66
631 OMNIA,1003095,30.7
631 OMNIA,1003100,47.63
631 OMNIA,1003117,33.03
631 OMNIA,1003147,40.78
631 OMNIA,1003167,13.34
631 OMNIA,1003186,20.48
631 OMNIA,1003203,25.78
631 OMNIA,1003204,40.91
631 OMNIA,1003205,40.69
631 OMNIA,1003216,26.5
631 OMNIA,1003227,35.36
631 OMNIA,1003237,25.78
631 OMNIA,1003240,12.03
631 OMNIA,1003243,144.72
631 OMNIA,1003281,122.26
631 OMNIA,1003350,56.92
631 OMNIA,1003351,57.56
631 OMNIA,1003352,55.36
631 OMNIA,1003355,74.97
631 OMNIA,1003387,21.53
631 OMNIA,1003391,9.66
631 OMNIA,1003454,31.91
631 OMNIA,1003477,35.42
631 OMNIA,1003520,31.66
631 OMNIA,1003568,64.66
631 OMNIA,1022909,71.24
631 OMNIA,1023404,63.65
631 OMNIA,1023698,34.08
631 OMNIA,1023753,43.45
631 OMNIA,1023773,30.85
631 OMNIA,1023833,29.61
631 OMNIA,1023896,61.08
631 OMNIA,1023906,36.67
631 OMNIA,1023914,61.08
631 OMNIA,1023915,48.97
631 OMNIA,1023924,40.72
631 OMNIA,1023972,34.38
631 OMNIA,1024221,66.14
631 OMNIA,1024264,72.88
