Contract ID,SAP Code,Sell Price
912_Vizient Tier 4 CPC,1000641,71.95
912_Vizient Tier 4 CPC,1000367,96.78
912_Vizient Tier 4 CPC,1000384,98.53
912_Vizient Tier 4 CPC,1000654,12.75
912_Vizient Tier 4 CPC,1000047,23.22
912_Vizient Tier 4 CPC,1083222,20.89
912_Vizient Tier 4 CPC,1083282,23.4
912_Vizient Tier 4 CPC,1083380,20.89
912_Vizient Tier 4 CPC,1085320,62.32
912_Vizient Tier 4 CPC,1000637,40.84
912_Vizient Tier 4 CPC,1000348,35.41
912_Vizient Tier 4 CPC,1000069,70.66
912_Vizient Tier 4 CPC,1000068,47.33
912_Vizient Tier 4 CPC,1000655,63.71
912_Vizient Tier 4 CPC,1000386,41.27
912_Vizient Tier 4 CPC,1086119,40.28
912_Vizient Tier 4 CPC,1000659,35.61
912_Vizient Tier 4 CPC,1086166,80.52
912_Vizient Tier 4 CPC,1087091,32.49
912_Vizient Tier 4 CPC,1000630,45.48
912_Vizient Tier 4 CPC,1000366,62.78
912_Vizient Tier 4 CPC,1000371,58.15
912_Vizient Tier 4 CPC,1087807,69.55
912_Vizient Tier 4 CPC,1000082,44.76
912_Vizient Tier 4 CPC,1088354,100.41
912_Vizient Tier 4 CPC,1003568,35.06
912_Vizient Tier 4 CPC,1144131,139.25
912_Vizient Tier 4 CPC,1000652,81.58
912_Vizient Tier 4 CPC,1000651,68.46
912_Vizient Tier 4 CPC,1089485,83.8
912_Vizient Tier 4 CPC,1089486,77.62
912_Vizient Tier 4 CPC,1089618,72.09
912_Vizient Tier 4 CPC,1089619,68.42
912_Vizient Tier 4 CPC,1089621,48.07
912_Vizient Tier 4 CPC,1089638,449.92
912_Vizient Tier 4 CPC,1003282,90.57
912_Vizient Tier 4 CPC,1000398,72.8
912_Vizient Tier 4 CPC,1003281,61.37
912_Vizient Tier 4 CPC,1000399,51.53
912_Vizient Tier 4 CPC,1000400,68.44
912_Vizient Tier 4 CPC,1003562,95.51
912_Vizient Tier 4 CPC,1000667,57.28
912_Vizient Tier 4 CPC,1000401,72.17
912_Vizient Tier 4 CPC,1000395,58.8
912_Vizient Tier 4 CPC,1000393,69.97
912_Vizient Tier 4 CPC,1000394,133.99
912_Vizient Tier 4 CPC,1000402,61.03
912_Vizient Tier 4 CPC,1003243,78.37
912_Vizient Tier 4 CPC,1142103,90.77
912_Vizient Tier 4 CPC,1000404,118.7
912_Vizient Tier 4 CPC,1000514,60.47
912_Vizient Tier 4 CPC,1089868,87.78
912_Vizient Tier 4 CPC,1089882,71.84
912_Vizient Tier 4 CPC,1089889,71.87
912_Vizient Tier 4 CPC,1089895,60.96
912_Vizient Tier 4 CPC,1090068,47.81
912_Vizient Tier 4 CPC,1000513,55.31
912_Vizient Tier 4 CPC,1090099,53.23
912_Vizient Tier 4 CPC,1000515,63.54
912_Vizient Tier 4 CPC,1090320,72.69
912_Vizient Tier 4 CPC,1000067,42.69
912_Vizient Tier 4 CPC,1000364,19.91
912_Vizient Tier 4 CPC,1000122,59.03
912_Vizient Tier 4 CPC,1000378,136.91
912_Vizient Tier 4 CPC,1090487,33.71
912_Vizient Tier 4 CPC,1000349,52.35
912_Vizient Tier 4 CPC,1000356,30.08
912_Vizient Tier 4 CPC,1000355,30.16
912_Vizient Tier 4 CPC,1000088,37.95
912_Vizient Tier 4 CPC,1097185,19.47
912_Vizient Tier 4 CPC,1097193,107.93
912_Vizient Tier 4 CPC,1000521,18.64
912_Vizient Tier 4 CPC,1097259,26.28
912_Vizient Tier 4 CPC,1097273,59.92
912_Vizient Tier 4 CPC,1000072,24.41
912_Vizient Tier 4 CPC,1003059,24.41
912_Vizient Tier 4 CPC,1000523,53.02
912_Vizient Tier 4 CPC,1098142,40.31
912_Vizient Tier 4 CPC,1000658,89.94
912_Vizient Tier 4 CPC,1098569,33.28
912_Vizient Tier 4 CPC,1099278,108.85
912_Vizient Tier 4 CPC,1099287,144.45
912_Vizient Tier 4 CPC,1000340,74.16
912_Vizient Tier 4 CPC,1141341,72.44
912_Vizient Tier 4 CPC,1141343,77.62
912_Vizient Tier 4 CPC,1142239,346.7
912_Vizient Tier 4 CPC,1128797,10.35
912_Vizient Tier 4 CPC,1000368,92.43
912_Vizient Tier 4 CPC,1135549,51.75
912_Vizient Tier 4 CPC,1008599,1491.66
912_Vizient Tier 4 CPC,1009735,27.96
912_Vizient Tier 4 CPC,1083204,412.97
912_Vizient Tier 4 CPC,1140510,10945.11
912_Vizient Tier 4 CPC,1140538,23.74
912_Vizient Tier 4 CPC,1142463,8560
912_Vizient Tier 4 CPC,1144927,966.19
912_Vizient Tier 4 CPC,1144928,58.62
912_Vizient Tier 4 CPC,1145521,40.63
912_Vizient Tier 4 CPC,1147086,50.34
912_Vizient Tier 4 CPC,1148363,59.91
912_Vizient Tier 4 CPC,1148434,446.8
912_Vizient Tier 4 CPC,1149634,13.44
912_Vizient Tier 4 CPC,1150255,336.35
912_Vizient Tier 4 CPC,1150273,67.28
912_Vizient Tier 4 CPC,1150281,546.31
912_Vizient Tier 4 CPC,1150284,40.41
912_Vizient Tier 4 CPC,1152616,103.06
912_Vizient Tier 4 CPC,1155495,40.41
912_Vizient Tier 4 CPC,1162091,51.08
912_Vizient Tier 4 CPC,1163010,24.11
912_Vizient Tier 4 CPC,1163070,43.93
912_Vizient Tier 4 CPC,1163255,20.7
912_Vizient Tier 4 CPC,1163256,160.42
912_Vizient Tier 4 CPC,1166391,45.73
912_Vizient Tier 4 CPC,1167094,129.37
912_Vizient Tier 4 CPC,1167626,56.13
912_Vizient Tier 4 CPC,1168141,19.94
912_Vizient Tier 4 CPC,1168408,62.1
912_Vizient Tier 4 CPC,1171180,2685.78
912_Vizient Tier 4 CPC,1173878,53.28
912_Vizient Tier 4 CPC,1178709,230.05
912_Vizient Tier 4 CPC,1178834,4875
912_Vizient Tier 4 CPC,1178923,149.8
912_Vizient Tier 4 CPC,1179358,32.61
912_Vizient Tier 4 CPC,1179359,21.65
912_Vizient Tier 4 CPC,1179680,27.51
912_Vizient Tier 4 CPC,1181008,65.37
912_Vizient Tier 4 CPC,1182014,5136
912_Vizient Tier 4 CPC,1184647,15.22
912_Vizient Tier 4 CPC,1184648,31.43
912_Vizient Tier 4 CPC,1185647,107
912_Vizient Tier 4 CPC,1186067,58.83
912_Vizient Tier 4 CPC,1189377,61.04
