Contract ID,SAP Code,Sell Price
BPO_001B4600286,1383328, 199.00 
BPO_001B4600286,1001120, 49.00 
BPO_001B4600286,1397807, 69.95 
BPO_001B4600286,1273296, 52.75 
BPO_001B4600286,1364512, 42.00 
BPO_001B4600286,1397810, 49.95 
BPO_001B4600286,1365425, 22.90 
BPO_001B4600286,1283899, 14.95 
BPO_001B4600286,1225513, 6.95 
BPO_001B4600286,1225510, 6.95 
BPO_001B4600286,1220757, 15.60 
BPO_001B4600286,1279208, 21.00 
BPO_001B4600286,1044457, 42.00 
BPO_001B4600286,1225523, 9.00 
BPO_001B4600286,1232934, 41.25 
BPO_001B4600286,1225495, 19.90 
BPO_001B4600286,1048696, 30.00 
BPO_001B4600286,1121518, 4.50 
