Contract ID,SAP Code,Sell Price
666_CPC,1000007,20.1
666_CPC,1000008,45.57
666_CPC,1000010,49.35
666_CPC,1000048,20.57
666_CPC,1000067,39.91
666_CPC,1000068,45.21
666_CPC,1000069,67.5
666_CPC,1000070,0.01
666_CPC,1000072,23.32
666_CPC,1000082,40.04
666_CPC,1000088,36.24
666_CPC,1000091,22.26
666_CPC,1000122,56.39
666_CPC,1000161,35.42
666_CPC,1000162,22.63
666_CPC,1000231,724.5
666_CPC,1000340,70.84
666_CPC,1000348,33.83
666_CPC,1000349,50
666_CPC,1000355,28.8
666_CPC,1000356,28.74
666_CPC,1000364,19.01
666_CPC,1000366,54.09
666_CPC,1000371,55.54
666_CPC,1000374,0.01
666_CPC,1000378,122.44
666_CPC,1000384,100.94
666_CPC,1000386,39.43
666_CPC,1000393,68.81
666_CPC,1000394,135.24
666_CPC,1000395,59.35
666_CPC,1000398,73.47
666_CPC,1000399,50.6
666_CPC,1000400,62.67
666_CPC,1000401,68.94
666_CPC,1000402,58.77
666_CPC,1000403,46.75
666_CPC,1000404,116.59
666_CPC,1000414,61.14
666_CPC,1000415,56.25
666_CPC,1000417,56.75
666_CPC,1000419,31.21
666_CPC,1000420,27.49
666_CPC,1000421,32.85
666_CPC,1000423,23.51
666_CPC,1000424,23.97
666_CPC,1000425,34.48
666_CPC,1000427,39.9
666_CPC,1000428,42.93
666_CPC,1000432,35.45
666_CPC,1000433,49.42
666_CPC,1000434,49.71
666_CPC,1000435,43.29
666_CPC,1000436,32.15
666_CPC,1000437,33.28
666_CPC,1000438,75.87
666_CPC,1000439,39.78
666_CPC,1000440,51.34
666_CPC,1000441,43.28
666_CPC,1000443,36.29
666_CPC,1000444,48.29
666_CPC,1000445,50
666_CPC,1000446,31.82
666_CPC,1000447,32.47
666_CPC,1000463,32.42
666_CPC,1000464,34.35
666_CPC,1000465,22.88
666_CPC,1000466,43.31
666_CPC,1000467,33.95
666_CPC,1000468,54.83
666_CPC,1000469,60.89
666_CPC,1000470,23.12
666_CPC,1000471,37.33
666_CPC,1000472,61.33
666_CPC,1000473,27.79
666_CPC,1000474,38.01
666_CPC,1000475,49.01
666_CPC,1000477,49.98
666_CPC,1000513,52.66
666_CPC,1000514,61.03
666_CPC,1000515,54.24
666_CPC,1000521,17.81
666_CPC,1000523,50.65
666_CPC,1000524,23.6
666_CPC,1000527,24.5
666_CPC,1000530,56.39
666_CPC,1000532,46.49
666_CPC,1000535,36.49
666_CPC,1000536,42.05
666_CPC,1000537,24.98
666_CPC,1000538,28.68
666_CPC,1000539,19.63
666_CPC,1000540,21.24
666_CPC,1000541,24.24
666_CPC,1000542,22.63
666_CPC,1000544,23.06
666_CPC,1000545,29.69
666_CPC,1000547,27.07
666_CPC,1000548,36.33
666_CPC,1000549,31.4
666_CPC,1000550,53.02
666_CPC,1000551,49.43
666_CPC,1000552,39.32
666_CPC,1000555,54.11
666_CPC,1000557,22.26
666_CPC,1000565,39.44
666_CPC,1000566,231.12
666_CPC,1000567,38.73
666_CPC,1000573,24.37
666_CPC,1000630,43.45
666_CPC,1000637,41.22
666_CPC,1000641,69.66
666_CPC,1000651,70.14
666_CPC,1000652,82.34
666_CPC,1000654,12.1
666_CPC,1000655,59.96
666_CPC,1000658,80.01
666_CPC,1000659,34.02
666_CPC,1000667,57.97
666_CPC,1000670,41.53
666_CPC,1000864,26
666_CPC,1001327,47.78
666_CPC,1001329,27.71
666_CPC,1001330,49.59
666_CPC,1001331,57.99
666_CPC,1001332,31.8
666_CPC,1001338,46.38
666_CPC,1001345,7.02
666_CPC,1001347,47.3
666_CPC,1001348,42.16
666_CPC,1001349,43
666_CPC,1001430,34.23
666_CPC,1001595,8233.84
666_CPC,1001619,24.29
666_CPC,1001670,46.05
666_CPC,1001688,16.05
666_CPC,1001745,52.43
666_CPC,1001771,16.79
666_CPC,1001868,52.16
666_CPC,1001919,33.87
666_CPC,1001932,50.08
666_CPC,1001934,46.07
666_CPC,1001985,66.58
666_CPC,1002002,21.95
666_CPC,1002008,29.47
666_CPC,1002010,23.13
666_CPC,1002011,15.62
666_CPC,1002014,20.29
666_CPC,1002020,23.13
666_CPC,1002021,27.32
666_CPC,1002022,20.9
666_CPC,1002025,24.82
666_CPC,1002026,18.6
666_CPC,1002027,20.88
666_CPC,1002028,25.07
666_CPC,1002030,19.93
666_CPC,1002031,23.44
666_CPC,1002100,23.63
666_CPC,1002355,10470.49
666_CPC,1002500,31.35
666_CPC,1002503,49.71
666_CPC,1002504,61.5
666_CPC,1002505,24.02
666_CPC,1002506,24.56
666_CPC,1002509,20.65
666_CPC,1003040,30.86
666_CPC,1003041,32.15
666_CPC,1003059,23.32
666_CPC,1003063,14.65
666_CPC,1003083,26.49
666_CPC,1003095,26.9
666_CPC,1003100,42.98
666_CPC,1003101,15.05
666_CPC,1003102,21.21
666_CPC,1003117,28.96
666_CPC,1003126,28.02
666_CPC,1003137,26.49
666_CPC,1003204,35.85
666_CPC,1003205,28.02
666_CPC,1003219,21.26
666_CPC,1003227,24.97
666_CPC,1003228,22.52
666_CPC,1003229,31.52
666_CPC,1003233,26.5
666_CPC,1003243,78.71
666_CPC,1003251,1636.59
666_CPC,1003255,2140.05
666_CPC,1003259,989
666_CPC,1003260,1537.63
666_CPC,1003281,61.94
666_CPC,1003282,91.41
666_CPC,1003285,3005.11
666_CPC,1003295,4091.96
666_CPC,1003299,42.59
666_CPC,1003350,39.94
666_CPC,1003351,39.94
666_CPC,1003352,39.5
