Contract ID,SAP Code,Sell Price
740_0924,1267787,68.32
740_0924,1267791,61.23
740_0924,1326181,56.78
740_0924,1326180,90.47
740_0924,1229023,68.82
740_0924,1229024,41.53
740_0924,1272295,58.18
740_0924,1272298,42.25
740_0924,1019857,92.04
740_0924,1390965,99.34
740_0924,1255305,95.33
740_0924,1407374,37.82
740_0924,1264532,36.25
740_0924,1387124,78.84
740_0924,1393149,75.01
740_0924,1281174,53.4
740_0924,1386321,74.88
740_0924,1383429,79.95
740_0924,1325423,88.04
740_0924,1294735,103.53
740_0924,1358071,58.18
740_0924,1229021,91.58
740_0924,1236975,111.31
740_0924,1229026,51.29
740_0924,1281161,81.88
740_0924,1229279,82.25
740_0924,1229275,54.61
