Contract ID,SAP Code,Sell Price
912_Vizient Tier 4 CPC,1006568,62.16
912_Vizient Tier 4 CPC,1007758,24.3
912_Vizient Tier 4 CPC,1007770,24.3
912_Vizient Tier 4 CPC,1007771,24.3
912_Vizient Tier 4 CPC,1007774,24.3
912_Vizient Tier 4 CPC,1007776,28
912_Vizient Tier 4 CPC,1008800,31.64
912_Vizient Tier 4 CPC,1008801,31.64
912_Vizient Tier 4 CPC,1008802,31.64
912_Vizient Tier 4 CPC,1010946,145.27
912_Vizient Tier 4 CPC,1010949,53.82
912_Vizient Tier 4 CPC,1010953,92.18
912_Vizient Tier 4 CPC,1010981,122.59
912_Vizient Tier 4 CPC,1010991,67.71
912_Vizient Tier 4 CPC,1011020,135.3
912_Vizient Tier 4 CPC,1011054,73.76
912_Vizient Tier 4 CPC,1011055,80.81
912_Vizient Tier 4 CPC,1011056,94.03
912_Vizient Tier 4 CPC,1011062,50.35
912_Vizient Tier 4 CPC,1011072,90.33
912_Vizient Tier 4 CPC,1011073,123.2
912_Vizient Tier 4 CPC,1011074,130.99
912_Vizient Tier 4 CPC,1011078,51.92
912_Vizient Tier 4 CPC,1011079,49.23
912_Vizient Tier 4 CPC,1011086,53.71
912_Vizient Tier 4 CPC,1011177,46.99
912_Vizient Tier 4 CPC,1011928,101.87
912_Vizient Tier 4 CPC,1011979,104.11
912_Vizient Tier 4 CPC,1019112,74.2
912_Vizient Tier 4 CPC,1019122,51.41
912_Vizient Tier 4 CPC,1019133,73.31
912_Vizient Tier 4 CPC,1030793,30.07
912_Vizient Tier 4 CPC,1030794,30.07
912_Vizient Tier 4 CPC,1030917,30.07
912_Vizient Tier 4 CPC,1031286,18.04
912_Vizient Tier 4 CPC,1031287,18.04
912_Vizient Tier 4 CPC,1031288,18.04
912_Vizient Tier 4 CPC,1031289,13.39
912_Vizient Tier 4 CPC,1031316,23.75
912_Vizient Tier 4 CPC,1031318,23.75
912_Vizient Tier 4 CPC,1031321,22.68
912_Vizient Tier 4 CPC,1031322,22.68
912_Vizient Tier 4 CPC,1031323,22.68
912_Vizient Tier 4 CPC,1031324,22.68
912_Vizient Tier 4 CPC,1031341,30.19
912_Vizient Tier 4 CPC,1031342,30.19
912_Vizient Tier 4 CPC,1031343,30.19
912_Vizient Tier 4 CPC,1031344,30.19
912_Vizient Tier 4 CPC,1031346,30.36
912_Vizient Tier 4 CPC,1031347,30.36
912_Vizient Tier 4 CPC,1031348,30.36
912_Vizient Tier 4 CPC,1031351,29.91
912_Vizient Tier 4 CPC,1031352,29.91
912_Vizient Tier 4 CPC,1031353,30.08
