Contract ID,SAP Code,Sell Price
GOJO 5000000155 T5 Medstar,1164152,18.55
GOJO 5000000155 T5 Medstar,1164154,38.93
GOJO 5000000155 T5 Medstar,1163596,37.07
GOJO 5000000155 T5 Medstar,1164159,114.49
GOJO 5000000155 T5 Medstar,1166499,114.49
GOJO 5000000155 T5 Medstar,1165060,24.6
GOJO 5000000155 T5 Medstar,1257108,30.49
GOJO 5000000155 T5 Medstar,1168411,114.49
GOJO 5000000155 T5 Medstar,1218300,51.46
GOJO 5000000155 T5 Medstar,1163721,19.3
GOJO 5000000155 T5 Medstar,1163132,40.47
GOJO 5000000155 T5 Medstar,1163313,38.55
GOJO 5000000155 T5 Medstar,1205045,142.69
GOJO 5000000155 T5 Medstar,1163131,114.49
GOJO 5000000155 T5 Medstar,1276788,30.65
GOJO 5000000155 T5 Medstar,1259764,307.98
GOJO 5000000155 T5 Medstar,1266071,319.43
GOJO 5000000155 T5 Medstar,1354457,307.98
GOJO 5000000155 T5 Medstar,1266074,319.43
GOJO 5000000155 T5 Medstar,1163726,114.49
GOJO 5000000155 T5 Medstar,1205341,114.49
GOJO 5000000155 T5 Medstar,1165064,25.58
GOJO 5000000155 T5 Medstar,1215970,31.71
GOJO 5000000155 T5 Medstar,1314224,27.56
GOJO 5000000155 T5 Medstar,1165126,114.49
GOJO 5000000155 T5 Medstar,1168328,114.49
GOJO 5000000155 T5 Medstar,1278821,34.35
GOJO 5000000155 T5 Medstar,1093649,27.05
GOJO 5000000155 T5 Medstar,1080070,14.38
GOJO 5000000155 T5 Medstar,1080071,15.25
GOJO 5000000155 T5 Medstar,1000566,124.1
GOJO 5000000155 T5 Medstar,1091522,124.1
GOJO 5000000155 T5 Medstar,1093210,54.44
GOJO 5000000155 T5 Medstar,1093648,31.9
GOJO 5000000155 T5 Medstar,1162632,28.25
GOJO 5000000155 T5 Medstar,1093552,28.25
GOJO 5000000155 T5 Medstar,1093640,29.67
GOJO 5000000155 T5 Medstar,1254497,35.4
GOJO 5000000155 T5 Medstar,1208297,176.26
GOJO 5000000155 T5 Medstar,1278826,25.4
GOJO 5000000155 T5 Medstar,1092372,67.14
GOJO 5000000155 T5 Medstar,1185209,0
GOJO 5000000155 T5 Medstar,1378174,0
GOJO 5000000155 T5 Medstar,1378176,0
GOJO 5000000155 T5 Medstar,1185250,0
GOJO 5000000155 T5 Medstar,1390481,0
GOJO 5000000155 T5 Medstar,1180925,67.16
GOJO 5000000155 T5 Medstar,1388150,66.26
GOJO 5000000155 T5 Medstar,1372413,72.99
GOJO 5000000155 T5 Medstar,1093654,52.96
GOJO 5000000155 T5 Medstar,1159681,25.59
GOJO 5000000155 T5 Medstar,1093651,50.5
GOJO 5000000155 T5 Medstar,1093650,34.32
GOJO 5000000155 T5 Medstar,1093658,34.58
GOJO 5000000155 T5 Medstar,1197375,55.48
GOJO 5000000155 T5 Medstar,1348483,32.91
GOJO 5000000155 T5 Medstar,1378159,37.41
GOJO 5000000155 T5 Medstar,1378160,37.41
GOJO 5000000155 T5 Medstar,1378161,46.75
GOJO 5000000155 T5 Medstar,1378162,23.53
GOJO 5000000155 T5 Medstar,1378163,41.97
GOJO 5000000155 T5 Medstar,1377141,22.86
GOJO 5000000155 T5 Medstar,1308144,0
GOJO 5000000155 T5 Medstar,1308147,0
GOJO 5000000155 T5 Medstar,1298174,0
GOJO 5000000155 T5 Medstar,1300336,0
GOJO 5000000155 T5 Medstar,1315516,34.19
GOJO 5000000155 T5 Medstar,1306704,32.5
GOJO 5000000155 T5 Medstar,1315369,22.27
GOJO 5000000155 T5 Medstar,1092251,19.87
GOJO 5000000155 T5 Medstar,1300339,19.87
GOJO 5000000155 T5 Medstar,1311336,23.15
GOJO 5000000155 T5 Medstar,1312305,21.76
GOJO 5000000155 T5 Medstar,1166746,37.16
GOJO 5000000155 T5 Medstar,1378164,48.23
GOJO 5000000155 T5 Medstar,1091784,82.16
GOJO 5000000155 T5 Medstar,1359401,0
GOJO 5000000155 T5 Medstar,1190678,0
GOJO 5000000155 T5 Medstar,1197478,0
GOJO 5000000155 T5 Medstar,1318831,0
GOJO 5000000155 T5 Medstar,1091403,82.16
GOJO 5000000155 T5 Medstar,1186243,41.41
GOJO 5000000155 T5 Medstar,1179759,49.94
GOJO 5000000155 T5 Medstar,1316323,36.17
GOJO 5000000155 T5 Medstar,1166677,28.57
GOJO 5000000155 T5 Medstar,1140369,26.7
GOJO 5000000155 T5 Medstar,1140390,29.38
GOJO 5000000155 T5 Medstar,1158315,37.53
GOJO 5000000155 T5 Medstar,1159696,62.62
GOJO 5000000155 T5 Medstar,1140391,59.66
GOJO 5000000155 T5 Medstar,1180086,35.81
GOJO 5000000155 T5 Medstar,1091160,20.02
GOJO 5000000155 T5 Medstar,1092489,22.04
GOJO 5000000155 T5 Medstar,1091639,37.44
GOJO 5000000155 T5 Medstar,1091780,49.93
GOJO 5000000155 T5 Medstar,1311584,32.82
GOJO 5000000155 T5 Medstar,1091775,28.33
GOJO 5000000155 T5 Medstar,1278827,26.48
GOJO 5000000155 T5 Medstar,1093227,26.48
GOJO 5000000155 T5 Medstar,1093613,39.89
GOJO 5000000155 T5 Medstar,1000565,39.89
GOJO 5000000155 T5 Medstar,1378167,23.95
GOJO 5000000155 T5 Medstar,1091188,38.59
GOJO 5000000155 T5 Medstar,1091240,286.54
GOJO 5000000155 T5 Medstar,1160099,65.6
GOJO 5000000155 T5 Medstar,1278845,29.45
GOJO 5000000155 T5 Medstar,1300340,0
GOJO 5000000155 T5 Medstar,1308148,0
GOJO 5000000155 T5 Medstar,1313585,0
GOJO 5000000155 T5 Medstar,1313586,0
GOJO 5000000155 T5 Medstar,1311255,42.1
GOJO 5000000155 T5 Medstar,1300342,40.09
GOJO 5000000155 T5 Medstar,1332354,22.57
GOJO 5000000155 T5 Medstar,1311347,29.12
GOJO 5000000155 T5 Medstar,1309238,26.61
GOJO 5000000155 T5 Medstar,1311341,26.61
GOJO 5000000155 T5 Medstar,1194140,31.89
GOJO 5000000155 T5 Medstar,1361037,0
GOJO 5000000155 T5 Medstar,1186223,0
GOJO 5000000155 T5 Medstar,1335412,0
GOJO 5000000155 T5 Medstar,1345189,0
GOJO 5000000155 T5 Medstar,1185416,42.1
GOJO 5000000155 T5 Medstar,1198616,26.61
GOJO 5000000155 T5 Medstar,1325522,31.89
GOJO 5000000155 T5 Medstar,1024274,32.98
