Contract ID,SAP Code,Sell Price
Medstar GP CPC,1027738,33.39
Medstar GP CPC,1025131,61.48
Medstar GP CPC,1025713,45.55
Medstar GP CPC,1330836,54.99
Medstar GP CPC,1000527,24.01
Medstar GP CPC,1000161,35.41
Medstar GP CPC,1002505,24.2
Medstar GP CPC,1002506,24.01
Medstar GP CPC,1026144,47.2
Medstar GP CPC,1026186,23.18
Medstar GP CPC,1152270,30.49
Medstar GP CPC,1148195,50.05
Medstar GP CPC,1026001,49.42
Medstar GP CPC,1026002,39.43
Medstar GP CPC,1026121,39.35
Medstar GP CPC,1000532,46.64
Medstar GP CPC,1000535,36.82
Medstar GP CPC,1218438,27.76
Medstar GP CPC,1214864,37.29
Medstar GP CPC,1170565,41.44
Medstar GP CPC,1028822,70.5
Medstar GP CPC,1028759,75.69
Medstar GP CPC,1028599,93.91
Medstar GP CPC,1028495,39.27
Medstar GP CPC,1028496,30.95
Medstar GP CPC,1027740,59.23
Medstar GP CPC,1027773,48.03
Medstar GP CPC,1028372,91.34
Medstar GP CPC,1027991,94.76
Medstar GP CPC,1028500,58.78
Medstar GP CPC,1024464,50.44
Medstar GP CPC,1003477,22.69
Medstar GP CPC,1000864,26.42
Medstar GP CPC,1000537,24.29
Medstar GP CPC,1000162,22.15
Medstar GP CPC,1023833,21.03
Medstar GP CPC,1001329,28.09
Medstar GP CPC,1000538,28.52
Medstar GP CPC,1023773,17.97
Medstar GP CPC,1220844,66.6
Medstar GP CPC,1023906,19.95
Medstar GP CPC,1000539,19.52
Medstar GP CPC,1000540,18.99
Medstar GP CPC,1000541,23.79
Medstar GP CPC,1028026,57.36
Medstar GP CPC,1027987,84.19
Medstar GP CPC,1027778,58.75
Medstar GP CPC,1028268,59.83
Medstar GP CPC,1000542,22.83
Medstar GP CPC,1024444,38.76
Medstar GP CPC,1001619,24.34
Medstar GP CPC,1000544,23.2
Medstar GP CPC,1145607,55.77
Medstar GP CPC,1145606,47.46
Medstar GP CPC,1282437,74.86
Medstar GP CPC,1282435,69.29
Medstar GP CPC,1000545,29.37
Medstar GP CPC,1157604,29.71
Medstar GP CPC,1002500,31.18
Medstar GP CPC,1000547,24.95
Medstar GP CPC,1024294,30.54
Medstar GP CPC,1024278,44.54
Medstar GP CPC,1024302,36.21
Medstar GP CPC,1024369,32.76
Medstar GP CPC,1000548,36.96
Medstar GP CPC,1024280,25.34
Medstar GP CPC,1356461,61.59
Medstar GP CPC,1000549,31.45
Medstar GP CPC,1001745,52.37
Medstar GP CPC,1027701,47.18
Medstar GP CPC,1000550,54.41
Medstar GP CPC,1229432,87.2
Medstar GP CPC,1215475,153.52
Medstar GP CPC,1183740,31.3
Medstar GP CPC,1028721,44.87
Medstar GP CPC,1027754,33.57
Medstar GP CPC,1028014,40.5
Medstar GP CPC,1027869,48.21
Medstar GP CPC,1027839,42.98
Medstar GP CPC,1027864,35.88
Medstar GP CPC,1028379,41.3
Medstar GP CPC,1027865,46.37
Medstar GP CPC,1028165,25.61
Medstar GP CPC,1186221,54.6
Medstar GP CPC,1158498,83.3
Medstar GP CPC,1271095,69.92
Medstar GP CPC,1247850,92.39
Medstar GP CPC,1247854,114.07
Medstar GP CPC,1000551,50.25
Medstar GP CPC,1001985,65.94
