Contract ID,SAP Code,Sell Price
700_Metz EVS,1000007,24.62
700_Metz EVS,1000008,55.4
700_Metz EVS,1000009,19.55
700_Metz EVS,1000010,67.42
700_Metz EVS,1000013,28.27
700_Metz EVS,1000046,26.47
700_Metz EVS,1000048,28
700_Metz EVS,1000067,56.01
700_Metz EVS,1000068,53.92
700_Metz EVS,1000069,80.48
700_Metz EVS,1000070,0.01
700_Metz EVS,1000072,28.19
700_Metz EVS,1000082,44.54
700_Metz EVS,1000088,43.85
700_Metz EVS,1000122,69.9
700_Metz EVS,1000161,45.51
700_Metz EVS,1000161,45.51
700_Metz EVS,1000162,28.07
700_Metz EVS,1000162,28.07
700_Metz EVS,1000171,38.3
700_Metz EVS,1000174,33.58
700_Metz EVS,1000231,935.16
700_Metz EVS,1000340,0.01
700_Metz EVS,1000348,41.79
700_Metz EVS,1000349,61.78
700_Metz EVS,1000355,35.74
700_Metz EVS,1000356,30.94
700_Metz EVS,1000364,23.99
700_Metz EVS,1000366,68.92
700_Metz EVS,1000367,110.53
700_Metz EVS,1000368,100.23
700_Metz EVS,1000371,64.3
700_Metz EVS,1000374,0.01
700_Metz EVS,1000378,155.34
700_Metz EVS,1000384,128.29
700_Metz EVS,1000385,73.67
700_Metz EVS,1000386,51.14
700_Metz EVS,1000393,86.65
700_Metz EVS,1000394,167.49
700_Metz EVS,1000395,73.24
700_Metz EVS,1000398,91.02
700_Metz EVS,1000399,64.4
700_Metz EVS,1000400,79.78
700_Metz EVS,1000401,87.96
700_Metz EVS,1000402,72.83
700_Metz EVS,1000403,76.29
700_Metz EVS,1000404,148.36
700_Metz EVS,1000414,87.64
700_Metz EVS,1000415,80.63
700_Metz EVS,1000417,72.05
700_Metz EVS,1000419,42.57
700_Metz EVS,1000420,35.46
700_Metz EVS,1000421,40.78
700_Metz EVS,1000423,31.51
700_Metz EVS,1000424,31.58
700_Metz EVS,1000425,44.02
700_Metz EVS,1000427,51.74
700_Metz EVS,1000428,53.09
700_Metz EVS,1000432,49.53
700_Metz EVS,1000433,64.18
700_Metz EVS,1000434,70.23
700_Metz EVS,1000435,55.67
700_Metz EVS,1000436,42.01
700_Metz EVS,1000437,40.62
700_Metz EVS,1000438,90.26
700_Metz EVS,1000439,50.13
700_Metz EVS,1000440,62.8
700_Metz EVS,1000441,55.07
700_Metz EVS,1000443,46.86
700_Metz EVS,1000444,57.53
700_Metz EVS,1000445,64.95
700_Metz EVS,1000446,43.79
700_Metz EVS,1000447,46.31
