Contract ID,SAP Code,Sell Price
146_1024,1000527,25.38
146_1024,1000532,43.55
146_1024,1000535,35.41
146_1024,1000550,56.42
146_1024,1000566,0.01
146_1024,1000637,50.48
146_1024,1001327,50.82
146_1024,1001619,30.22
146_1024,1002014,21.15
146_1024,1002020,23.89
146_1024,1002022,21.87
146_1024,1002509,23.01
146_1024,1003040,31.8
146_1024,1003041,30.11
146_1024,1003063,15.39
146_1024,1003083,27.31
146_1024,1003100,40.3
146_1024,1003205,28.56
146_1024,1003227,25.77
146_1024,1003382,0.01
146_1024,1003483,23.89
146_1024,1003520,22.97
146_1024,1007452,25.73
146_1024,1024880,46.49
146_1024,1024956,49.2
146_1024,1026001,42.22
146_1024,1028688,43.47
146_1024,1050917,17.17
146_1024,1050983,30.04
146_1024,1051105,34.18
146_1024,1051139,26.13
146_1024,1051222,20.92
146_1024,1051231,35.74
146_1024,1051331,28.15
146_1024,1051763,31.25
146_1024,1051764,41.36
146_1024,1051820,17.95
146_1024,1051886,27.77
146_1024,1052468,28.46
146_1024,1052469,19.58
146_1024,1052910,34.18
146_1024,1053447,11.03
146_1024,1053467,27.09
146_1024,1053481,29.22
146_1024,1053550,30.74
146_1024,1053568,16.54
146_1024,1053602,17.95
146_1024,1053720,14.32
146_1024,1053730,26.22
146_1024,1053738,18.67
146_1024,1053780,22.87
146_1024,1053841,45.73
146_1024,1053857,32
146_1024,1053868,25.12
146_1024,1054171,38.08
146_1024,1054839,45.99
146_1024,1054909,59.65
146_1024,1054958,59.65
146_1024,1055000,35.32
146_1024,1057249,21.87
146_1024,1057302,26.39
146_1024,1057315,31.18
146_1024,1057324,23.89
146_1024,1057501,28.15
146_1024,1057507,18.31
146_1024,1057509,29.78
146_1024,1057511,24.51
146_1024,1057546,19.87
146_1024,1057554,26.39
146_1024,1057557,32.12
146_1024,1057558,31.18
146_1024,1057815,30.26
146_1024,1167626,43.91
146_1024,1200088,45.24
146_1024,1203699,28.54
146_1024,1216610,26.68
146_1024,1234353,10.55
146_1024,1234356,29.22
146_1024,1236248,27.31
146_1024,1238778,65.24
146_1024,1239427,43.17
146_1024,1240267,22.87
146_1024,1242834,23.17
146_1024,1244557,60.34
146_1024,1250498,79.23
146_1024,1263221,56.2
146_1024,1274143,57.25
146_1024,1283337,0.01
146_1024,1283350,49.73
146_1024,1284807,56.01
146_1024,1302320,3.93
146_1024,1325381,56.17
146_1024,1325383,52.24
146_1024,1348433,25.12
146_1024,1352353,27.03
146_1024,1359627,22.01
146_1024,1389209,9.36
146_1024,1394866,37.04
146_1024,1000152,24.54
146_1024,1006568,52.9
146_1024,1007758,41.41
146_1024,1007770,41.41
146_1024,1007774,41.41
146_1024,1008800,42.91
146_1024,1008801,42.91
146_1024,1008802,42.91
146_1024,1010946,126.14
146_1024,1010949,53.18
146_1024,1010953,88.36
146_1024,1010981,116.06
146_1024,1010991,68.41
146_1024,1011055,76.19
146_1024,1011073,113.11
146_1024,1011079,45.17
146_1024,1011177,44.01
146_1024,1019112,76.19
146_1024,1030793,40.38
146_1024,1030794,40.38
146_1024,1030917,40.38
146_1024,1031316,23.65
146_1024,1031318,23.59
146_1024,1032301,30.68
146_1024,1032302,31.32
146_1024,1033097,23.07
146_1024,1054399,31.99
146_1024,1055880,25.84
146_1024,1144008,13.88
146_1024,1148457,30.57
146_1024,1148462,30.57
146_1024,1148466,30.57
146_1024,1156343,17.31
146_1024,1158577,74.82
146_1024,1159771,55.25
146_1024,1160488,75.21
146_1024,1161686,78.39
146_1024,1161754,59.7
146_1024,1161759,49.66
146_1024,1161763,45.1
146_1024,1161764,81.27
146_1024,1201620,62.29
146_1024,1215531,24.4
146_1024,1216479,47.71
146_1024,1216480,47.82
146_1024,1216486,47.82
146_1024,1238009,39.57
146_1024,1238011,28.5
146_1024,1245926,39.97
146_1024,1245927,39.57
146_1024,1245929,39.97
146_1024,1245930,39.57
146_1024,1271110,72.97
146_1024,1315930,34.89
146_1024,1322478,43.43
146_1024,1322479,43.43
146_1024,1322480,43.43
146_1024,1329606,43.43
146_1024,1332962,71.47
146_1024,1355832,73.48
146_1024,1355834,73.48
146_1024,1355835,72.74
