Contract ID,SAP Code,Sell Price
426_1024,1000069,88.69
426_1024,1000348,51.29
426_1024,1002006,33.19
426_1024,1002014,28.3
426_1024,1002025,29.5
426_1024,1003040,42.32
426_1024,1003041,38.25
426_1024,1003063,20.49
426_1024,1003100,52.86
426_1024,1003205,40.09
426_1024,1003227,34.22
426_1024,1003228,30.87
426_1024,1003387,18.98
426_1024,1003483,31.69
426_1024,1003520,30.57
426_1024,1039773,82.07
426_1024,1039867,167.3
426_1024,1040015,107.75
426_1024,1040078,83.96
426_1024,1040079,94.64
426_1024,1040203,76.78
426_1024,1040888,125.77
426_1024,1040972,148.99
426_1024,1041076,205.26
426_1024,1041215,163.34
426_1024,1043363,93.45
426_1024,1043367,93.45
426_1024,1043399,58.23
426_1024,1044932,22.01
426_1024,1044984,25.4
426_1024,1045861,55.51
426_1024,1046264,193.23
426_1024,1046276,85.2
426_1024,1047717,18.28
426_1024,1048068,7.27
426_1024,1048085,10.87
426_1024,1048165,14.95
426_1024,1048343,66.68
426_1024,1048608,83.56
426_1024,1048642,89.12
426_1024,1048857,119.67
426_1024,1048889,62.06
426_1024,1048891,109.59
426_1024,1049021,77.75
426_1024,1049040,93.45
426_1024,1049076,93.45
426_1024,1050041,23.85
426_1024,1051072,27.44
426_1024,1051074,18.98
426_1024,1051101,34.86
426_1024,1051103,24.16
426_1024,1051124,28.01
426_1024,1051157,40.09
426_1024,1051158,27.65
426_1024,1051165,42.91
426_1024,1051217,42.26
426_1024,1051886,36.95
426_1024,1052011,40.71
426_1024,1052464,32.91
426_1024,1052465,32.91
426_1024,1052467,24.16
426_1024,1052468,40.09
426_1024,1052469,27.65
426_1024,1052910,46.77
426_1024,1053178,27.66
426_1024,1053233,40.6
426_1024,1053508,20.43
426_1024,1053582,20.55
426_1024,1053630,27.82
426_1024,1053730,35.88
426_1024,1053731,35.88
426_1024,1053750,31.43
426_1024,1053848,28.75
426_1024,1053863,23.36
426_1024,1053866,28.01
426_1024,1053868,34.41
426_1024,1053869,34.41
426_1024,1054380,25.52
426_1024,1054868,42.26
426_1024,1054903,71.8
426_1024,1054909,71.8
426_1024,1054916,45.43
426_1024,1054921,64.87
426_1024,1055000,41.65
426_1024,1055161,35.1
426_1024,1055470,56.62
426_1024,1055706,47.55
426_1024,1055707,40.09
426_1024,1056122,31.41
426_1024,1056140,22.85
426_1024,1056484,38.25
426_1024,1057302,35.06
426_1024,1057329,34.22
426_1024,1057334,31.03
426_1024,1057341,42.32
426_1024,1057347,34.87
426_1024,1057411,27.7
426_1024,1057478,15.38
426_1024,1057494,43.56
426_1024,1057501,37.83
426_1024,1057507,24.39
426_1024,1057509,39.69
426_1024,1057519,44.93
426_1024,1057538,30.87
426_1024,1057540,37.92
426_1024,1057554,35.06
426_1024,1057591,31.03
426_1024,1057803,26.16
426_1024,1057814,40.19
426_1024,1057815,40.19
426_1024,1057893,34.87
426_1024,1098569,38.14
426_1024,1099287,123.06
426_1024,1125475,25.14
426_1024,1141222,83.96
426_1024,1147086,84
426_1024,1153935,101.14
426_1024,1155472,128.54
426_1024,1158895,130.37
426_1024,1160566,25.13
426_1024,1161008,27.7
426_1024,1162916,32.71
426_1024,1172828,119.69
426_1024,1173348,73.6
426_1024,1176897,41.06
