Contract ID,SAP Code,Sell Price
591 FB Davidson,1000140,10.53
591 FB Davidson,1000141,11.57
591 FB Davidson,1000142,13.85
591 FB Davidson,1000143,15
591 FB Davidson,1000144,20.3
591 FB Davidson,1000167,57.49
591 FB Davidson,1000168,46.93
591 FB Davidson,1000170,67.11
591 FB Davidson,1000179,3.67
591 FB Davidson,1000181,14.34
591 FB Davidson,1000183,11.12
591 FB Davidson,1000185,35.76
591 FB Davidson,1000186,36.37
591 FB Davidson,1000187,27.25
591 FB Davidson,1000188,9.29
591 FB Davidson,1000189,23.49
591 FB Davidson,1000191,5.28
591 FB Davidson,1000192,14.38
591 FB Davidson,1000193,17.84
591 FB Davidson,1000194,22.71
591 FB Davidson,1000199,24.12
591 FB Davidson,1000201,14.24
591 FB Davidson,1000202,65.01
591 FB Davidson,1000205,5.88
591 FB Davidson,1000206,20.3
591 FB Davidson,1000209,7.44
591 FB Davidson,1000210,6.89
591 FB Davidson,1000211,147.1
591 FB Davidson,1000215,22.1
591 FB Davidson,1000216,55.02
591 FB Davidson,1000218,80.5
591 FB Davidson,1000220,143.77
591 FB Davidson,1000221,40.17
591 FB Davidson,1000222,518.36
591 FB Davidson,1000223,616.8
591 FB Davidson,1000224,196.11
591 FB Davidson,1000226,18.27
591 FB Davidson,1000227,134.79
591 FB Davidson,1000337,67.2
591 FB Davidson,1000338,58.73
591 FB Davidson,1000414,77.75
591 FB Davidson,1000415,67.78
591 FB Davidson,1000417,63.58
591 FB Davidson,1000419,33.95
591 FB Davidson,1000420,31.99
591 FB Davidson,1000423,27.79
591 FB Davidson,1000424,26.24
591 FB Davidson,1000425,41
591 FB Davidson,1000427,54.17
591 FB Davidson,1000428,50
591 FB Davidson,1000433,61.84
591 FB Davidson,1000434,59.61
591 FB Davidson,1000435,49.22
591 FB Davidson,1000436,40.72
591 FB Davidson,1000437,37.21
591 FB Davidson,1000439,45.81
591 FB Davidson,1000441,49.84
591 FB Davidson,1000443,41.94
591 FB Davidson,1000444,58
591 FB Davidson,1000445,59.9
591 FB Davidson,1000446,39.19
591 FB Davidson,1000447,39.38
591 FB Davidson,1000464,41.97
591 FB Davidson,1000465,26.92
591 FB Davidson,1000466,52.1
591 FB Davidson,1000467,41.07
591 FB Davidson,1000468,68.61
591 FB Davidson,1000469,67.06
591 FB Davidson,1000470,27.12
591 FB Davidson,1000471,41.9
591 FB Davidson,1000473,32.47
591 FB Davidson,1000474,40.54
591 FB Davidson,1000475,55.62
591 FB Davidson,1000477,57.42
591 FB Davidson,1000509,33.26
591 FB Davidson,1000511,39.11
591 FB Davidson,1000526,25.17
591 FB Davidson,1000527,30.02
591 FB Davidson,1000530,67.35
591 FB Davidson,1000532,59.16
591 FB Davidson,1000535,48.15
591 FB Davidson,1000536,53.46
591 FB Davidson,1000537,35.83
591 FB Davidson,1000539,29.03
591 FB Davidson,1000541,33.21
591 FB Davidson,1000542,32.31
591 FB Davidson,1000544,32.82
591 FB Davidson,1000545,41.68
591 FB Davidson,1000547,36.06
591 FB Davidson,1000548,47.42
591 FB Davidson,1000549,44.34
591 FB Davidson,1000550,60
591 FB Davidson,1000551,67.54
591 FB Davidson,1000555,73.21
591 FB Davidson,1000557,29.29
591 FB Davidson,1000565,52.29
591 FB Davidson,1000566,250.56
591 FB Davidson,1000573,32.5
591 FB Davidson,1000584,11.21
591 FB Davidson,1000585,99.31
591 FB Davidson,1000586,71.69
591 FB Davidson,1000594,144.42
591 FB Davidson,1000599,82.75
591 FB Davidson,1000600,8.54
591 FB Davidson,1000601,94.03
591 FB Davidson,1000602,124.65
591 FB Davidson,1000603,48.51
591 FB Davidson,1000607,212.89
591 FB Davidson,1000619,11.84
591 FB Davidson,1000678,100.7
591 FB Davidson,1000679,26.66
591 FB Davidson,1000680,30.13
591 FB Davidson,1000681,32.28
591 FB Davidson,1000685,27.71
591 FB Davidson,1000688,13.94
591 FB Davidson,1000689,18.59
591 FB Davidson,1000693,13.94
591 FB Davidson,1000694,15.81
591 FB Davidson,1000695,18.59
591 FB Davidson,1000697,24.44
591 FB Davidson,1000698,26.66
591 FB Davidson,1000700,18.59
591 FB Davidson,1000704,13.94
591 FB Davidson,1000705,15.81
591 FB Davidson,1000707,26.66
591 FB Davidson,1000708,30.13
591 FB Davidson,1000709,44.74
591 FB Davidson,1000710,117.14
591 FB Davidson,1000711,26.66
591 FB Davidson,1000712,48.35
591 FB Davidson,1000715,34.54
591 FB Davidson,1000717,26.66
591 FB Davidson,1000718,42.18
591 FB Davidson,1000719,59.29
591 FB Davidson,1000720,59.29
591 FB Davidson,1000721,59.29
591 FB Davidson,1000723,15.13
591 FB Davidson,1000799,68.21
591 FB Davidson,1000864,39.11
591 FB Davidson,1000867,48.17
591 FB Davidson,1000996,62.71
591 FB Davidson,1001216,55.1
591 FB Davidson,1001327,57.85
591 FB Davidson,1001329,35.94
591 FB Davidson,1001330,61.98
591 FB Davidson,1001331,78.93
591 FB Davidson,1001332,43.7
591 FB Davidson,1001338,63.2
591 FB Davidson,1001383,25.39
591 FB Davidson,1001396,88.25
591 FB Davidson,1001409,44.87
591 FB Davidson,1001430,46.47
591 FB Davidson,1001436,8.53
591 FB Davidson,1001438,39.64
591 FB Davidson,1001439,40.02
591 FB Davidson,1001450,34.1
591 FB Davidson,1001451,62.5
591 FB Davidson,1001465,65.45
591 FB Davidson,1001477,42.87
591 FB Davidson,1001481,39.96
591 FB Davidson,1001619,37.6
591 FB Davidson,1001670,51.42
591 FB Davidson,1001672,37.07
591 FB Davidson,1001675,13.72
591 FB Davidson,1001677,5.13
591 FB Davidson,1001680,6.72
591 FB Davidson,1001681,8.79
591 FB Davidson,1001684,8.29
591 FB Davidson,1001692,214.09
591 FB Davidson,1001710,24.44
591 FB Davidson,1001711,24.44
591 FB Davidson,1001712,26.66
591 FB Davidson,1001716,20.52
591 FB Davidson,1001717,20.52
591 FB Davidson,1001718,26.66
591 FB Davidson,1001725,52.73
591 FB Davidson,1001736,4.33
591 FB Davidson,1001740,36.09
591 FB Davidson,1001746,31.53
591 FB Davidson,1001750,7.13
591 FB Davidson,1001769,53.73
591 FB Davidson,1001771,23.26
591 FB Davidson,1001775,30.54
591 FB Davidson,1001798,4.83
591 FB Davidson,1001806,81.51
591 FB Davidson,1001808,121.85
591 FB Davidson,1001826,20.52
591 FB Davidson,1001828,40.6
591 FB Davidson,1001846,10.83
591 FB Davidson,1001854,5.97
591 FB Davidson,1001856,19.92
591 FB Davidson,1001858,49.56
591 FB Davidson,1001868,67.16
591 FB Davidson,1001876,206.33
591 FB Davidson,1001878,250.77
591 FB Davidson,1001880,224.62
591 FB Davidson,1001882,75.45
591 FB Davidson,1001883,283.11
591 FB Davidson,1001919,40.94
591 FB Davidson,1001934,54.34
591 FB Davidson,1001985,103.34
591 FB Davidson,1002011,21.9
591 FB Davidson,1002014,27.75
591 FB Davidson,1002020,29.13
591 FB Davidson,1002021,34.25
591 FB Davidson,1002022,29.42
591 FB Davidson,1002042,15.74
591 FB Davidson,1002047,20.3
591 FB Davidson,1002049,12.28
591 FB Davidson,1002054,82.29
591 FB Davidson,1002059,121.85
591 FB Davidson,1002075,4.71
591 FB Davidson,1002079,13.42
591 FB Davidson,1002100,34.94
591 FB Davidson,1002105,52.79
591 FB Davidson,1002479,15.81
591 FB Davidson,1002480,83.87
591 FB Davidson,1002484,92.92
591 FB Davidson,1002500,38.14
591 FB Davidson,1002501,26.18
591 FB Davidson,1002503,61.01
591 FB Davidson,1002504,72.14
591 FB Davidson,1002505,35.56
591 FB Davidson,1002506,30.84
591 FB Davidson,1002509,26.79
591 FB Davidson,1002511,14.71
591 FB Davidson,1003019,11.57
591 FB Davidson,1003023,7.75
591 FB Davidson,1003040,38.4
591 FB Davidson,1003041,31.56
591 FB Davidson,1003049,117.47
591 FB Davidson,1003050,7.05
591 FB Davidson,1003055,4.13
591 FB Davidson,1003063,20.2
591 FB Davidson,1003064,18.75
591 FB Davidson,1003082,7.75
591 FB Davidson,1003083,32.96
591 FB Davidson,1003095,26.36
