Contract ID,SAP Code,Sell Price
785 HPG,1000067,45.28
785 HPG,1000068,50.2
785 HPG,1000069,74.54
785 HPG,1000072,24.32
785 HPG,1000082,44.46
785 HPG,1000088,38.2
785 HPG,1000162,20.42
785 HPG,1000348,37.56
785 HPG,1000349,55.52
785 HPG,1000355,31.92
785 HPG,1000367,101.74
785 HPG,1000384,108.16
785 HPG,1000386,43.77
785 HPG,1000393,68.17
785 HPG,1000394,130.55
785 HPG,1000398,70.87
785 HPG,1000401,70.27
785 HPG,1000402,58.44
785 HPG,1000513,49.91
785 HPG,1000514,58.6
785 HPG,1000521,19.29
785 HPG,1000523,56.66
785 HPG,1000527,20.98
785 HPG,1000530,50.37
785 HPG,1000532,43.17
785 HPG,1000535,32.43
785 HPG,1000536,40.02
785 HPG,1000537,23.52
785 HPG,1000538,25.51
785 HPG,1000539,19.32
785 HPG,1000540,20.15
785 HPG,1000541,22.2
785 HPG,1000542,20.98
785 HPG,1000544,21.98
785 HPG,1000545,27.88
785 HPG,1000547,25.94
785 HPG,1000548,31.31
785 HPG,1000549,28.6
785 HPG,1000550,47.37
785 HPG,1000551,36.13
785 HPG,1000555,47.31
785 HPG,1000557,19.04
785 HPG,1000565,35.22
785 HPG,1000567,33.9
785 HPG,1000573,19.76
785 HPG,1000637,42.68
785 HPG,1000641,74.18
785 HPG,1000654,13.63
785 HPG,1000655,66.57
785 HPG,1000659,40.89
785 HPG,1000667,55.75
785 HPG,1000678,83.61
785 HPG,1000679,21.77
785 HPG,1000680,24.6
785 HPG,1000681,26.8
785 HPG,1000685,21.97
785 HPG,1000688,11.39
785 HPG,1000689,15.18
785 HPG,1000693,11.39
785 HPG,1000694,12.9
785 HPG,1000695,15.18
785 HPG,1000697,19.96
785 HPG,1000698,21.77
785 HPG,1000699,11.39
785 HPG,1000700,15.18
785 HPG,1000704,11.39
785 HPG,1000705,12.9
785 HPG,1000707,21.77
785 HPG,1000708,24.6
785 HPG,1000709,36.55
785 HPG,1000710,99.14
785 HPG,1000711,21.77
785 HPG,1000712,39.46
785 HPG,1000715,28.21
785 HPG,1000717,21.77
785 HPG,1000718,34.45
785 HPG,1000719,48.42
785 HPG,1000720,48.42
785 HPG,1000721,48.42
785 HPG,1000723,11.57
785 HPG,1000864,24.47
785 HPG,1000867,38.19
785 HPG,1000996,51.21
785 HPG,1001327,47.52
785 HPG,1001329,26.5
785 HPG,1001330,44.34
785 HPG,1001331,48
785 HPG,1001338,43.06
785 HPG,1001345,7.48
785 HPG,1001430,31.59
785 HPG,1001619,23.33
785 HPG,1001710,19.96
785 HPG,1001711,19.96
785 HPG,1001712,21.77
785 HPG,1001716,16.77
785 HPG,1001717,16.77
785 HPG,1001718,21.77
785 HPG,1001725,41.8
785 HPG,1001740,27.85
785 HPG,1001745,51.03
785 HPG,1001746,24.96
785 HPG,1001771,17.42
785 HPG,1001775,24.94
785 HPG,1001826,16.77
785 HPG,1001828,32.2
785 HPG,1001868,46.9
785 HPG,1001932,42.39
785 HPG,1001985,40.7
785 HPG,1002002,23.54
785 HPG,1002008,30.59
785 HPG,1002010,27.98
785 HPG,1002011,16.15
785 HPG,1002014,20.99
785 HPG,1002020,24
785 HPG,1002021,28.36
785 HPG,1002022,22.41
785 HPG,1002100,19.72
785 HPG,1002479,12.9
785 HPG,1002500,28.43
785 HPG,1002505,24.13
785 HPG,1002506,20.6
785 HPG,1002509,17.94
785 HPG,1003040,29.59
785 HPG,1003041,35.01
785 HPG,1003049,92.18
785 HPG,1003059,25.32
785 HPG,1003063,15.16
785 HPG,1003083,26.71
785 HPG,1003095,29.28
785 HPG,1003100,46.84
785 HPG,1003101,16.85
785 HPG,1003102,22.02
785 HPG,1003117,31.51
785 HPG,1003126,29.08
785 HPG,1003137,27.51
785 HPG,1003204,39.03
785 HPG,1003205,29.08
785 HPG,1003227,25.92
785 HPG,1003229,33.51
785 HPG,1003281,59.74
785 HPG,1003282,88.19
785 HPG,1003308,67.07
785 HPG,1003309,76.1
785 HPG,1003378,52.88
785 HPG,1003383,34.98
785 HPG,1003387,14.1
785 HPG,1003454,30.25
785 HPG,1003477,21.8
785 HPG,1003483,24.08
785 HPG,1003520,23.54
785 HPG,1003568,32.42
785 HPG,1003599,23.69
