Contract ID,SAP Code,Sell Price
912_Vizient Tier 4 CPC,1164152,18.55
912_Vizient Tier 4 CPC,1164154,38.93
912_Vizient Tier 4 CPC,1163596,37.07
912_Vizient Tier 4 CPC,1164159,114.49
912_Vizient Tier 4 CPC,1166499,114.49
912_Vizient Tier 4 CPC,1165060,24.6
912_Vizient Tier 4 CPC,1257108,30.49
912_Vizient Tier 4 CPC,1168411,114.49
912_Vizient Tier 4 CPC,1218300,51.46
912_Vizient Tier 4 CPC,1163721,19.3
912_Vizient Tier 4 CPC,1163132,40.47
912_Vizient Tier 4 CPC,1163313,38.55
912_Vizient Tier 4 CPC,1205045,142.69
912_Vizient Tier 4 CPC,1163131,114.49
912_Vizient Tier 4 CPC,1276788,30.65
912_Vizient Tier 4 CPC,1259764,307.98
912_Vizient Tier 4 CPC,1266071,319.43
912_Vizient Tier 4 CPC,1354457,307.98
912_Vizient Tier 4 CPC,1266074,319.43
912_Vizient Tier 4 CPC,1163726,114.49
912_Vizient Tier 4 CPC,1205341,114.49
912_Vizient Tier 4 CPC,1165064,25.58
912_Vizient Tier 4 CPC,1215970,31.71
912_Vizient Tier 4 CPC,1314224,27.56
912_Vizient Tier 4 CPC,1165126,114.49
912_Vizient Tier 4 CPC,1168328,114.49
912_Vizient Tier 4 CPC,1278821,34.35
912_Vizient Tier 4 CPC,1093649,27.05
912_Vizient Tier 4 CPC,1080070,14.38
912_Vizient Tier 4 CPC,1080071,15.25
912_Vizient Tier 4 CPC,1000566,124.1
912_Vizient Tier 4 CPC,1091522,124.1
912_Vizient Tier 4 CPC,1093210,54.44
912_Vizient Tier 4 CPC,1093648,31.9
912_Vizient Tier 4 CPC,1162632,28.25
912_Vizient Tier 4 CPC,1093552,28.25
912_Vizient Tier 4 CPC,1093640,29.67
912_Vizient Tier 4 CPC,1254497,35.4
912_Vizient Tier 4 CPC,1208297,176.26
912_Vizient Tier 4 CPC,1278826,25.4
912_Vizient Tier 4 CPC,1092372,67.14
912_Vizient Tier 4 CPC,1185209,0
912_Vizient Tier 4 CPC,1378174,0
912_Vizient Tier 4 CPC,1378176,0
912_Vizient Tier 4 CPC,1185250,0
912_Vizient Tier 4 CPC,1390481,0
912_Vizient Tier 4 CPC,1180925,67.16
912_Vizient Tier 4 CPC,1388150,66.26
912_Vizient Tier 4 CPC,1372413,72.99
912_Vizient Tier 4 CPC,1093654,52.96
912_Vizient Tier 4 CPC,1159681,25.59
912_Vizient Tier 4 CPC,1093651,50.5
912_Vizient Tier 4 CPC,1093650,34.32
912_Vizient Tier 4 CPC,1093658,34.58
912_Vizient Tier 4 CPC,1197375,55.48
912_Vizient Tier 4 CPC,1348483,32.91
912_Vizient Tier 4 CPC,1378159,37.41
912_Vizient Tier 4 CPC,1378160,37.41
912_Vizient Tier 4 CPC,1378161,46.75
912_Vizient Tier 4 CPC,1378162,23.53
912_Vizient Tier 4 CPC,1378163,41.97
912_Vizient Tier 4 CPC,1377141,22.86
912_Vizient Tier 4 CPC,1308144,0
912_Vizient Tier 4 CPC,1308147,0
912_Vizient Tier 4 CPC,1298174,0
912_Vizient Tier 4 CPC,1300336,0
912_Vizient Tier 4 CPC,1315516,34.19
912_Vizient Tier 4 CPC,1306704,32.5
912_Vizient Tier 4 CPC,1315369,22.27
912_Vizient Tier 4 CPC,1092251,19.87
912_Vizient Tier 4 CPC,1300339,19.87
912_Vizient Tier 4 CPC,1311336,23.15
912_Vizient Tier 4 CPC,1312305,21.76
912_Vizient Tier 4 CPC,1166746,37.16
912_Vizient Tier 4 CPC,1378164,48.23
912_Vizient Tier 4 CPC,1091784,82.16
912_Vizient Tier 4 CPC,1359401,0
912_Vizient Tier 4 CPC,1190678,0
912_Vizient Tier 4 CPC,1197478,0
912_Vizient Tier 4 CPC,1318831,0
912_Vizient Tier 4 CPC,1091403,82.16
912_Vizient Tier 4 CPC,1186243,41.41
912_Vizient Tier 4 CPC,1179759,49.94
912_Vizient Tier 4 CPC,1316323,36.17
912_Vizient Tier 4 CPC,1166677,28.57
912_Vizient Tier 4 CPC,1140369,26.7
912_Vizient Tier 4 CPC,1140390,29.38
912_Vizient Tier 4 CPC,1158315,37.53
912_Vizient Tier 4 CPC,1159696,62.62
912_Vizient Tier 4 CPC,1140391,59.66
912_Vizient Tier 4 CPC,1180086,35.81
912_Vizient Tier 4 CPC,1091160,20.02
912_Vizient Tier 4 CPC,1092489,22.04
912_Vizient Tier 4 CPC,1091639,37.44
912_Vizient Tier 4 CPC,1091780,49.93
912_Vizient Tier 4 CPC,1311584,32.82
912_Vizient Tier 4 CPC,1091775,28.33
912_Vizient Tier 4 CPC,1278827,26.48
912_Vizient Tier 4 CPC,1093227,26.48
912_Vizient Tier 4 CPC,1093613,39.89
912_Vizient Tier 4 CPC,1000565,39.89
912_Vizient Tier 4 CPC,1378167,23.95
912_Vizient Tier 4 CPC,1091188,38.59
912_Vizient Tier 4 CPC,1091240,286.54
912_Vizient Tier 4 CPC,1160099,65.6
912_Vizient Tier 4 CPC,1278845,29.45
912_Vizient Tier 4 CPC,1300340,0
912_Vizient Tier 4 CPC,1308148,0
912_Vizient Tier 4 CPC,1313585,0
912_Vizient Tier 4 CPC,1313586,0
912_Vizient Tier 4 CPC,1311255,42.1
912_Vizient Tier 4 CPC,1300342,40.09
912_Vizient Tier 4 CPC,1332354,22.57
912_Vizient Tier 4 CPC,1311347,29.12
912_Vizient Tier 4 CPC,1309238,26.61
912_Vizient Tier 4 CPC,1311341,26.61
912_Vizient Tier 4 CPC,1194140,31.89
912_Vizient Tier 4 CPC,1361037,0
912_Vizient Tier 4 CPC,1186223,0
912_Vizient Tier 4 CPC,1335412,0
