Contract ID,SAP Code,Sell Price
323_HPSI Tier 2,1000007,23.1
323_HPSI Tier 2,1000013,37.06
323_HPSI Tier 2,1000014,51.55
323_HPSI Tier 2,1000146,13.43
323_HPSI Tier 2,1000149,19.08
323_HPSI Tier 2,1000150,18.01
323_HPSI Tier 2,1000151,20.94
323_HPSI Tier 2,1000152,24.94
323_HPSI Tier 2,1000153,22.54
323_HPSI Tier 2,1000156,17.17
323_HPSI Tier 2,1000157,21.74
323_HPSI Tier 2,1000158,28.31
323_HPSI Tier 2,1000162,26.91
323_HPSI Tier 2,1000168,42.28
323_HPSI Tier 2,1000414,82.56
323_HPSI Tier 2,1000415,77.07
323_HPSI Tier 2,1000417,72.25
323_HPSI Tier 2,1000419,42.34
323_HPSI Tier 2,1000420,35.01
323_HPSI Tier 2,1000421,39.5
323_HPSI Tier 2,1000423,30.64
323_HPSI Tier 2,1000424,30.91
323_HPSI Tier 2,1000425,43.63
323_HPSI Tier 2,1000427,47.46
323_HPSI Tier 2,1000428,50.97
323_HPSI Tier 2,1000432,44.88
323_HPSI Tier 2,1000433,69.1
323_HPSI Tier 2,1000434,67.33
323_HPSI Tier 2,1000435,60.55
323_HPSI Tier 2,1000436,42.44
323_HPSI Tier 2,1000437,39.62
323_HPSI Tier 2,1000438,90.05
323_HPSI Tier 2,1000439,51.77
323_HPSI Tier 2,1000440,62.42
323_HPSI Tier 2,1000441,53.94
323_HPSI Tier 2,1000443,46.37
323_HPSI Tier 2,1000444,57.16
323_HPSI Tier 2,1000445,62.49
323_HPSI Tier 2,1000446,40
323_HPSI Tier 2,1000447,45.83
323_HPSI Tier 2,1000464,46.2
323_HPSI Tier 2,1000465,27.62
323_HPSI Tier 2,1000466,53.29
323_HPSI Tier 2,1000467,41.65
323_HPSI Tier 2,1000468,68.74
323_HPSI Tier 2,1000469,83.58
323_HPSI Tier 2,1000470,28.68
323_HPSI Tier 2,1000471,46.23
323_HPSI Tier 2,1000472,76.99
323_HPSI Tier 2,1000473,32.53
323_HPSI Tier 2,1000474,47.99
323_HPSI Tier 2,1000475,57.91
323_HPSI Tier 2,1000477,59.02
323_HPSI Tier 2,1000486,40.94
323_HPSI Tier 2,1000487,45.01
323_HPSI Tier 2,1000489,43.92
323_HPSI Tier 2,1000490,23.98
323_HPSI Tier 2,1000491,29.35
323_HPSI Tier 2,1000511,49
323_HPSI Tier 2,1000527,27.2
323_HPSI Tier 2,1000530,75.15
323_HPSI Tier 2,1000532,53.13
323_HPSI Tier 2,1000535,37.61
323_HPSI Tier 2,1000536,52.27
323_HPSI Tier 2,1000537,33.24
323_HPSI Tier 2,1000538,35.25
323_HPSI Tier 2,1000539,28.23
323_HPSI Tier 2,1000540,27.03
323_HPSI Tier 2,1000541,30.13
323_HPSI Tier 2,1000542,26.97
323_HPSI Tier 2,1000544,27.2
323_HPSI Tier 2,1000545,37.15
323_HPSI Tier 2,1000547,33.87
323_HPSI Tier 2,1000548,41.23
323_HPSI Tier 2,1000549,27.14
323_HPSI Tier 2,1000550,68.43
323_HPSI Tier 2,1000551,51.98
323_HPSI Tier 2,1000555,62.56
323_HPSI Tier 2,1000557,22.89
323_HPSI Tier 2,1000565,50.04
323_HPSI Tier 2,1000566,250.56
323_HPSI Tier 2,1000573,32.04
323_HPSI Tier 2,1000800,67.56
323_HPSI Tier 2,1000864,33.7
323_HPSI Tier 2,1000868,46.44
323_HPSI Tier 2,1001216,78.2
323_HPSI Tier 2,1001326,52.31
323_HPSI Tier 2,1001327,55.09
323_HPSI Tier 2,1001329,35.31
323_HPSI Tier 2,1001330,56.75
323_HPSI Tier 2,1001331,67.16
323_HPSI Tier 2,1001332,42.03
323_HPSI Tier 2,1001338,55.49
323_HPSI Tier 2,1001348,55.61
323_HPSI Tier 2,1001430,42.07
323_HPSI Tier 2,1001438,34.39
323_HPSI Tier 2,1001619,32.32
323_HPSI Tier 2,1001670,57.85
323_HPSI Tier 2,1001729,19.87
323_HPSI Tier 2,1001730,26.28
323_HPSI Tier 2,1001756,19.87
323_HPSI Tier 2,1001771,20.63
323_HPSI Tier 2,1001786,26.01
323_HPSI Tier 2,1001813,27.35
323_HPSI Tier 2,1001868,56.87
323_HPSI Tier 2,1001888,23.62
323_HPSI Tier 2,1001889,30.96
323_HPSI Tier 2,1001908,37.77
323_HPSI Tier 2,1001932,40.19
323_HPSI Tier 2,1001934,53.37
323_HPSI Tier 2,1001985,77.86
323_HPSI Tier 2,1002002,27.23
323_HPSI Tier 2,1002008,36.06
323_HPSI Tier 2,1002010,28.34
323_HPSI Tier 2,1002011,18.99
323_HPSI Tier 2,1002014,24.58
323_HPSI Tier 2,1002017,23.61
323_HPSI Tier 2,1002019,23.48
323_HPSI Tier 2,1002020,28.34
323_HPSI Tier 2,1002021,33.49
323_HPSI Tier 2,1002022,25.94
323_HPSI Tier 2,1002100,39.49
323_HPSI Tier 2,1002499,12.64
323_HPSI Tier 2,1002500,37.78
323_HPSI Tier 2,1002503,57.28
323_HPSI Tier 2,1002504,79.53
323_HPSI Tier 2,1002505,29.27
323_HPSI Tier 2,1002506,25.65
323_HPSI Tier 2,1002509,23.58
323_HPSI Tier 2,1002513,17.4
323_HPSI Tier 2,1003040,38.19
323_HPSI Tier 2,1003041,39.77
323_HPSI Tier 2,1003063,18.91
323_HPSI Tier 2,1003083,32.38
323_HPSI Tier 2,1003095,34.33
323_HPSI Tier 2,1003100,53.2
323_HPSI Tier 2,1003101,19.14
323_HPSI Tier 2,1003102,26.07
323_HPSI Tier 2,1003117,35.8
323_HPSI Tier 2,1003137,32.38
323_HPSI Tier 2,1003172,30.42
323_HPSI Tier 2,1003204,44.33
323_HPSI Tier 2,1003205,34.33
323_HPSI Tier 2,1003227,30.54
323_HPSI Tier 2,1003228,27.6
323_HPSI Tier 2,1003229,38.82
323_HPSI Tier 2,1003277,29.75
323_HPSI Tier 2,1003350,45.07
323_HPSI Tier 2,1003351,45.57
323_HPSI Tier 2,1003352,43.84
323_HPSI Tier 2,1003353,45.66
323_HPSI Tier 2,1003387,16.28
323_HPSI Tier 2,1003454,34.5
323_HPSI Tier 2,1003477,29.1
323_HPSI Tier 2,1003483,30
323_HPSI Tier 2,1003520,27.23
323_HPSI Tier 2,1003636,42.85
323_HPSI Tier 2,1003976,45.21
323_HPSI Tier 2,1004120,22.86
323_HPSI Tier 2,1005144,28.75
323_HPSI Tier 2,1005710,6.1
323_HPSI Tier 2,1006063,55.73
323_HPSI Tier 2,1006320,32.28
323_HPSI Tier 2,1006467,53.39
323_HPSI Tier 2,1006713,48.85
323_HPSI Tier 2,1007538,57.91
323_HPSI Tier 2,1007862,45.91
323_HPSI Tier 2,1008159,55.92
323_HPSI Tier 2,1008372,6.69
323_HPSI Tier 2,1008776,43.21
323_HPSI Tier 2,1008896,0.01
323_HPSI Tier 2,1009738,88.03
323_HPSI Tier 2,1009958,53.39
323_HPSI Tier 2,1009959,57.91
323_HPSI Tier 2,1010214,174.5
323_HPSI Tier 2,1010231,135.57
323_HPSI Tier 2,1010233,153.97
323_HPSI Tier 2,1010234,183.75
323_HPSI Tier 2,1010238,143.37
323_HPSI Tier 2,1010287,135.79
323_HPSI Tier 2,1010455,142.27
323_HPSI Tier 2,1010465,120.32
323_HPSI Tier 2,1010479,171.6
323_HPSI Tier 2,1010505,62.42
323_HPSI Tier 2,1010511,68.63
323_HPSI Tier 2,1010516,69.72
323_HPSI Tier 2,1010526,77.49
323_HPSI Tier 2,1010528,70.64
323_HPSI Tier 2,1010530,33.41
323_HPSI Tier 2,1010541,101.57
323_HPSI Tier 2,1010557,31.74
323_HPSI Tier 2,1010558,102.79
323_HPSI Tier 2,1010559,127.66
323_HPSI Tier 2,1010725,107.71
323_HPSI Tier 2,1010727,112.61
323_HPSI Tier 2,1010728,132.42
323_HPSI Tier 2,1010729,93.48
323_HPSI Tier 2,1010816,56.74
323_HPSI Tier 2,1010831,51
323_HPSI Tier 2,1010837,33.53
323_HPSI Tier 2,1010873,276.66
323_HPSI Tier 2,1010885,66.21
323_HPSI Tier 2,1010888,43.9
323_HPSI Tier 2,1010904,70.52
323_HPSI Tier 2,1010933,59.23
323_HPSI Tier 2,1010948,64.54
323_HPSI Tier 2,1010959,61.9
323_HPSI Tier 2,1010960,73.96
323_HPSI Tier 2,1010964,73.55
323_HPSI Tier 2,1010986,79.32
323_HPSI Tier 2,1010995,49.22
323_HPSI Tier 2,1010997,46.61
323_HPSI Tier 2,1011002,64.86
323_HPSI Tier 2,1011007,94.61
323_HPSI Tier 2,1011012,57.93
323_HPSI Tier 2,1011018,94.37
323_HPSI Tier 2,1011022,42.84
323_HPSI Tier 2,1011029,66.91
323_HPSI Tier 2,1011050,67.33
323_HPSI Tier 2,1011052,67.52
323_HPSI Tier 2,1011107,85.46
323_HPSI Tier 2,1011184,37.23
323_HPSI Tier 2,1011385,29.14
323_HPSI Tier 2,1011387,46.51
323_HPSI Tier 2,1011388,46.51
323_HPSI Tier 2,1011448,77.31
323_HPSI Tier 2,1011464,77.84
323_HPSI Tier 2,1011499,98.7
323_HPSI Tier 2,1011520,75.88
323_HPSI Tier 2,1011521,114.56
323_HPSI Tier 2,1011522,75.26
323_HPSI Tier 2,1011523,112.91
323_HPSI Tier 2,1011526,149.57
323_HPSI Tier 2,1011537,70.23
323_HPSI Tier 2,1011559,30.35
323_HPSI Tier 2,1011567,50.59
323_HPSI Tier 2,1011581,29.35
323_HPSI Tier 2,1011584,33.91
323_HPSI Tier 2,1011636,126.96
323_HPSI Tier 2,1011650,42.54
323_HPSI Tier 2,1011673,42.72
323_HPSI Tier 2,1011698,55.73
323_HPSI Tier 2,1011704,47.36
323_HPSI Tier 2,1011705,53.96
323_HPSI Tier 2,1011710,63.38
323_HPSI Tier 2,1011723,80.97
323_HPSI Tier 2,1011731,88.86
323_HPSI Tier 2,1011742,104.19
323_HPSI Tier 2,1011861,117.84
323_HPSI Tier 2,1011866,63.41
323_HPSI Tier 2,1011867,71.71
323_HPSI Tier 2,1012005,102.71
323_HPSI Tier 2,1012022,94.32
323_HPSI Tier 2,1012062,80.05
323_HPSI Tier 2,1012142,85.19
323_HPSI Tier 2,1012188,68.16
323_HPSI Tier 2,1012189,70.29
323_HPSI Tier 2,1012212,136.05
323_HPSI Tier 2,1012268,117.35
323_HPSI Tier 2,1012276,108.42
323_HPSI Tier 2,1012277,80.03
323_HPSI Tier 2,1012283,88.04
323_HPSI Tier 2,1012293,60.09
323_HPSI Tier 2,1012310,62.88
323_HPSI Tier 2,1012325,105.79
323_HPSI Tier 2,1012326,74.66
323_HPSI Tier 2,1012337,73.77
323_HPSI Tier 2,1012364,26.08
323_HPSI Tier 2,1012840,51.96
323_HPSI Tier 2,1012850,49.78
323_HPSI Tier 2,1012978,71.05
323_HPSI Tier 2,1012992,101.97
323_HPSI Tier 2,1012993,65.37
323_HPSI Tier 2,1012996,50.68
323_HPSI Tier 2,1013026,47.04
323_HPSI Tier 2,1013040,51.92
323_HPSI Tier 2,1013050,70.96
323_HPSI Tier 2,1013068,52.37
323_HPSI Tier 2,1013115,95.21
323_HPSI Tier 2,1013139,74.84
323_HPSI Tier 2,1013168,91.83
323_HPSI Tier 2,1013290,67.6
323_HPSI Tier 2,1013946,90.01
323_HPSI Tier 2,1013997,129.25
323_HPSI Tier 2,1014011,47.93
323_HPSI Tier 2,1014593,36.57
323_HPSI Tier 2,1014706,141.23
323_HPSI Tier 2,1014708,79.83
323_HPSI Tier 2,1014716,65.9
