Contract ID,SAP Code,Sell Price
703 JLL CPC,1000641,138.66
703 JLL CPC,1000654,17.83
703 JLL CPC,1081137,257.52
703 JLL CPC,1082678,29.87
703 JLL CPC,1000046,30.05
703 JLL CPC,1083222,31.22
703 JLL CPC,1085320,86.99
703 JLL CPC,1000637,64.5
703 JLL CPC,1000348,41.52
703 JLL CPC,1000069,131.36
703 JLL CPC,1000655,92.77
703 JLL CPC,1000386,59.17
703 JLL CPC,1086119,57.65
703 JLL CPC,1000659,60.86
703 JLL CPC,1000630,58.73
703 JLL CPC,1000366,75.69
703 JLL CPC,1000082,73.37
703 JLL CPC,1003568,44.02
703 JLL CPC,1089618,109.68
703 JLL CPC,1089619,109.97
703 JLL CPC,1000398,123.33
703 JLL CPC,1003281,112.8
703 JLL CPC,1000667,99.07
703 JLL CPC,1000401,100.96
703 JLL CPC,1000395,80.34
703 JLL CPC,1000393,132.92
703 JLL CPC,1000394,193.52
703 JLL CPC,1000402,85.48
703 JLL CPC,1000067,65.03
703 JLL CPC,1090487,41.97
703 JLL CPC,1000349,63.34
703 JLL CPC,1000356,30.47
703 JLL CPC,1000355,33.96
703 JLL CPC,1000088,49.09
703 JLL CPC,1000521,32.57
703 JLL CPC,1003059,41.39
703 JLL CPC,1000523,79.64
703 JLL CPC,1098142,65.92
703 JLL CPC,1098569,50.41
703 JLL CPC,1099278,155.65
703 JLL CPC,1126499,376.71
703 JLL CPC,1144927,1526.79
703 JLL CPC,1147086,70.28
703 JLL CPC,1148363,80.41
703 JLL CPC,1152616,136.7
703 JLL CPC,1163010,33.42
703 JLL CPC,1166391,58.4
703 JLL CPC,1167626,90.87
703 JLL CPC,1179359,26.13
703 JLL CPC,1179680,40.35
703 JLL CPC,1191324,422.07
703 JLL CPC,1199021,56.95
703 JLL CPC,1199869,44.25
703 JLL CPC,1201410,71.29
703 JLL CPC,1203691,61.55
703 JLL CPC,1203695,98.14
703 JLL CPC,1203699,68.64
703 JLL CPC,1212029,84.02
703 JLL CPC,1226837,138.08
703 JLL CPC,1237277,120.14
703 JLL CPC,1239380,58.78
703 JLL CPC,1239384,51.89
703 JLL CPC,1239407,65.27
703 JLL CPC,1239412,85.08
703 JLL CPC,1239420,101.67
703 JLL CPC,1239427,60.73
703 JLL CPC,1239429,52.3
703 JLL CPC,1239432,61.48
703 JLL CPC,1239446,73.22
703 JLL CPC,1239449,118.52
703 JLL CPC,1239452,113.94
703 JLL CPC,1239454,55.44
703 JLL CPC,1239458,61.4
703 JLL CPC,1239459,63.08
703 JLL CPC,1239461,81.12
703 JLL CPC,1239465,97.36
703 JLL CPC,1239467,136.23
703 JLL CPC,1239468,113.16
703 JLL CPC,1239471,84.27
703 JLL CPC,1242802,175.69
703 JLL CPC,1242812,60.56
703 JLL CPC,1242834,39.83
703 JLL CPC,1242838,63.52
703 JLL CPC,1242845,106.12
703 JLL CPC,1242864,162.88
703 JLL CPC,1242898,348
703 JLL CPC,1242900,255.2
703 JLL CPC,1242902,47
703 JLL CPC,1242911,62.7
703 JLL CPC,1242914,50.01
703 JLL CPC,1242919,76.2
703 JLL CPC,1242925,75.5
703 JLL CPC,1242933,85.45
703 JLL CPC,1242936,133.31
703 JLL CPC,1242937,62.27
703 JLL CPC,1242938,84.84
703 JLL CPC,1242941,117.53
703 JLL CPC,1242949,85.13
703 JLL CPC,1242954,124
703 JLL CPC,1242957,100.03
703 JLL CPC,1242975,128.24
703 JLL CPC,1242976,152.33
703 JLL CPC,1242991,77.15
703 JLL CPC,1243277,76
703 JLL CPC,1243317,496.54
703 JLL CPC,1243405,52.29
703 JLL CPC,1243409,79.52
703 JLL CPC,1246666,76.29
703 JLL CPC,1247114,82.38
703 JLL CPC,1247116,85.33
703 JLL CPC,1247117,76.09
703 JLL CPC,1250499,125.08
703 JLL CPC,1254238,122.62
703 JLL CPC,1255648,57.14
703 JLL CPC,1256426,72.2
703 JLL CPC,1257437,81.38
703 JLL CPC,1259057,133.95
703 JLL CPC,1263342,314.02
703 JLL CPC,1281579,35.75
703 JLL CPC,1282897,36.4
703 JLL CPC,1283528,167.09
703 JLL CPC,1285486,24.05
703 JLL CPC,1287543,141.42
703 JLL CPC,1288099,135.51
703 JLL CPC,1289113,156.73
703 JLL CPC,1302876,32.99
703 JLL CPC,1307236,77.04
703 JLL CPC,1325383,108.59
703 JLL CPC,1329865,66.67
703 JLL CPC,1330610,65.46
703 JLL CPC,1336834,34.01
703 JLL CPC,1339097,203.31
703 JLL CPC,1342614,207.75
703 JLL CPC,1343275,40.64
703 JLL CPC,1354143,42.93
703 JLL CPC,1356503,146.31
703 JLL CPC,1361487,63.35
