Contract ID,SAP Code,Sell Price
Medstar Liners,1309733,28.32
Medstar Liners,1309741,19.7
Medstar Liners,1309759,26.69
Medstar Liners,1309747,20.87
Medstar Liners,1309748,14.5
Medstar Liners,1309758,21.07
Medstar Liners,1309742,31.13
Medstar Liners,1309740,22.3
Medstar Liners,1309752,25.37
Medstar Liners,1309731,25.88
Medstar Liners,1309754,22.05
Medstar Liners,1309730,15.22
Medstar Liners,1309745,21.83
Medstar Liners,1309751,17.63
Medstar Liners,1309753,34.1
Medstar Liners,1309736,19.86
Medstar Liners,1309738,23.8
Medstar Liners,1309734,31.88
Medstar Liners,1309735,23.6
Medstar Liners,1309746,24.78
Medstar Liners,1309744,18.18
Medstar Liners,1309739,35.54
Medstar Liners,1309737,28.75
Medstar Liners,1309750,32.44
Medstar Liners,1309757,17.35
Medstar Liners,1309749,32.44
Medstar Liners,1309743,27.15
Medstar Liners,1309761,25.35
Medstar Liners,1309762,19.06
Medstar Liners,1309760,25.77
Medstar Liners,1309755,27.73
Medstar Liners,1309732,30.44
Medstar Liners,1309756,18.53
Medstar Liners,1149159,29.31
Medstar Liners,1041659,8.81
Medstar Liners,1175297,8.45
Medstar Liners,1334203,18.37
Medstar Liners,1056220,29.71
Medstar Liners,1164516,23.95
Medstar Liners,1320941,23.9
Medstar Liners,1363728,23.95
Medstar Liners,1007028,17.19
Medstar Liners,1150432,19.83
Medstar Liners,1167591,26.2
Medstar Liners,1148662,33.34
Medstar Liners,1153795,33.34
Medstar Liners,1052124,29.25
Medstar Liners,1377792,35.25
Medstar Liners,1055462,37.81
Medstar Liners,1056222,25.8
Medstar Liners,1056223,36.67
Medstar Liners,1056224,34.35
Medstar Liners,1056225,34.35
Medstar Liners,1154243,26.39
Medstar Liners,1146963,21.55
Medstar Liners,1149163,30.04
Medstar Liners,1284426,15.09
Medstar Liners,1334188,18.76
Medstar Liners,1052207,25.03
Medstar Liners,1233063,32.77
Medstar Liners,1056226,26.24
Medstar Liners,1153208,19.83
Medstar Liners,1315406,21.94
Medstar Liners,1328942,20.53
Medstar Liners,1223568,17.86
Medstar Liners,1302606,25.09
Medstar Liners,1159629,26.64
Medstar Liners,1053952,19.09
Medstar Liners,1053353,19.02
Medstar Liners,1053349,20.09
Medstar Liners,1053941,22.51
Medstar Liners,1053354,22.72
Medstar Liners,1053357,26.31
Medstar Liners,1053359,40.52
Medstar Liners,1219745,33.52
Medstar Liners,1055050,31.51
Medstar Liners,1056498,16.68
Medstar Liners,1056499,23.89
Medstar Liners,1052238,13.7
Medstar Liners,1057184,15.64
Medstar Liners,1057970,12.89
Medstar Liners,1057241,21.49
Medstar Liners,1364194,25.74
Medstar Liners,1041668,49.35
Medstar Liners,1041654,4.69
Medstar Liners,1041655,6.46
Medstar Liners,1223143,9.81
Medstar Liners,1393451,13.34
Medstar Liners,1041658,13.73
Medstar Liners,1003748,21.24
Medstar Liners,1045529,21.04
Medstar Liners,1045939,23.5
Medstar Liners,1041657,16.95
Medstar Liners,1203192,28.72
Medstar Liners,1041664,8.06
Medstar Liners,1229929,22.86
Medstar Liners,1041665,21.13
Medstar Liners,1046053,28.72
Medstar Liners,1046752,34.58
Medstar Liners,1207007,31.25
Medstar Liners,1041666,13.72
Medstar Liners,1041667,10.06
Medstar Liners,1057667,14
Medstar Liners,1003478,14
Medstar Liners,1057672,18.92
Medstar Liners,1057671,18.92
Medstar Liners,1054834,26.99
Medstar Liners,1002026,19.22
