Contract ID,SAP Code,Sell Price
Medstar Liners,1237150,24.23
Medstar Liners,1237151,17.44
Medstar Liners,1237152,24.32
Medstar Liners,1237153,10.94
Medstar Liners,1237154,15.81
Medstar Liners,1237155,9.32
Medstar Liners,1237156,18.91
Medstar Liners,1237157,11.08
Medstar Liners,1237158,14.58
Medstar Liners,1237159,15.81
Medstar Liners,1237160,18.91
Medstar Liners,1175051,30.33
Medstar Liners,1228140,28.49
Medstar Liners,1173470,20.36
Medstar Liners,1211715,16.94
Medstar Liners,1201099,23.23
Medstar Liners,1228141,26.12
Medstar Liners,1221167,29.01
Medstar Liners,1214592,32.82
Medstar Liners,1173877,19.43
Medstar Liners,1228142,24.15
Medstar Liners,1228143,27.46
Medstar Liners,1228144,21.27
Medstar Liners,1203549,26.67
Medstar Liners,1228145,30.2
Medstar Liners,1237161,29.87
Medstar Liners,1237182,16.35
Medstar Liners,1237146,17.03
Medstar Liners,1237181,23.03
Medstar Liners,1237183,30.56
Medstar Liners,1237162,22.39
Medstar Liners,1264791,19.95
Medstar Liners,1237163,25.95
Medstar Liners,1237164,17.88
Medstar Liners,1237147,47.5
Medstar Liners,1237148,47.5
Medstar Liners,1237165,12.83
Medstar Liners,1237166,9.08
Medstar Liners,1237167,22.85
Medstar Liners,1228147,15.49
Medstar Liners,1237168,15.49
Medstar Liners,1237169,28.91
Medstar Liners,1237170,28.91
Medstar Liners,1237171,19.33
Medstar Liners,1237172,18.16
Medstar Liners,1237173,22.25
Medstar Liners,1237174,27.13
Medstar Liners,1237175,31.13
Medstar Liners,1237176,13.71
Medstar Liners,1237177,32.89
Medstar Liners,1163183,21.83
Medstar Liners,1228161,28.57
Medstar Liners,1057052,15.42
Medstar Liners,1228162,22.11
Medstar Liners,1153067,19.56
Medstar Liners,1051533,14.46
Medstar Liners,1057114,14.46
Medstar Liners,1051532,26.87
Medstar Liners,1237149,17.5
Medstar Liners,1051531,19.62
Medstar Liners,1144487,17.9
Medstar Liners,1051528,20.81
Medstar Liners,1051529,24.98
Medstar Liners,1051530,16.47
Medstar Liners,1051525,23.48
Medstar Liners,1314699,14.72
Medstar Liners,1051526,19.44
Medstar Liners,1228163,19.44
Medstar Liners,1051527,21.64
Medstar Liners,1237178,19.3
Medstar Liners,1237179,25.55
Medstar Liners,1051523,22.46
Medstar Liners,1051524,26.93
Medstar Liners,1051517,23.9
Medstar Liners,1051518,26.93
Medstar Liners,1167716,28.05
Medstar Liners,1051519,21.52
Medstar Liners,1051520,28.32
Medstar Liners,1051521,23.6
Medstar Liners,1237180,18.46
Medstar Liners,1056877,24.43
Medstar Liners,1051522,25.41
Medstar Liners,1169132,17.18
Medstar Liners,1228164,28.12
Medstar Liners,1228165,18.91
Medstar Liners,1167915,17
Medstar Liners,1237184,38.29
Medstar Liners,1228166,16.15
Medstar Liners,1228167,14.08
Medstar Liners,1167917,19.33
Medstar Liners,1237185,13.7
Medstar Liners,1237186,18.05
Medstar Liners,1237187,10.91
Medstar Liners,1237189,25.17
Medstar Liners,1237188,25.16
Medstar Liners,1237190,11.33
Medstar Liners,1237191,16.35
Medstar Liners,1237192,9.69
Medstar Liners,1237193,13.56
Medstar Liners,1237194,19.58
Medstar Liners,1237195,11.48
Medstar Liners,1237196,22.06
Medstar Liners,1237197,25
Medstar Liners,1237198,38.81
Medstar Liners,1237200,17.87
Medstar Liners,1237201,15.11
Medstar Liners,1237202,16.35
Medstar Liners,1237203,22.39
Medstar Liners,1237204,13.31
Medstar Liners,1237205,18.18
Medstar Liners,1237206,38.81
Medstar Liners,1237207,33.93
Medstar Liners,1237208,9.81
Medstar Liners,1237209,19.58
Medstar Liners,1237210,26.87
Medstar Liners,1051578,11.15
Medstar Liners,1051574,18.58
Medstar Liners,1051573,20.65
Medstar Liners,1237211,38.29
Medstar Liners,1051571,22.31
Medstar Liners,1239147,9.04
Medstar Liners,1239148,13.05
Medstar Liners,1239149,17.93
Medstar Liners,1239150,8.65
Medstar Liners,1239151,17.19
Medstar Liners,1239152,25.01
Medstar Liners,1239153,11.99
Medstar Liners,1239154,11.26
Medstar Liners,1239155,16.25
Medstar Liners,1239156,9.6
Medstar Liners,1239157,15.57
Medstar Liners,1239158,12.91
Medstar Liners,1239159,19.45
Medstar Liners,1239160,11.4
Medstar Liners,1239161,18.66
Medstar Liners,1239162,15.98
Medstar Liners,1239163,21.03
Medstar Liners,1239164,9.2
Medstar Liners,1239165,20.52
Medstar Liners,1239166,15.01
Medstar Liners,1239167,16.25
Medstar Liners,1239168,12.66
Medstar Liners,1239169,17.31
Medstar Liners,1239170,14.38
Medstar Liners,1239171,18.1
Medstar Liners,1239172,9.32
Medstar Liners,1239173,13.04
Medstar Liners,1239174,17.7
Medstar Liners,1239175,13.72
Medstar Liners,1239176,19.45
Medstar Liners,1044929,16.74
Medstar Liners,1175116,53.82
Medstar Liners,1176715,42.91
Medstar Liners,1155847,61.34
Medstar Liners,1230979,73.4
Medstar Liners,1053965,26.74
Medstar Liners,1237914,21.27
Medstar Liners,1173139,31.13
Medstar Liners,1227324,19.48
Medstar Liners,1227323,24.27
Medstar Liners,1227322,20.47
Medstar Liners,1212328,29.26
Medstar Liners,1227321,19.59
Medstar Liners,1227320,20.89
Medstar Liners,1166754,17.39
Medstar Liners,1269589,14.66
Medstar Liners,1227319,18.46
Medstar Liners,1217640,18.71
Medstar Liners,1269590,23.4
Medstar Liners,1172332,23.84
Medstar Liners,1215225,26.83
Medstar Liners,1170325,29.76
Medstar Liners,1165292,33.68
Medstar Liners,1204394,18.59
Medstar Liners,1172430,19.95
Medstar Liners,1173648,24.81
Medstar Liners,1176834,28.18
Medstar Liners,1201998,31.7
Medstar Liners,1227318,22.5
Medstar Liners,1227317,28.08
Medstar Liners,1173016,21.82
Medstar Liners,1175730,27.36
Medstar Liners,1168228,30.98
Medstar Liners,1227316,30.7
Medstar Liners,1239083,15.45
Medstar Liners,1239084,31.6
Medstar Liners,1239085,23.17
Medstar Liners,1239086,20.24
Medstar Liners,1239087,22.81
Medstar Liners,1239088,22.81
Medstar Liners,1239089,26.87
Medstar Liners,1239090,24.25
Medstar Liners,1239091,24.25
Medstar Liners,1239092,19.12
Medstar Liners,1241469,50.74
Medstar Liners,1241470,13.26
Medstar Liners,1239093,15.11
Medstar Liners,1239094,13.95
Medstar Liners,1239095,16.01
Medstar Liners,1239096,16.01
Medstar Liners,1239097,19.94
Medstar Liners,1239098,22.99
Medstar Liners,1378407,28.03
Medstar Liners,1239099,14.17
Medstar Liners,1241471,22.98
Medstar Liners,1041253,49.35
Medstar Liners,1191332,29.99
Medstar Liners,1227310,19.99
Medstar Liners,1057688,15.93
Medstar Liners,1227309,28.76
Medstar Liners,1057659,22.82
Medstar Liners,1227308,13.39
Medstar Liners,1056530,20.2
Medstar Liners,1057478,14.94
Medstar Liners,1058334,14.93
Medstar Liners,1057411,27.75
Medstar Liners,1053902,19.89
Medstar Liners,1057719,19.22
Medstar Liners,1175658,19.23
Medstar Liners,1058194,19.36
Medstar Liners,1057852,21.53
Medstar Liners,1057567,25.86
Medstar Liners,1057648,25.35
Medstar Liners,1056632,17.05
Medstar Liners,1057716,24.43
Medstar Liners,1057234,15.31
Medstar Liners,1057740,20.22
Medstar Liners,1058337,20.22
Medstar Liners,1054533,21.04
Medstar Liners,1058338,22.54
Medstar Liners,1058339,20.08
Medstar Liners,1057775,26.57
Medstar Liners,1057776,25.76
Medstar Liners,1207914,23.61
Medstar Liners,1227307,26.57
Medstar Liners,1057803,24.85
Medstar Liners,1002025,28.03
Medstar Liners,1057194,26.18
Medstar Liners,1057661,29.18
Medstar Liners,1057704,27.25
Medstar Liners,1227305,24.41
Medstar Liners,1058344,17.4
Medstar Liners,1057328,22.39
Medstar Liners,1057334,29.46
Medstar Liners,1057591,27.53
Medstar Liners,1057159,24.56
Medstar Liners,1057293,22.94
Medstar Liners,1175976,25.36
Medstar Liners,1227304,21.04
Medstar Liners,1058345,19.2
Medstar Liners,1057363,25.42
Medstar Liners,1058346,23.74
Medstar Liners,1057753,26.43
Medstar Liners,1227303,15.43
Medstar Liners,1227302,14.38
Medstar Liners,1227301,16.39
Medstar Liners,1169698,19.44
Medstar Liners,1167914,12.91
Medstar Liners,1175810,14.64
Medstar Liners,1235567,17.47
Medstar Liners,1227300,10.9
Medstar Liners,1209197,12.26
Medstar Liners,1227299,14
Medstar Liners,1167916,16.59
Medstar Liners,1167918,14.47
Medstar Liners,1217583,15.43
Medstar Liners,1170147,17.31
Medstar Liners,1227298,15.53
Medstar Liners,1167913,14.64
Medstar Liners,1227297,16.65
Medstar Liners,1169627,19.86
Medstar Liners,1239100,9.25
Medstar Liners,1239101,14.11
Medstar Liners,1400427,8.65
Medstar Liners,1239103,18.58
Medstar Liners,1239102,8.85
Medstar Liners,1239104,11.23
Medstar Liners,1239105,17.55
Medstar Liners,1367751,11.99
Medstar Liners,1239107,25.91
Medstar Liners,1239106,12.25
Medstar Liners,1239108,12.25
Medstar Liners,1239109,11.66
Medstar Liners,1367752,17.98
Medstar Liners,1239110,16.85
Medstar Liners,1367753,10.5
Medstar Liners,1239111,9.97
Medstar Liners,1239112,15.91
Medstar Liners,1373881,15.7
Medstar Liners,1239113,13.98
Medstar Liners,1367754,21.43
Medstar Liners,1239114,20.15
Medstar Liners,1366925,12.66
Medstar Liners,1239115,11.82
Medstar Liners,1239116,19.03
Medstar Liners,1384178,10.93
Medstar Liners,1239117,21.49
Medstar Liners,1239118,11
Medstar Liners,1368139,22.52
Medstar Liners,1239119,20.94
Medstar Liners,1366927,15.33
Medstar Liners,1239120,15.55
Medstar Liners,1367755,17.98
Medstar Liners,1239121,16.85
Medstar Liners,1239122,23.04
Medstar Liners,1239123,15.09
Medstar Liners,1367756,13.58
Medstar Liners,1239124,13.69
Medstar Liners,1366928,19.98
Medstar Liners,1239125,18.71
Medstar Liners,1239126,24.07
Medstar Liners,1239127,18.48
Medstar Liners,1161172,21.76
Medstar Liners,1053964,21.3
Medstar Liners,1239128,19.17
Medstar Liners,1239129,10.08
Medstar Liners,1368990,14
Medstar Liners,1239131,26.51
Medstar Liners,1239130,13.34
Medstar Liners,1367757,20.52
Medstar Liners,1239132,18.09
Medstar Liners,1366929,14.64
Medstar Liners,1239134,28
Medstar Liners,1239133,14.01
Medstar Liners,1366940,21.55
Medstar Liners,1239135,20.15
Medstar Liners,1239136,27.64
Medstar Liners,1239137,18.09
Medstar Liners,1239138,16.92
Medstar Liners,1054081,23.56
Medstar Liners,1197533,13.17
Medstar Liners,1279795,15.82
Medstar Liners,1308535,21.09
Medstar Liners,1225629,9.87
Medstar Liners,1053629,13.72
Medstar Liners,1227282,11.99
Medstar Liners,1053643,16.76
Medstar Liners,1055416,9.59
Medstar Liners,1053617,14.38
Medstar Liners,1055404,20.1
Medstar Liners,1053615,12.66
Medstar Liners,1170324,11.33
Medstar Liners,1053882,20.52
Medstar Liners,1053542,14.38
Medstar Liners,1054209,19.17
Medstar Liners,1055619,12.66
Medstar Liners,1055430,21.28
Medstar Liners,1207913,11.58
Medstar Liners,1227281,13.85
Medstar Liners,1227280,9.32
Medstar Liners,1055636,13.04
Medstar Liners,1053628,20.52
Medstar Liners,1227306,13.72
Medstar Liners,1055423,22.98
Medstar Liners,1239139,22.62
Medstar Liners,1383411,17.56
Medstar Liners,1378525,16.77
Medstar Liners,1378524,15.98
Medstar Liners,1239140,15.43
Medstar Liners,1239141,16.77
Medstar Liners,1239142,20.1
Medstar Liners,1239143,29.42
Medstar Liners,1239144,32.63
Medstar Liners,1239145,16.77
Medstar Liners,1239146,17.7
Medstar Liners,1234866,39.08
Medstar Liners,1271904,47.23
Medstar Liners,1260769,19.12
Medstar Liners,1382485,19.12
Medstar Liners,1155264,13.5
Medstar Liners,1273895,26.61
Medstar Liners,1155265,18.74
Medstar Liners,1155267,28.01
Medstar Liners,1252592,32.73
Medstar Liners,1155268,18.74
Medstar Liners,1353200,18.74
Medstar Liners,1155269,18.87
Medstar Liners,1144036,19.56
Medstar Liners,1260770,33.46
Medstar Liners,1200342,28.22
Medstar Liners,1155270,22.51
Medstar Liners,1155271,21.36
Medstar Liners,1155272,21.98
Medstar Liners,1241468,21.98
Medstar Liners,1155273,29.22
Medstar Liners,1323062,22.3
Medstar Liners,1155274,24.19
Medstar Liners,1177110,24.19
Medstar Liners,1155275,25.75
Medstar Liners,1363011,25.75
Medstar Liners,1155276,24.19
Medstar Liners,1155277,26.39
Medstar Liners,1155278,28.1
Medstar Liners,1150928,28.1
Medstar Liners,1054674,36.75
Medstar Liners,1054658,43.87
Medstar Liners,1054684,56.49
Medstar Liners,1364752,24.05
Medstar Liners,1359130,33.08
Medstar Liners,1372759,22.62
Medstar Liners,1364408,28.14
Medstar Liners,1363315,26.05
Medstar Liners,1321077,29.34
Medstar Liners,1389731,21.48
Medstar Liners,1404154,17.1
Medstar Liners,1404155,18.91
Medstar Liners,1371191,25.96
Medstar Liners,1369006,29.14
Medstar Liners,1369007,24.32
Medstar Liners,1369008,26.66
