Contract ID,SAP Code,Sell Price
Vizient_50025713_Diversey T2_Medstar,1000641,75.31
Vizient_50025713_Diversey T2_Medstar,1000367,101.29
Vizient_50025713_Diversey T2_Medstar,1000384,103.13
Vizient_50025713_Diversey T2_Medstar,1000654,13.34
Vizient_50025713_Diversey T2_Medstar,1000047,24.3
Vizient_50025713_Diversey T2_Medstar,1083222,21.86
Vizient_50025713_Diversey T2_Medstar,1083282,24.48
Vizient_50025713_Diversey T2_Medstar,1083380,21.86
Vizient_50025713_Diversey T2_Medstar,1085320,65.23
Vizient_50025713_Diversey T2_Medstar,1000637,42.74
Vizient_50025713_Diversey T2_Medstar,1000348,37.06
Vizient_50025713_Diversey T2_Medstar,1000069,73.95
Vizient_50025713_Diversey T2_Medstar,1000068,49.54
Vizient_50025713_Diversey T2_Medstar,1000655,66.68
Vizient_50025713_Diversey T2_Medstar,1000386,43.2
Vizient_50025713_Diversey T2_Medstar,1086119,42.16
Vizient_50025713_Diversey T2_Medstar,1000659,37.27
Vizient_50025713_Diversey T2_Medstar,1086166,84.28
Vizient_50025713_Diversey T2_Medstar,1087091,34
Vizient_50025713_Diversey T2_Medstar,1000630,47.6
Vizient_50025713_Diversey T2_Medstar,1000366,65.71
Vizient_50025713_Diversey T2_Medstar,1087807,72.8
Vizient_50025713_Diversey T2_Medstar,1000082,46.85
Vizient_50025713_Diversey T2_Medstar,1088354,105.1
Vizient_50025713_Diversey T2_Medstar,1003568,36.69
Vizient_50025713_Diversey T2_Medstar,1089618,75.45
Vizient_50025713_Diversey T2_Medstar,1089619,71.61
Vizient_50025713_Diversey T2_Medstar,1089621,50.31
Vizient_50025713_Diversey T2_Medstar,1089638,470.94
Vizient_50025713_Diversey T2_Medstar,1003282,94.8
Vizient_50025713_Diversey T2_Medstar,1000398,76.19
Vizient_50025713_Diversey T2_Medstar,1003281,64.23
Vizient_50025713_Diversey T2_Medstar,1000399,53.93
Vizient_50025713_Diversey T2_Medstar,1000400,71.64
Vizient_50025713_Diversey T2_Medstar,1003562,99.97
Vizient_50025713_Diversey T2_Medstar,1000667,59.95
Vizient_50025713_Diversey T2_Medstar,1000401,75.53
Vizient_50025713_Diversey T2_Medstar,1000395,61.54
Vizient_50025713_Diversey T2_Medstar,1000393,73.24
Vizient_50025713_Diversey T2_Medstar,1000394,140.25
Vizient_50025713_Diversey T2_Medstar,1000402,63.87
Vizient_50025713_Diversey T2_Medstar,1142103,95.01
Vizient_50025713_Diversey T2_Medstar,1000514,63.29
Vizient_50025713_Diversey T2_Medstar,1089868,91.87
Vizient_50025713_Diversey T2_Medstar,1089882,75.2
Vizient_50025713_Diversey T2_Medstar,1089895,63.81
Vizient_50025713_Diversey T2_Medstar,1000513,57.89
Vizient_50025713_Diversey T2_Medstar,1090320,76.08
