Contract ID,SAP Code,Sell Price
405/406 0724,1034128,5.78
405/406 0724,1320761,44.72
405/406 0724,1021250,0
405/406 0724,1042756,14.6
405/406 0724,1220796,52.78
405/406 0724,1240480,55.95
405/406 0724,1225433,11.85
405/406 0724,1225525,13.03
405/406 0724,1229178,21.89
405/406 0724,1232936,39.87
405/406 0724,1255638,29.61
405/406 0724,1255735,23.89
405/406 0724,1255743,22.97
405/406 0724,1255744,28.43
405/406 0724,1259151,13.33
405/406 0724,1291180,31.6
405/406 0724,1300905,46.87
405/406 0724,1333927,44.42
405/406 0724,1389408,25.47
405/406 0724,1389409,33.38
405/406 0724,1396194,28.08
405/406 0724,1397810,45.32
405/406 0724,1199982,58.03
405/406 0724,1262357,2.89
405/406 0724,1347856,66.25
405/406 0724,1347857,86.53
405/406 0724,1384012,28.27
405/406 0724,1013252,119.08
405/406 0724,1199912,230.11
405/406 0724,1351926,234.42
405/406 0724,1111314,10.62
405/406 0724,1111317,10.62
405/406 0724,1111319,10.62
405/406 0724,1111320,10.62
405/406 0724,1111321,10.62
405/406 0724,1111322,10.62
405/406 0724,1111323,10.62
405/406 0724,1115484,24.42
405/406 0724,1116036,66.46
405/406 0724,1124608,89.96
405/406 0724,1141405,74.19
405/406 0724,1142315,48.53
405/406 0724,1142890,124.88
405/406 0724,1199079,33.23
405/406 0724,1222639,3.41
405/406 0724,1222640,3.41
405/406 0724,1222641,3.41
405/406 0724,1222642,3.41
405/406 0724,1222643,3.41
405/406 0724,1222644,3.41
405/406 0724,1239597,3.41
405/406 0724,1258057,28.38
405/406 0724,1258059,28.38
405/406 0724,1258060,28.38
405/406 0724,1258062,28.38
405/406 0724,1258063,28.38
405/406 0724,1258064,28.38
405/406 0724,1258065,28.38
405/406 0724,1262849,97.06
405/406 0724,1267952,124.26
405/406 0724,1299558,28.28
405/406 0724,1341831,116.85
405/406 0724,1349036,83.46
405/406 0724,1358570,38.18
405/406 0724,1019866,100.07
405/406 0724,1163482,52.7
405/406 0724,1181376,65.11
405/406 0724,1208281,73.18
405/406 0724,1274513,35.34
405/406 0724,1276665,13.71
405/406 0724,1281174,76.84
405/406 0724,1288217,50.04
405/406 0724,1344109,73.93
405/406 0724,1361102,68.79
405/406 0724,1387124,50.04
405/406 0724,1390965,100.07
405/406 0724,1393149,52.7
405/406 0724,1274513,13.06
405/406 0724,1019373,82.15
405/406 0724,1149552,11.22
405/406 0724,1190556,5.37
405/406 0724,1199068,4.08
405/406 0724,1356116,1.68
405/406 0724,1140421,18.43
405/406 0724,1177637,18.43
405/406 0724,1180120,18.43
405/406 0724,1183944,18.43
405/406 0724,1195838,34.4
405/406 0724,1195839,34.4
405/406 0724,1317407,3.14
405/406 0724,1332305,61.87
405/406 0724,1347854,3.4
405/406 0724,1355537,34.4
405/406 0724,1371436,34.4
405/406 0724,1394729,32.3
405/406 0724,1395424,41.73
