Contract ID,SAP Code,Sell Price
574_0924,1000004,29.95
574_0924,1000007,22.7
574_0924,1000013,42.53
574_0924,1000067,49.98
574_0924,1000068,48.18
574_0924,1000069,71.67
574_0924,1000072,25.34
574_0924,1000082,42.34
574_0924,1000091,20.91
574_0924,1000122,62.12
574_0924,1000133,44.97
574_0924,1000140,11.03
574_0924,1000141,12.11
574_0924,1000142,14.51
574_0924,1000143,15.71
574_0924,1000144,21.26
574_0924,1000161,44.69
574_0924,1000162,32.72
574_0924,1000167,60.22
574_0924,1000168,49.16
574_0924,1000170,70.29
574_0924,1000179,3.84
574_0924,1000181,15.02
574_0924,1000183,11.65
574_0924,1000185,37.46
574_0924,1000186,38.09
574_0924,1000187,28.54
574_0924,1000188,9.73
574_0924,1000189,24.6
574_0924,1000191,5.53
574_0924,1000192,15.07
574_0924,1000193,18.69
574_0924,1000194,23.79
574_0924,1000199,25.26
574_0924,1000201,14.92
574_0924,1000202,68.09
574_0924,1000205,6.16
574_0924,1000206,21.26
574_0924,1000209,7.79
574_0924,1000210,7.22
574_0924,1000211,154.07
574_0924,1000215,23.15
574_0924,1000216,57.63
574_0924,1000218,84.32
574_0924,1000220,150.59
574_0924,1000221,42.08
574_0924,1000222,542.93
574_0924,1000223,646.04
574_0924,1000224,205.41
574_0924,1000226,19.14
574_0924,1000227,141.18
574_0924,1000337,70.56
574_0924,1000338,61.67
574_0924,1000348,39.25
574_0924,1000349,45.85
574_0924,1000355,29.99
574_0924,1000364,17.17
574_0924,1000366,71.99
574_0924,1000367,120.22
574_0924,1000371,58.49
574_0924,1000378,129.02
574_0924,1000384,135.29
574_0924,1000386,47.69
574_0924,1000393,77.33
574_0924,1000394,138.57
574_0924,1000395,63.57
574_0924,1000398,74.95
574_0924,1000399,52.11
574_0924,1000400,69.08
574_0924,1000401,80.05
574_0924,1000402,68.04
574_0924,1000414,78.82
574_0924,1000415,66.56
574_0924,1000419,40.24
574_0924,1000420,27.01
574_0924,1000421,27.59
574_0924,1000423,27.59
574_0924,1000424,25.59
574_0924,1000425,39.93
574_0924,1000427,56.41
574_0924,1000428,50.14
574_0924,1000433,59.29
574_0924,1000435,61.44
574_0924,1000436,39.38
574_0924,1000437,38.72
574_0924,1000438,95.1
574_0924,1000439,54.82
574_0924,1000440,72.3
574_0924,1000441,64.57
574_0924,1000443,48.28
574_0924,1000444,49.42
574_0924,1000445,62.4
574_0924,1000446,45.5
574_0924,1000447,41.92
574_0924,1000448,35.94
574_0924,1000449,0.01
574_0924,1000451,0.01
574_0924,1000457,23.96
574_0924,1000458,23.96
574_0924,1000461,23.96
574_0924,1000462,23.96
574_0924,1000464,45.55
574_0924,1000465,30.18
574_0924,1000466,56.31
574_0924,1000467,42.3
574_0924,1000468,62.22
574_0924,1000472,104.06
574_0924,1000473,30.58
574_0924,1000474,44.21
574_0924,1000475,63.33
574_0924,1000486,45.21
574_0924,1000487,53.87
574_0924,1000489,63.05
574_0924,1000490,27.12
574_0924,1000491,30.44
574_0924,1000496,0.01
574_0924,1000497,0.01
574_0924,1000502,1.18
574_0924,1000509,34.93
574_0924,1000511,41.07
574_0924,1000513,74.52
574_0924,1000514,60.32
574_0924,1000523,57.55
574_0924,1000526,26.37
574_0924,1000527,31.11
574_0924,1000530,71.47
574_0924,1000532,59.82
574_0924,1000535,47.86
574_0924,1000536,54.57
574_0924,1000537,35.89
574_0924,1000538,38.14
574_0924,1000539,31.69
574_0924,1000540,33.24
574_0924,1000541,39.11
574_0924,1000542,33.5
574_0924,1000544,34.63
574_0924,1000545,42.8
574_0924,1000547,37.71
574_0924,1000548,47.97
574_0924,1000549,41.97
574_0924,1000550,60.27
574_0924,1000551,70.41
574_0924,1000555,62.56
574_0924,1000557,29.93
574_0924,1000565,54.77
574_0924,1000566,262.44
574_0924,1000573,34.04
574_0924,1000584,11.74
574_0924,1000585,104.02
574_0924,1000586,75.09
574_0924,1000594,151.27
574_0924,1000599,86.68
574_0924,1000600,8.94
574_0924,1000601,98.49
574_0924,1000602,130.56
574_0924,1000603,50.81
574_0924,1000607,223.53
574_0924,1000619,12.41
574_0924,1000626,47.6
574_0924,1000630,41.62
574_0924,1000637,41.12
574_0924,1000641,116.49
574_0924,1000651,75.79
574_0924,1000652,101.12
574_0924,1000654,17.7
574_0924,1000655,70.75
574_0924,1000659,51.59
574_0924,1000667,57.65
574_0924,1000670,91.36
574_0924,1000678,105.47
574_0924,1000679,27.92
574_0924,1000680,31.55
574_0924,1000681,33.81
574_0924,1000685,29.03
574_0924,1000688,14.6
574_0924,1000689,19.48
574_0924,1000693,14.6
574_0924,1000694,16.56
574_0924,1000695,19.48
574_0924,1000697,25.6
574_0924,1000698,27.92
574_0924,1000700,19.48
574_0924,1000704,14.6
574_0924,1000705,16.56
574_0924,1000707,27.92
574_0924,1000708,31.55
574_0924,1000709,46.86
574_0924,1000710,122.69
574_0924,1000711,27.92
574_0924,1000712,50.64
574_0924,1000715,36.18
574_0924,1000717,27.92
574_0924,1000718,44.18
574_0924,1000719,62.1
574_0924,1000720,62.1
574_0924,1000721,62.1
574_0924,1000723,15.84
574_0924,1000799,71.44
574_0924,1000864,40.18
574_0924,1000867,50.46
574_0924,1000996,65.68
574_0924,1001216,57.86
