Contract ID,SAP Code,Sell Price
CNT2686_Medstar PDI,1352904,39.96
CNT2686_Medstar PDI,1142725,43.18
CNT2686_Medstar PDI,1282384,57.5
CNT2686_Medstar PDI,1276216,65.87
CNT2686_Medstar PDI,1170636,53.87
CNT2686_Medstar PDI,1339267,68.28
CNT2686_Medstar PDI,1283855,69.26
CNT2686_Medstar PDI,1261096,58.63
CNT2686_Medstar PDI,1306345,45.07
CNT2686_Medstar PDI,1339686,64.6
CNT2686_Medstar PDI,1339268,81.5
CNT2686_Medstar PDI,1270698,0
CNT2686_Medstar PDI,1287553,56.43
CNT2686_Medstar PDI,1374854,27.33
CNT2686_Medstar PDI,1255307,50.43
CNT2686_Medstar PDI,1229356,55.73
CNT2686_Medstar PDI,1339269,48.59
CNT2686_Medstar PDI,1150414,40.45
CNT2686_Medstar PDI,1352908,53.16
CNT2686_Medstar PDI,1339274,44.17
CNT2686_Medstar PDI,1339270,43.74
CNT2686_Medstar PDI,1327329,73.14
CNT2686_Medstar PDI,1210027,73.56
CNT2686_Medstar PDI,1352906,50.27
CNT2686_Medstar PDI,1352907,92.45
CNT2686_Medstar PDI,1352841,88.99
CNT2686_Medstar PDI,1177425,73.56
CNT2686_Medstar PDI,1298123,33.51
CNT2686_Medstar PDI,1208291,32.9
CNT2686_Medstar PDI,1299380,31.9
CNT2686_Medstar PDI,1262721,65.72
CNT2686_Medstar PDI,1262722,59.14
CNT2686_Medstar PDI,1241227,60.85
CNT2686_Medstar PDI,1352840,107.75
CNT2686_Medstar PDI,1371643,38.41
CNT2686_Medstar PDI,1170680,41.84
CNT2686_Medstar PDI,1199345,0
CNT2686_Medstar PDI,1171583,54.9
CNT2686_Medstar PDI,1027066,29.43
CNT2686_Medstar PDI,1028459,25
CNT2686_Medstar PDI,1204330,33.59
CNT2686_Medstar PDI,1028304,51.43
CNT2686_Medstar PDI,1339275,64.47
CNT2686_Medstar PDI,1339283,52.47
CNT2686_Medstar PDI,1339276,50.69
CNT2686_Medstar PDI,1151121,39.3
