Contract ID,SAP Code,Sell Price
295 GSI,1000162,38.11
295 GSI,1000527,34.99
295 GSI,1000530,73.73
295 GSI,1000532,65.35
295 GSI,1000535,49.21
295 GSI,1000536,61.16
295 GSI,1000539,33.58
295 GSI,1000548,50.4
295 GSI,1000549,47.79
295 GSI,1000551,60.76
295 GSI,1000555,86.3
295 GSI,1001330,71.69
295 GSI,1001331,85.39
295 GSI,1001338,61.78
295 GSI,1001619,35.9
295 GSI,1001746,31.95
295 GSI,1001868,72.14
295 GSI,1001985,80.41
295 GSI,1002505,36.69
295 GSI,1002506,34.37
295 GSI,1002509,31.09
295 GSI,1012451,71.48
295 GSI,1012869,39.64
295 GSI,1016292,64.9
295 GSI,1016293,70.27
295 GSI,1016305,62.55
295 GSI,1016306,49.43
295 GSI,1016326,52.42
295 GSI,1016399,71.78
295 GSI,1016400,337.89
295 GSI,1016458,235.38
295 GSI,1016475,209.34
295 GSI,1016508,174.44
295 GSI,1018834,33.2
295 GSI,1019008,83.25
295 GSI,1020727,50.34
295 GSI,1020728,50.34
295 GSI,1020729,50.34
295 GSI,1020763,96.64
295 GSI,1021275,151.2
295 GSI,1022686,58.78
295 GSI,1022909,53.62
295 GSI,1023015,62.29
295 GSI,1023061,64.95
295 GSI,1023077,27.07
295 GSI,1023773,34.09
295 GSI,1023906,38.39
295 GSI,1024068,88
295 GSI,1024294,37.37
295 GSI,1024880,67.1
295 GSI,1024956,65.29
295 GSI,1025119,50.85
295 GSI,1025299,54.53
295 GSI,1026144,71.23
295 GSI,1027864,50.23
295 GSI,1027865,52.77
295 GSI,1027892,32.98
295 GSI,1027978,45.71
295 GSI,1028014,50.23
295 GSI,1028287,38.77
295 GSI,1028960,55.44
295 GSI,1049079,79.88
295 GSI,1069803,10.84
295 GSI,1069865,34.73
295 GSI,1069932,12.83
295 GSI,1069982,6.29
295 GSI,1069998,13.06
295 GSI,1070018,13.06
295 GSI,1070509,16.41
295 GSI,1076993,50.94
295 GSI,1087745,42.25
295 GSI,1146265,213.83
295 GSI,1148195,72.93
295 GSI,1154250,58.55
295 GSI,1154251,93.99
295 GSI,1172712,67.72
295 GSI,1205162,71.04
295 GSI,1207669,170.33
295 GSI,1209363,93.99
295 GSI,1214477,61.57
295 GSI,1214966,360.63
295 GSI,1220796,67.93
295 GSI,1221182,52.43
295 GSI,1221319,30.85
295 GSI,1225490,77.95
295 GSI,1240480,52.42
295 GSI,1241532,50.61
295 GSI,1243129,73.92
295 GSI,1243294,70.97
295 GSI,1244725,58
295 GSI,1247850,99.66
295 GSI,1256749,75.42
295 GSI,1269362,99.49
295 GSI,1273824,40.86
295 GSI,1276698,60.08
295 GSI,1276699,57.98
295 GSI,1282435,75.82
295 GSI,1282437,71.35
295 GSI,1283207,43.2
295 GSI,1283209,43.2
295 GSI,1283348,38.51
295 GSI,1283350,49.55
295 GSI,1372295,11.81
