Contract ID,SAP Code,Sell Price
459 LIDL,1000183,12.29
459 LIDL,1000185,40.71
459 LIDL,1000192,14.89
459 LIDL,1000205,6.41
459 LIDL,1000210,7.73
459 LIDL,1000227,221.75
459 LIDL,1000334,8.89
459 LIDL,1000334,8.89
459 LIDL,1000600,10.29
459 LIDL,1001326,53.25
459 LIDL,1001677,5.69
459 LIDL,1001680,7.48
459 LIDL,1001681,9.14
459 LIDL,1001839,22.82
459 LIDL,1001839,22.82
459 LIDL,1001846,13.67
459 LIDL,1001865,19.09
459 LIDL,1002501,35.6
459 LIDL,1002511,22.94
459 LIDL,1003189,21.28
459 LIDL,1023645,27.27
459 LIDL,1023872,47.32
459 LIDL,1024044,23.44
459 LIDL,1024270,45.77
459 LIDL,1024280,25.25
459 LIDL,1024808,53.49
459 LIDL,1024935,3.68
459 LIDL,1024936,16.61
459 LIDL,1025516,65.91
459 LIDL,1025815,45.95
459 LIDL,1025970,53.58
459 LIDL,1026188,19.83
459 LIDL,1026994,81.24
459 LIDL,1027295,37.9
459 LIDL,1027963,51.61
459 LIDL,1028021,43.11
459 LIDL,1028897,40.16
459 LIDL,1040294,113.45
459 LIDL,1040465,50.16
459 LIDL,1052976,33.39
459 LIDL,1053353,26.92
459 LIDL,1058867,108.09
459 LIDL,1060676,72.91
459 LIDL,1073873,46.23
459 LIDL,1073875,7.71
459 LIDL,1073885,9.15
459 LIDL,1074766,117.52
459 LIDL,1074817,117.52
459 LIDL,1075594,30.99
459 LIDL,1075598,23.26
459 LIDL,1075604,279.17
459 LIDL,1075651,19.49
459 LIDL,1076214,203.55
459 LIDL,1076280,16.96
459 LIDL,1079364,23.47
459 LIDL,1080501,26.12
459 LIDL,1080533,21.29
459 LIDL,1081986,20.94
459 LIDL,1082334,90.07
459 LIDL,1093517,2.42
459 LIDL,1118565,63.25
459 LIDL,1119379,21.98
459 LIDL,1122419,118.48
459 LIDL,1156621,31.81
459 LIDL,1159297,12.65
459 LIDL,1161485,7.71
459 LIDL,1162586,50.24
459 LIDL,1162588,45.25
459 LIDL,1162589,35.41
459 LIDL,1162595,32.87
459 LIDL,1165545,0.01
459 LIDL,1177122,56.73
459 LIDL,1203282,12.65
459 LIDL,1204106,55.04
459 LIDL,1204149,12.65
459 LIDL,1205615,34.96
459 LIDL,1208195,76.12
459 LIDL,1226166,35.6
459 LIDL,1229291,5.91
