Contract ID,SAP Code,Sell Price
740_0924,1000006,28.87
740_0924,1000144,21.09
740_0924,1000188,7.57
740_0924,1000206,21.09
740_0924,1000723,14.21
740_0924,1001667,11.75
740_0924,1001740,27.57
740_0924,1001746,25.96
740_0924,1001771,24.3
740_0924,1001856,20.55
740_0924,1002002,32.09
740_0924,1002008,42.39
740_0924,1002011,22.69
740_0924,1002014,29.46
740_0924,1002020,33.26
740_0924,1002022,30.54
740_0924,1003040,44.34
740_0924,1003041,41.15
740_0924,1003063,21.31
740_0924,1003064,14.68
740_0924,1003083,38.12
740_0924,1003095,34.4
740_0924,1003100,56.05
740_0924,1003101,19.25
740_0924,1003117,37.04
740_0924,1003225,7.23
740_0924,1003227,35.88
740_0924,1003228,32.38
740_0924,1003229,45.7
740_0924,1003396,11.4
740_0924,1003454,35.72
740_0924,1040120,74.74
740_0924,1041236,34.79
740_0924,1041279,74.15
740_0924,1041280,39.44
740_0924,1041281,33.26
740_0924,1041288,15.91
740_0924,1042657,16.8
740_0924,1042753,8.12
740_0924,1042821,33.04
740_0924,1043636,24.4
740_0924,1043637,31.37
740_0924,1043981,24.95
740_0924,1043983,24.19
740_0924,1043985,23.28
740_0924,1043986,22.85
740_0924,1043989,35.02
740_0924,1043990,29.57
740_0924,1044047,38.82
740_0924,1044050,29.57
740_0924,1044051,29.57
740_0924,1044054,38.9
740_0924,1044056,27.08
740_0924,1044058,13.4
740_0924,1044059,37.6
740_0924,1044060,38.42
740_0924,1044064,18.78
740_0924,1044068,24.28
740_0924,1044069,33.99
740_0924,1044070,18.74
740_0924,1044073,27.75
740_0924,1044074,39.69
740_0924,1044075,18.87
740_0924,1044076,25.04
740_0924,1044080,21.93
740_0924,1044084,26.23
740_0924,1044590,37.59
740_0924,1044623,19.39
740_0924,1044630,12.03
740_0924,1044646,32.1
740_0924,1044647,42.55
740_0924,1044653,20.09
740_0924,1044655,69.68
740_0924,1044656,55.73
740_0924,1044658,41.78
740_0924,1044660,55.73
740_0924,1044665,41.78
740_0924,1044666,96.78
740_0924,1044672,58.06
740_0924,1044676,27.77
740_0924,1044742,31.37
740_0924,1044835,28.38
740_0924,1044930,109.87
740_0924,1044932,33.78
740_0924,1045781,69.68
740_0924,1045818,29.72
740_0924,1046037,23.89
740_0924,1046130,38.09
740_0924,1046206,38.09
740_0924,1046314,19.61
740_0924,1046319,24.77
740_0924,1046660,24.19
740_0924,1046949,63.13
740_0924,1048260,43.01
740_0924,1051020,25.76
740_0924,1051165,44.54
