Contract ID,SAP Code,Sell Price
755_1024,1000144,21.72
755_1024,1000162,36.73
755_1024,1000188,7.79
755_1024,1000206,21.72
755_1024,1000511,50.68
755_1024,1000527,32.59
755_1024,1000530,76.85
755_1024,1000532,60.53
755_1024,1000535,48.17
755_1024,1000536,59.78
755_1024,1000537,34.72
755_1024,1000538,40.07
755_1024,1000539,30.12
755_1024,1000540,31
755_1024,1000541,32.75
755_1024,1000542,35.24
755_1024,1000544,36.45
755_1024,1000545,42.54
755_1024,1000547,36
755_1024,1000548,49.83
755_1024,1000549,40.18
755_1024,1000594,147.63
755_1024,1000723,14.63
755_1024,1000864,42.7
755_1024,1001216,80.88
755_1024,1001329,40.18
755_1024,1001330,69.44
755_1024,1001331,79.26
755_1024,1001338,64.78
755_1024,1001344,64.14
755_1024,1001619,36.73
755_1024,1001740,28.39
755_1024,1001746,26.73
755_1024,1001771,31.4
755_1024,1001856,21.16
755_1024,1001868,66.45
755_1024,1001932,51.16
755_1024,1002002,42.45
755_1024,1002008,55.19
755_1024,1002010,43.33
755_1024,1002011,29.13
755_1024,1002014,37.84
755_1024,1002020,43.33
755_1024,1002021,51.19
755_1024,1002022,40.41
755_1024,1002500,44.37
755_1024,1002505,34.26
755_1024,1002506,31.33
755_1024,1003040,57.77
755_1024,1003041,53.61
755_1024,1003063,27.36
755_1024,1003064,15.11
755_1024,1003083,49.6
755_1024,1003095,37.3
755_1024,1003100,71.66
755_1024,1003102,39.67
755_1024,1003126,52.42
755_1024,1003137,49.6
755_1024,1003204,59.73
755_1024,1003205,52.42
755_1024,1003225,7.44
755_1024,1003227,46.78
755_1024,1003229,60.49
755_1024,1003396,11.74
755_1024,1003454,46.52
755_1024,1003477,32.26
755_1024,1003483,43.33
755_1024,1003520,42.45
755_1024,1003976,58.99
755_1024,1006498,61.95
755_1024,1007764,42.73
755_1024,1015508,58.67
755_1024,1023773,29.14
755_1024,1023833,28.57
755_1024,1023906,31.9
755_1024,1023924,44.5
755_1024,1024278,61.97
755_1024,1024280,46.04
755_1024,1024294,36.62
755_1024,1024302,49.49
755_1024,1024360,83.12
755_1024,1024362,64.84
755_1024,1024369,42.89
755_1024,1024444,58.34
755_1024,1024879,74.49
755_1024,1024880,62.77
755_1024,1024956,62.89
755_1024,1025360,59.49
755_1024,1025713,57.77
755_1024,1026001,63.28
755_1024,1026002,51.04
755_1024,1026121,50.3
755_1024,1026144,55.81
755_1024,1028061,63.68
755_1024,1028613,117.72
755_1024,1028697,62.76
755_1024,1028705,57.82
755_1024,1028925,68.1
755_1024,1042753,8.52
755_1024,1042821,31.93
755_1024,1043636,25.69
755_1024,1044658,42.7
755_1024,1044792,29.24
755_1024,1044835,31.55
755_1024,1044930,84.8
755_1024,1044932,34.12
755_1024,1044984,39.34
755_1024,1045757,28.52
755_1024,1045765,58.39
755_1024,1045781,71.26
755_1024,1050917,31.4
755_1024,1050997,38.19
755_1024,1051016,30.72
755_1024,1051018,33.28
755_1024,1051020,33.28
755_1024,1051024,32.9
755_1024,1051033,25.67
755_1024,1051037,36.82
755_1024,1051048,46.18
755_1024,1051055,39.67
755_1024,1051058,30.41
755_1024,1051064,67.26
755_1024,1051073,60.72
755_1024,1051074,25.42
755_1024,1051101,46.76
755_1024,1051103,32.39
755_1024,1051105,62.71
755_1024,1051109,31.21
755_1024,1051119,39.85
755_1024,1051126,71.47
755_1024,1051139,48.2
755_1024,1051157,53.79
755_1024,1051165,57.55
755_1024,1051174,69.18
755_1024,1051222,38.44
755_1024,1051297,46.52
755_1024,1051300,42.8
755_1024,1051301,37.32
755_1024,1051303,41.64
755_1024,1051304,65.61
755_1024,1051312,52.03
755_1024,1051344,66.82
