Contract ID,SAP Code,Sell Price
801_0924,1000067,45.21
801_0924,1000142,17.33
801_0924,1000143,14.49
801_0924,1000144,19.97
801_0924,1000162,33.77
801_0924,1000188,7.17
801_0924,1000206,19.97
801_0924,1000511,46.6
801_0924,1000527,29.97
801_0924,1000530,70.67
801_0924,1000532,55.66
801_0924,1000535,44.3
801_0924,1000536,54.97
801_0924,1000537,31.93
801_0924,1000538,36.84
801_0924,1000539,27.7
801_0924,1000540,28.51
801_0924,1000541,30.11
801_0924,1000542,32.4
801_0924,1000544,33.52
801_0924,1000545,39.11
801_0924,1000547,33.11
801_0924,1000548,45.83
801_0924,1000549,36.94
801_0924,1000594,135.76
801_0924,1000678,78.91
801_0924,1000679,19.47
801_0924,1000680,26.14
801_0924,1000688,9.71
801_0924,1000693,9.33
801_0924,1000694,10.67
801_0924,1000695,15.53
801_0924,1000697,19.77
801_0924,1000698,19.47
801_0924,1000699,9.71
801_0924,1000704,9.33
801_0924,1000705,11.01
801_0924,1000707,19.47
801_0924,1000710,94.13
801_0924,1000711,19.47
801_0924,1000717,19.47
801_0924,1000719,49.46
801_0924,1000720,49.46
801_0924,1000723,13.45
801_0924,1000864,39.27
801_0924,1000867,39.27
801_0924,1000996,51.88
801_0924,1001216,74.38
801_0924,1001329,36.94
801_0924,1001330,63.85
801_0924,1001331,72.89
801_0924,1001338,59.57
801_0924,1001344,58.98
801_0924,1001382,19.61
801_0924,1001383,27.54
801_0924,1001619,33.77
801_0924,1001710,19.77
801_0924,1001712,19.47
801_0924,1001716,13.95
801_0924,1001717,13.95
801_0924,1001718,19.47
801_0924,1001725,41.65
801_0924,1001740,26.11
801_0924,1001746,24.58
801_0924,1001771,28.88
801_0924,1001775,19.47
801_0924,1001826,14.39
801_0924,1001828,32.46
801_0924,1001856,19.46
801_0924,1001868,61.1
801_0924,1001932,47.05
801_0924,1002002,39.04
801_0924,1002008,50.75
801_0924,1002010,39.85
801_0924,1002011,26.79
801_0924,1002014,34.8
801_0924,1002020,39.85
801_0924,1002021,47.07
801_0924,1002022,37.16
801_0924,1002479,11.01
801_0924,1002500,40.81
801_0924,1002505,31.5
801_0924,1002506,28.81
801_0924,1003019,13.41
801_0924,1003023,9.1
801_0924,1003040,53.13
801_0924,1003041,49.3
801_0924,1003063,25.16
801_0924,1003082,9.1
801_0924,1003083,45.61
801_0924,1003095,34.3
801_0924,1003100,65.9
