Contract ID,SAP Code,Sell Price
889_BuySmart Nav,1381794,6.5
889_BuySmart Nav,1275331,8.95
889_BuySmart Nav,1223016,23.95
889_BuySmart Nav,1053922,34.75
889_BuySmart Nav,1388260,29.95
889_BuySmart Nav,1118588,10.11
889_BuySmart Nav,1034408,69.95
889_BuySmart Nav,1314593,63.25
889_BuySmart Nav,1220757,17.15
889_BuySmart Nav,1220677,11.86
889_BuySmart Nav,1124366,39.1
889_BuySmart Nav,1124452,22.97
889_BuySmart Nav,1116030,60.65
889_BuySmart Nav,1400380,43.08
889_BuySmart Nav,1145729,90.95
889_BuySmart Nav,1391141,14.95
889_BuySmart Nav,1391140,18.95
889_BuySmart Nav,1014502,38.02
889_BuySmart Nav,1168434,43.93
889_BuySmart Nav,1149966,35.94
889_BuySmart Nav,1208319,77.6
889_BuySmart Nav,1276665,17.03
889_BuySmart Nav,1170222,76.38
889_BuySmart Nav,1149965,36.21
889_BuySmart Nav,1014312,77.6
889_BuySmart Nav,1014810,73.6
889_BuySmart Nav,1014498,33
889_BuySmart Nav,1004319,57.9
889_BuySmart Nav,1303600,77.6
889_BuySmart Nav,1031437,16.78
889_BuySmart Nav,1016110,62.19
889_BuySmart Nav,1031438,19.53
889_BuySmart Nav,1215604,35.29
889_BuySmart Nav,1298084,75.46
889_BuySmart Nav,1285215,51.88
889_BuySmart Nav,1232935,56.92
889_BuySmart Nav,1229099,39.95
889_BuySmart Nav,1180970,76.95
889_BuySmart Nav,1199097,41.95
889_BuySmart Nav,1199107,33.95
889_BuySmart Nav,1199106,42.95
889_BuySmart Nav,1225380,20
889_BuySmart Nav,1225382,20
889_BuySmart Nav,1305863,34.95
889_BuySmart Nav,1321782,34.95
889_BuySmart Nav,1336053,34.95
889_BuySmart Nav,1017769,73.25
889_BuySmart Nav,1025733,39.76
889_BuySmart Nav,1315822,49.42
889_BuySmart Nav,1023211,68.79
889_BuySmart Nav,1014989,34.58
889_BuySmart Nav,1013159,102.25
889_BuySmart Nav,1015031,51.27
889_BuySmart Nav,1014603,43.52
889_BuySmart Nav,1259671,37.95
889_BuySmart Nav,1246331,75.25
889_BuySmart Nav,1044558,31.95
889_BuySmart Nav,1243923,1.87
889_BuySmart Nav,1347103,2.25
889_BuySmart Nav,1250576,2.25
889_BuySmart Nav,1305536,10.37
889_BuySmart Nav,1139093,24.88
889_BuySmart Nav,1312774,27.55
889_BuySmart Nav,1344246,3.78
889_BuySmart Nav,1305535,4.36
889_BuySmart Nav,1249199,1.9
889_BuySmart Nav,1115666,26.95
889_BuySmart Nav,1336446,35.95
889_BuySmart Nav,1379525,68.25
