Item ID,Item,Description,Item Sales Rep,DNR Activity Code,Item Vendor,Last Date Sold,Total Inventory on Hand, Preferred Vendor,Last Date Purchased, Buyer Name,Preferred Vendor Price,Extended Cost 
119778,300047,2X-LARGE BLUE POWDER-FREE NITRILE GLOVES 10/200/CS,N/A,O Non Stock Inactive,GNPR-2X-2,N/A,1,4190 HOSPECO,N/A,Noel Marucut,55.8,55.80
82893,300061,X-LARGE BLUE Powder Free  8MIL NITRILE GLOVE 10/50/CS GNEP-XL-5-T8,N/A,N Stock Active,GNEP-XL-5-T8,N/A,28,4190 HOSPECO,N/A,Noel Marucut,46.8,1310.40
82894,300062,LARGE BLUE Powder Free  8MIL NITRILE GLOVE 10/50/CS GNEP-LG-5-T8,N/A,N Stock Active,GNEP-LG-5-T8,03/13/2024,20,4190 HOSPECO,09/06/2024,Noel Marucut,52.9,1058.00
126803,330113,GREEN HEAVY APRON 36X50 8DZ/CS DAV20-36X50 *SPEC O*,N/A,O Non Stock Inactive,DAV20-36X50,N/A,2,4190 HOSPECO,N/A,Noel Marucut,21.24,42.48
122963,330180,MCPE-45B BLUE GOWN 100/CS 45" LONG  L SLEEVE THUMB LOOP,N/A,N Stock Active,MCPE-45B,03/12/2024,43,4190 HOSPECO,N/A,Noel Marucut,28.58,1228.94
83035,330230,DLWH-LG WHT LAB COAT 30/CS30EA/CS,N/A,O Non Stock Inactive,DLWH-LG,N/A,3,4190 HOSPECO,N/A,Noel Marucut,24.01,72.03
83040,330240,DLWH-MD WHITE LAB COAT 30/CS,N/A,O Non Stock Inactive,DLWH-MD,N/A,2,4190 HOSPECO,N/A,Noel Marucut,24.01,48.02
126806,330549,DCWH-2X-BB  2XL COVERALL 25/CS M1012-2X,N/A,O Non Stock Inactive,DCWH-2X-BB,N/A,1,4190 HOSPECO,N/A,Noel Marucut,41.8,41.80
126807,330566,DCWH-4X-BB-EWA COVERALL 25/CS M1017-4X  ELASTIC WRIST/ANKLE,N/A,O Non Stock Inactive,DCWH-4X-BB-EWA,N/A,225,4190 HOSPECO,N/A,Noel Marucut,2.17,488.25
109182,330608,LG BLACK 28MIL GLOVE 10DZ/CS NEOPRENE LATEX  FLOCK LINED,N/A,O Non Stock Inactive,GRFB-LG-1SY,N/A,2,4190 HOSPECO,N/A,Noel Marucut,13.5,27.00
125016,330797,LG PWDR FREE EXAM VINYL GLOVE 10/100,N/A,O Non Stock Inactive,GVEP-LG-1C,04/29/2024,50,4190 HOSPECO,N/A,Noel Marucut,24.12,1206.00
125017,330799,XL PWDR FREE EXAM VINYL GLOVE 10/100,N/A,O Non Stock Inactive,GVEP-XL-1C,05/01/2024,39,4190 HOSPECO,N/A,Noel Marucut,24.12,940.68
106061,330865,LG  BLUE PF VINYL GLOVES 2M/CS10/200/CS,N/A,O Non Stock Inactive,GVP9-LG-2-BL,N/A,14,4190 HOSPECO,N/A,Noel Marucut,80,1120.00
119774,331579,XL MICROPOUROUS COVERALL 25/CS  DCWH-XL-BB-HEWA,N/A,O Non Stock Inactive,DCWH-XL-BB-HEWA,N/A,1,4190 HOSPECO,N/A,Noel Marucut,74,74.00
126810,333078,MENS STRING KNIT GLOVE 25DZ/CS 8110/L  NATURAL COLOR,N/A,O Non Stock Inactive,8110/L,N/A,1,4190 HOSPECO,N/A,Noel Marucut,92.5,92.50
83959,460517,1/2 SEAT COVER GREEN SEAL 5MGREEN-5000  20/250EA,N/A,O Non Stock Inactive,GREEN-5000,04/25/2024,4,4190 HOSPECO,N/A,Noel Marucut,49.8,199.20
110310,510119,DRAIN & ODOR TREATMENT GS 5GAL E45-5  S/O,N/A,O Non Stock Inactive,E45-5,03/06/2024,3,2903 ECOLOGIC SOLUTIONS,N/A,Noel Marucut,76.16,228.48
126866,510141,24" BEIGE POLY THERMAL PAD 5/CS      S/O,N/A,O Non Stock Inactive,42-24,N/A,2,11834 ACS CLEANING PRODUCTS GROUP,N/A,Noel Marucut,21.58,43.16
100196,510416,PUSH BROOM PALMYRA 24"   EACHSTIFF BRN FIBERS  00720,N/A,O Non Stock Inactive,00720,04/17/2024,3,NP&PC-ODELL,N/A,Noel Marucut,8.53,25.59
89183,510461,CG8P MOP HANDLE GRAY10/CS POLY METAL CLICK N GO,N/A,O Non Stock Inactive,CG8P,N/A,1,8250 THE O'DELL CORPORATION,N/A,Noel Marucut,14.21,14.21
100207,510661,00695 FLEXIBLE DUST WAND  EA12EA/CS TOOL ONLY,N/A,O Non Stock Inactive,695,N/A,3,NP&PC-ODELL,N/A,Noel Marucut,6.93,20.79
84486,510713,92641182 32OZ SPRAY BOTTLE12/PK,N/A,O Non Stock Inactive,92641182,N/A,2,2830 ECOLAB INC.,N/A,Noel Marucut,8.67,17.34
89207,510780,MYFRESH DISPENSER WHT  EAMYCAB-F-0001006M,N/A,N Stock Active,MYCAB-F-0001006M,N/A,2,3496 FRESH PRODUCTS  LLC,N/A,Noel Marucut,3.99,7.98
121855,510866,SPICED APPLE EASY FRESH 2.0 12/BX 72/CS REFILL  S/O,N/A,O Non Stock Inactive,EFA1B-F-012I072M-01,03/05/2024,3,3496 FRESH PRODUCTS  LLC,03/21/2024,Noel Marucut,34.75,104.25
97400,510881,ICE & SNOW MELT GREEN 50#PREMIUM 49/PLT,N/A,O Non Stock Inactive,MP42940,04/24/2024,43,7386 MELTCO INC.,N/A,Noel Marucut,8.9,382.70
128331,510883,ICE & SNOW MELT GREEN 50# 49/PLT PRO POWERMELT+,N/A,N Stock Active,200250PT,N/A,637,7665 NATIONAL PAPER & PLASTICS CO.,N/A,Noel Marucut,8.15,5191.55
84515,511038,100907873  SOFT CARE IMPACT6/1200ML HAND SANITIZER,N/A,O Non Stock Inactive,100907873,N/A,1,10781 DIVERSEY INC,N/A,Noel Marucut,109.16,109.16
101340,511092,2117-08 NXT GOJO LOTION SOAP 8/1000ML DELUXE,N/A,O Non Stock Inactive,2117-08,03/12/2024,1,GOJO INDUSTRIES INC.,N/A,Noel Marucut,55.87,55.87
84545,511353,6101766 SOLID DETERGENT 4/9#AQUANOMIC 2.0  LAUNDRY,N/A,N Stock Active,6101766,N/A,2,2830 ECOLAB INC.,N/A,Noel Marucut,268.7,537.40
84546,511355,6101756 CLEARLY SOFT PLUS 2/6#AQUANOMIC 2.0  LAUNDRY,N/A,N Stock Active,6101756,N/A,2,2830 ECOLAB INC.,N/A,Noel Marucut,137.06,274.12
126874,511374,5316 MOP HEAD #16 NB  12/CS *SPEC O*,N/A,O Non Stock Inactive,5316,N/A,12,8250 THE O'DELL CORPORATION,N/A,Noel Marucut,1.93,23.16
126875,511487,14" BLUE CLEANING PAD 5/CS BCP14,N/A,N Stock Active,BCP14,N/A,2,11834 ACS CLEANING PRODUCTS GROUP,N/A,Noel Marucut,7.54,15.08
122248,511526,BT50 BLUE HUCK TOWEL 8/50CT,N/A,N Stock Active,BT50,N/A,6,46 MONARCH BRANDS,N/A,Noel Marucut,140,840.00
126876,511541,20" NATURAL LIGHT PAD UHS 5/CS NL20,N/A,N Stock Active,NL20,04/18/2024,22,11834 ACS CLEANING PRODUCTS GROUP,04/23/2024,Noel Marucut,12.71,279.62
100349,511704,32122 CLOROX SPORE DEFENSE 4CS128OZ HEALTHCARE,N/A,O Non Stock Inactive,CLO32122CT,N/A,3,S.P. RICHARDS COMPANY,N/A,Noel Marucut,86.52,259.56
84596,511725,680073 ODOR ELIMINATOR 12/32OZFABRIC & AIR  RTU,N/A,O Non Stock Inactive,680073,03/26/2024,3,SC JOHNSON PROFESSIONAL,N/A,Noel Marucut,80.88,242.64
101409,511820,9118-DSLV FLOOR STAND/DISPNSERPURELL HAND S WIPES,N/A,O Non Stock Inactive,9118-DSLV,N/A,2,GOJO INDUSTRIES INC.,N/A,Noel Marucut,163.79,327.58
122849,511858,6574-02 PURELL HEALTHY SOAP 2/CS CS6 MILD FOAM,N/A,O Non Stock Inactive,6574-02,N/A,4,GOJO INDUSTRIES INC.,N/A,Noel Marucut,36.84,147.36
121861,511908,5215-02 FMX-20 PURELL SOAP 2CS 2000ML HEALTHY FOAM SOAP,N/A,O Non Stock Inactive,5215-02,N/A,17,GOJO INDUSTRIES INC.,N/A,Noel Marucut,40.94,695.98
126878,512165,HG-3 RINSE ADDITIVE 4/1GAL,N/A,N Stock Active,0,N/A,8,11158 SPECTRUM SERVICES,N/A,Noel Marucut,63.12,504.96
84680,513117,6101054 BATHROOM CLNR 66HD2/1.3L ALKALINE FACILIPRO,N/A,N Stock Active,6101054,N/A,9,2830 ECOLAB INC.,N/A,Noel Marucut,42.07,378.63
84710,513291,6101848 TS LAUNDRY DET PLUS2.5GAL DETERGENT,N/A,N Stock Active,6101848,N/A,5,2830 ECOLAB INC.,N/A,Noel Marucut,169.65,848.25
84782,513538,6100606 APEX CHLORFREE 4/6.75#MACHINE DETERGENT,N/A,O Non Stock Inactive,6100606,N/A,1,2830 ECOLAB INC.,N/A,Noel Marucut,149.97,149.97
89291,517075,LAP16 16" LAMBSKIN REFILL PAD12/CS,N/A,O Non Stock Inactive,LAP16,N/A,12,8250 THE O'DELL CORPORATION,N/A,Noel Marucut,7.41,88.92
109924,518042,FINISH PAD   12/CS S/O,N/A,O Non Stock Inactive,4972122,N/A,1,8250 THE O'DELL CORPORATION,N/A,Noel Marucut,13.62,13.62
