Item,Description,Item Sales Rep,DNR Activity Code,Item Vendor,Last Date Sold,Total Inventory on Hand, Preferred Vendor,Last Date Purchased, Buyer Name
010508,508 SANDWICH BAG PLAIN 6/1MCS6-3/4X6-1/2 NO PRINT,N/A,N Stock Active,508,N/A,7,3266 FISCHER PAPER PRODUCTS  INC.,N/A,Suyeon Nam
010605,COOKIE BAG 5-1/2X1X4 1M/8M CS GREASE-PROOF WHITE PER BOX S/O,N/A,O Non Stock Inactive,0,N/A,8,3266 FISCHER PAPER PRODUCTS  INC.,N/A,Suyeon Nam
010858,16X16 WHITE DRY WAX WRAP 4M/CS F1616  3/1000 S/O,N/A,O Non Stock Inactive,F1616,12/13/2023,1,2758 DURABLE PACKAGING INT'L.,N/A,Suyeon Nam
010865,865 DOUBLE PANEL BREAD BAG500/CS 6X3.5X13.5 ECOCRAFT,N/A,O Non Stock Inactive,300865,N/A,1,BAGCRAFT,N/A,Suyeon Nam
020113,7"X17.25" WHT BUTCHER P40# PIZZA BOX LINER    2M/CS,N/A,O Non Stock Inactive,0,N/A,3,3825 GORDON PAPER COMPANY INC.,N/A,Suyeon Nam
1135695,PG6-9660 Black Repro 32x29x68 XH Can Liner 95gal,Nicole Sparrow,O Non Stock Inactive,PG6-9660,04/11/2024,5,340 ALUF PLASTICS DIVISION,05/10/2024,Suyeon Nam
1135973,EP-SB18 Renewable & Compostable Salad Bowls w/Lids - 18oz,N/A,O Non Stock Inactive,EP-SB18,04/17/2024,4,2832 ECO-PRODUCTS,05/01/2024,Suyeon Nam
1138891,14x14 0.8 mil BOPP Poly Sheets 1000/CS,N/A,N Stock Active,BOPP10F1414,N/A,9,LK PACKAGING,08/05/2024,Suyeon Nam
1178513,M&T Bank Stadium DIG 2-Ply Beverage Napkins - 610 White 3M/CS,N/A,O Non Stock Inactive,44345900,N/A,17,4150 HOFFMASTER GROUP INC,08/20/2024,Suyeon Nam
1178914,S366014N 36x60 14mic 200/cs,N/A,N Stock Active,S366014N,N/A,8,INTEPLAST GROUP CORPORATION,08/26/2024,Suyeon Nam
1181041,I96-3 3oz 96-Series PLA cold cup insert 1M/CS,N/A,N Stock Active,I96-3,N/A,4,VEGWARE PACKAGING INC,08/21/2024,Suyeon Nam
150249,7" WHITE PLATE FIBER 1M/CS WHITE MOLDED FIBER,N/A,O Non Stock Inactive,WH-07,N/A,20,VEGWARE PACKAGING INC,06/14/2024,Suyeon Nam
151126,BG-SCRC24 RECT CONTAINER 400/C 24 OZ 8 3/8X5.5,N/A,O Non Stock Inactive,BG-SCRC24,N/A,13,VEGWARE PACKAGING INC,N/A,Suyeon Nam
151127,EP-FSC22NFA 6X5.4X2.5 22OZ W/LID TAKEOUT CONTAINER 300/CS,N/A,N Stock Active,EP-FSC22NFA,04/15/2024,3,2832 ECO-PRODUCTS,04/19/2024,Suyeon Nam
151177,EP-BL24-C 24oz COUPE BOWLSUGARCANE 400/CS,N/A,O Non Stock Inactive,EP-BL24-C,N/A,15,2832 ECO-PRODUCTS,N/A,Suyeon Nam
