Internal ID,Distributor ID ,Network Ship To,Account Location,Invoice#,Po#,Invoice Date,Item ID,MFG Item,Item Description,Item UPC,Item SAP,Manufacturer Name,Quantity,Unit of Measure,Gross Sales $USD,Tax Amount,EDI Status(ACME)

2693137,0000004600,092000017,920022 SCHLITTERBAHN NEW BRAUNFELS,INV145755,KACEY GILL,06/10/2024 10:51 am,80202,350038,10" WHITE CORR. PIZZA BOX 50/bd 10X10X2 B-FLUTE STOCK PRINT,55000013371159,1337115,PCA CORRUGATED AND DISPLAY LLC,384,Bundle,5867.52,.00,
2693137,0000004600,092000017,920022 SCHLITTERBAHN NEW BRAUNFELS,INV145755,KACEY GILL,06/10/2024 10:51 am,131022,1124539,35111114 2lb White Food Tray 1M/cs,10037700033059,1403960,HUHTAMAKI,36,Case,878.04,.00,
2693137,0000004600,092000017,920022 SCHLITTERBAHN NEW BRAUNFELS,INV145755,KACEY GILL,06/10/2024 10:51 am,131023,1124540,35111118 3lb White Food Tray 500/cs,10037700041955,1403962,HUHTAMAKI,100,Case,2059.00,.00,
2693137,0000004600,092000017,920022 SCHLITTERBAHN NEW BRAUNFELS,INV145755,KACEY GILL,06/10/2024 10:51 am,78555,989998,Freight,55000009988101,998810,ACME PAPER & SUPPLY CO. INC.,-1,Each,.00,.00,
2693379,0000004600,461326180,326180 MISSION BBQ COLUMBIA LLC,INV145756,WILL CALL,06/10/2024 11:20 am,101777,130174,FH517 HWPS BLACK FORK 1M/CS,10078731903096,1031351,GEORGIA-PACIFIC CORPORATION,1,Case,29.94,1.80,
2693379,0000004600,461326180,326180 MISSION BBQ COLUMBIA LLC,INV145756,WILL CALL,06/10/2024 11:20 am,84363,503862,38X60 22MIC Clear Canliner 6/25/CS 60 GALLON,00840239100689,1232924,INTEPLAST GROUP CORPORATION,1,Case,35.68,2.14,
2693379,0000004600,461326180,326180 MISSION BBQ COLUMBIA LLC,INV145756,WILL CALL,06/10/2024 11:20 am,83446,371251,CHPP991B 1-COMP 9" HINGE CONTCHESAPEAKE  150/CS BLACK MFPP,00840239104328,1179838,NATIONAL PAPER & PLASTICS CO.,1,Case,35.70,,
2693977,0000004600,527000073,661995 FUTURECARE COURTLAND GARDENS,INV145759,05/28/24,06/10/2024 12:02 pm,93826,993600,9096736000 SPLASH GUARD ADFINITY 20D SCRUBBER,55000007798412,1141113,NILFISK INC,1,Each,203.83,12.23,
2693977,0000004600,527000073,661995 FUTURECARE COURTLAND GARDENS,INV145759,05/28/24,06/10/2024 12:02 pm,93575,991965,9097166000 FILTER COMPLETE9095151000 08603808,55000007839764,1130217,NILFISK INC,1,Each,39.80,2.39,
2693977,0000004600,527000073,661995 FUTURECARE COURTLAND GARDENS,INV145759,05/28/24,06/10/2024 12:02 pm,133037,980001,SERVICE LABOR 1 HOUR,,,,.5,Hour,47.50,,
2693979,0000004600,318266896,318896 HARRISON GP CAPTAINS TABLE,INV145760,,06/10/2024 12:02 pm,101748,100354,FL12PET PET FLAT LID 10/100/CWITH  STRAW SLOT CHESAPEAKE PTLID-F98SS,00840239100993,1229178,EATERY ESSENTIALS,1,Case,33.48,2.01,
2693979,0000004600,318266896,318896 HARRISON GP CAPTAINS TABLE,INV145760,,06/10/2024 12:02 pm,101747,100345,PET16 16OZ CLEAR PET CUP 1M PTC16-D98,00840239100924,1232935,EATERY ESSENTIALS,1,Case,60.59,3.64,
2694007,0000004600,527000073,661995 FUTURECARE COURTLAND GARDENS,INV145762,ADVANCE, ADFINITY 20ST, 351012024780,06/10/2024 12:15 pm,94139,996350,9096635000 ADHESIVE TIE MOUNTADFINITY,55000012187171,1218717,NILFISK INC,1,Each,9.39,.57,
2694007,0000004600,527000073,661995 FUTURECARE COURTLAND GARDENS,INV145762,ADVANCE, ADFINITY 20ST, 351012024780,06/10/2024 12:15 pm,93531,991698,9098673000 CABLE SQUEEGEE LIFT9096662000 REV 20,55000011688310,1168831,NILFISK INC,1,Each,76.98,4.62,
2694007,0000004600,527000073,661995 FUTURECARE COURTLAND GARDENS,INV145762,ADVANCE, ADFINITY 20ST, 351012024780,06/10/2024 12:15 pm,133037,980001,SERVICE LABOR 1 HOUR,,,,2,Hour,190.00,,
