CUSTOMER,ITEM,VENDOR,COMMODITY CODE,PRICE Level,UNIT PRICE
Test Customer,GC20 20oz CLEAR GREENWARE CUP1M/CS,3120 FABRI KAL CORP.,CUP CLEAR PLA,Custom,030682
Test Customer,1/6 40/40 TWIN SACK KRAFT 400/DW40NP4CES 80091,2780 DURO HILEX POLY LLC,BAG SACKS,Custom,010017
Test Customer,POWDER FREE GLOVE LG SYNTHETIC10/100  LARGE  CHESAPEAKE,7665 NATIONAL PAPER & PLASTICS CO.,SYNTHETIC GLOVES,Custom,330940
Test Customer,BLACK NITRILE GLOVES EXTRA LARGE 1M/CS,10200 AMERCARE ROYAL  LLC,NITRILE GLOVES,Custom,330306
Test Customer,1/6 40/40 TWIN SACK KRAFT 400/DW40NP4CES 80091,2780 DURO HILEX POLY LLC,BAG SACKS,Custom,010017
Test Customer,1# KRAFT SO BAGS 8/500DURO 18401,2780 DURO HILEX POLY LLC,BAGS GROCERY KRAFT,Custom,010018
Test Customer,1/6 57# KRAFT SACK 500/BDL80076  12X7X17,2780 DURO HILEX POLY LLC,BAG SACKS,Custom,010016
Test Customer,Test Item Primary Description,12737 Test Vendor ACME,ACME USE ONLY,Custom,1000004
RA NEW YORK,GC24FK STKPRT 24oz GREENWARE600/CS,3120 FABRI KAL CORP.,CUP CLEAR PLA,Custom,030701
Acme Test Customer,PET16 16OZ CLEAR PET CUP 1MPTC16-D98,2975 EATERY ESSENTIALS,CUP PET CLEAR,Custom,100345
Acme Test Customer,89460 ENMOTION ROLL TOWEL 6/CS800' WHITE,3735 GEORGIA-PACIFIC CORPORATION,TOWEL ROLL,Custom,458940
Acme Test Customer,HEAVY DUTY DEGREASER GS 4/1GALE2-G,2903 ECOLOGIC SOLUTIONS,CLEANR/DEGREASER,Custom,510731
Acme Test Customer,01499 GIANT ORANGE STRAW 4/300WRP   WRAPPED  8.35",7665 NATIONAL PAPER & PLASTICS CO.,STRAWS WRAPPED,Custom,230062
Acme Test Customer,1000028, ,COMBI-OVEN,Custom,1000028
Acme Test Customer,40X48 16MIC Clear Canliner 10/25/CS 40-45 GALLON,4519 I.B.S. SOLUTIONS CORP,CANLINER HIGH DENSITY ROLL,Custom,504491
Acme Test Customer,BLEACH CHLOR-GLO  4/1GAL4942,11158 SPECTRUM SERVICES,DISINFECTANTS,Custom,510793
Acme Test Customer,MISSION BBQ KRAFT SHOPPER12X9X15.5 BROWN KRAFT 200/CS,3283 FLEXO CONVERTERS USA  INC.,SHOPPERS BROWN,Custom,MIS125
Acme Test Customer,126 SAFEDGE COLLINS 11OZ 36/CS,2764 DOT FOODS  INC.,GLASSWARE,Custom,004362
Acme Test Customer,1/6 57# KRAFT SACK 500/BDL80076  12X7X17,2780 DURO HILEX POLY LLC,BAG SACKS,Custom,010016
Acme Test Customer,Test item new8, ,COMBI-OVEN,Custom,1000029
Acme Test Customer,RENTAL TP18WD WET/DRY VACTP20WD,7776 NILFISK-ADVANCE  INC,MACHINE ADVANCE,Custom,560001R
Acme Test Customer,1000025, ,COMBI-OVEN,Custom,1000025
Acme Test Customer,1000027, ,COMBI-OVEN,Custom,1000027
CAVA MEZZE- BALTIMORE,CHPP991B 1-COMP 9" HINGE CONTCHESAPEAKE  150/CS BLACK MFPP,7665 NATIONAL PAPER & PLASTICS CO.,POLYPRO HINGE,Custom,371251
CAVA MEZZE- BALTIMORE,CHPP991W 1-COMP 9" HINGE CONTCHESAPEAKE  150/CS WHITE MFPP,7665 NATIONAL PAPER & PLASTICS CO.,POLYPRO HINGE,Custom,371250
CAVA MEZZE- BALTIMORE,UNWRP 8" RED STIRRER  4/750/CS,7665 NATIONAL PAPER & PLASTICS CO.,STIRRER PLASTIC,Custom,230118
AVENUE GOURMET,MISSION BBQ KRAFT SHOPPER12X9X15.5 BROWN KRAFT 200/CS,3283 FLEXO CONVERTERS USA  INC.,SHOPPERS BROWN,Custom,MIS125
AVENUE GOURMET,10X9.75X10 BROWN SHOPPER1010UNK                 250/CS,5670 KAL PAC CORP.,SHOPPERS BROWN,Custom,010120
AVENUE GOURMET,200APS 2OZ Clear SOUFFLE 2500/CSPLASTIC   CHESAPEAKE,7665 NATIONAL PAPER & PLASTICS CO.,SOUFFLE PLASTIC,Custom,031522
AVENUE GOURMET,1/6 HI-D THANK YOU TSHIRT BAG1M/CS 11.5X6.5X22 12.5MIC,4519 I.B.S. SOLUTIONS CORP,T-SHIRT BAG POLY,Custom,010225
Test Company,Large Black Nitrile Gloves 1M/CS,10200 AMERCARE ROYAL  LLC,NITRILE GLOVES,Custom,330305
Test Company,TEST ITEM FOR DROP SHIP,12737 Test Vendor ACME, ,Custom,1001434
Test Company xyz,CHPP991W 1-COMP 9" HINGE CONTCHESAPEAKE  150/CS WHITE MFPP,7665 NATIONAL PAPER & PLASTICS CO.,POLYPRO HINGE,Custom,371250
Test Company xyz,CHPP66W 6" WHT PP HNG CONT 300MFPP CHESAPEAKE,7665 NATIONAL PAPER & PLASTICS CO.,POLYPRO HINGE,Custom,371247
Test Company xyz,159 BEVERAGE GLASS 12.5OZ 48CSHEAVY BASE -,2764 DOT FOODS  INC.,GLASSWARE,Custom,006427
Test Company xyz,050 TO GO WIN DELI BAG 500/CS500/CS NATURAL 300050,8796 BAGCRAFTPAPERCON,BAG WINDOW,Custom,010042
Test Company xyz,6# KRAFT SO BAGS  500/CS6x3-5/8x11  18406,669 ROSENBLOOM GROUPE INC.,BAGS GROCERY KRAFT,Custom,010152
Test Company xyz,16880 ANGEL SOFT 2-PLY T.T.80/CS 450 SHEETS,3735 GEORGIA-PACIFIC CORPORATION,TOILET TISSUE TT 2PLY,Custom,461166
Test Company xyz,8X4.75X10.25 RED SHOPPER  KRAFT NAT TINT    250/CS,11890 TULSACK,OTHER SHOPPERS,Custom,010248
Test Company xyz,KC16S 16oz VANISH COLD CUP,3120 FABRI KAL CORP.,CUP PET CLEAR,Custom,1000396
Test Company xyz,5392-02 TFX PURELL FOAM SANTZR2/1200ML SANITIZER,3790 GOJO INDUSTRIES INC.,SANITIZER HAND,Custom,530155
Test Company xyz,1000748 3-COMP SQ HINGE CONTBlack BASE/Clear LID 112/CS,10650 SABERT CORPORATION,CONTAINER MICROWAVE,Custom,088575
Test Company xyz,test  item,12737 Test Vendor ACME, ,Custom,1000107
Test Company xyz,3# KRAFT SO BAGS 500/BDL18403,2780 DURO HILEX POLY LLC,BAGS GROCERY KRAFT,Custom,010006
Test Company xyz,1/6 57# KRAFT SACK 500/BDL80076  12X7X17,2780 DURO HILEX POLY LLC,BAG SACKS,Custom,010016
Test Company xyz,1# KRAFT SO BAGS 8/500DURO 18401,2780 DURO HILEX POLY LLC,BAGS GROCERY KRAFT,Custom,010018
Test Company xyz,Opening Balance Credits, , ,Custom,1000032
Test Company xyz,4# WHT BAGS 500/CS   510045X3-1/8X9-3/4   WB04NP5CES,669 ROSENBLOOM GROUPE INC.,BAGS GROCERY WHITE,Custom,010142
Test Company xyz,***68RWA COZY CUP HOLDER 12/CS0,2440 DART CONTAINER CORPORATION,SPECIAL ORDER ONLY,Custom,100315
ACME Test Customer - Sagar,PET16 16OZ CLEAR PET CUP 1MPTC16-D98,2975 EATERY ESSENTIALS,CUP PET CLEAR,Custom,100345
STEVENSON UNIVERSITY,DSCP3 3OZ RED/WHITE FRY CUP 1M,8720 PACTIV LLC,CUP FRENCH FRY,Custom,020653
EUREST BLD 45 UNIT 6263,9X12 BBQ TRAY LINER 1M/BD50# RCYL KRAFT PAPER,3825 GORDON PAPER COMPANY INC.,BUTCHERS PAPER,Custom,020100
HEALTH SOUTH REHAB HOSPITAL,20# KRFT SO BAGS TALL 500/BDL 8-1/4x5-1/4x16-1/4,6246 ESSENDANT,BAGS GROCERY KRAFT,Custom,021013
MISSION BBQ WARMINSTER LLC,126 SAFEDGE COLLINS 11OZ 36/CS,2764 DOT FOODS  INC.,GLASSWARE,Custom,004362
MISSION BBQ WARMINSTER LLC,3% CREDIT CARD FEE, , ,Custom,1000052
MISSION BBQ WARMINSTER LLC,Courier1, , ,Custom,1000078
R.S.V.P. CATERING,8804-03 PURELL FOAM GREEN 3/CS1250ML ADX-12 HAND SANITIZER,3790 GOJO INDUSTRIES INC.,SANITIZER HAND,Custom,511180
R.S.V.P. CATERING,7.75" Black PAPER JUMBO STRAW3200/CS   WRAPPED,4150 HOFFMASTER GROUP INC,STRAWS PAPER,Custom,230022
R.S.V.P. CATERING,MED PF VINYL GLOVE 1M/C10/100 CLEAR 304340182,3940 HANDGARDS INC,VINYL GLOVES,Custom,330256
