CUSTOMER,ITEM,VENDOR,COMMODITY CODE,PRICE Level,UNIT PRICE
Test Customer 3,DUSSPF5 SMARTSTOCK PP Black FORK960/CS,3735 GEORGIA-PACIFIC CORPORATION,CUTLERY SMARTSTOCK,Custom,58.68
Test Customer 3,6.7X18X3 POLY WINE BAG WITH TAPE100/CS Clear 6343,8770 T.C. MANUFACTURING CO. INC,,BAG POLY,Custom,49.14
Test Customer 3,8# KRAFT SO BAGS 500/CS6-1/8x4x12-3/8  18408,669 ROSENBLOOM GROUPE INC.,BAGS GROCERY KRAFT,Custom,18.06
Test Customer 3,9053 3LB  WHITE FOOD TRAY 500,11290 SPECIALTY QUALITY PACKAGING,TRAY FOOD PAPER,Custom,30.43
Test Customer 3,12x10x12 BROWN SHOPPER 1212UNK       S/O      250/CS,5670 KAL PAC CORP.,SHOPPERS BROWN,Custom,133.39
Test Customer 3,CHDC16240 16oz DELI COMBO 240/ MICROWAVEABLE,7665 NATIONAL PAPER & PLASTICS CO.,CONTAINER DELI,Custom,53.41
Test Customer 3,CMFK100N SILVER ROLL CUTLERYF K,NAP WITH SILVER BAND 100CS,10650 SABERT CORPORATION,CUTLERY KITS,Custom,54.83
Test Customer 3,535555D 5X5 Clear LID F/PULP CON300/CS,10650 SABERT CORPORATION,CATER DOMES LIDS PET,Custom,147.09
Test Customer 3,LD5999 DOME LID FOR 9"PLT 250/FITS GENPAK 9" FOAM PLATES,2715 EASYPAK LLC,DOME LIDS,Custom,63.81
Test Customer 3,DX906E KRAFT XPRESSNAP 12/500/UNIVERSAL,10620 ESSITY PROFESSIONAL HYGIENE,NAPKINS FOR DISPENSER,Custom,85.51
Test Customer 3,test item,10053 S.P. RICHARDS COMPANY, ,Custom,4.00
Test Customer 3,test  item,12737 Test Vendor ACME, ,Custom,4.00
Test Customer 3,CXP-3858XXX Black Canliner 100/CS2MIL 3PLY COEX MICROBAN,340 ALUF PLASTICS DIVISION,CANLINER LINEAR LOW,Custom,59.87
Test Customer 3,38X60 16MIC Clear Canliner 8/25/CS 60 GALLON,4519 INTEPLAST GROUP CORPORATION,CANLINER HIGH DENSITY ROLL,Custom,40.69
Test Customer 3,1LB KRAFT TAKEOUT BX 450/CS100190 ECO-BOX PLA LINING,11290 SPECIALTY QUALITY PACKAGING,BIOPAK,Custom,118.72
Test Customer 3,EXTRA LARGE POWDER FREE VINYL GLOVE 1M/10/100/CS VFX,7665 NATIONAL PAPER & PLASTICS CO.,VINYL GLOVES,Custom,28.84
Test Customer 3,D820 WHT MINI MORNAP  6M/CSADVANCED 1PLY 13X13 NAPKIN,10620 ESSITY PROFESSIONAL HYGIENE,NAPKINS FOR DISPENSER,Custom,73.26
Test Customer 3,151 SAFEDGE SPLIT GLS 6OZ0,3370 FORMAN INC,GLASSWARE,Custom,.00
Test Customer 3,13X7X13.5 WHITE 65# SHOPPER250/CS  JR MART,2780 DURO HILEX POLY LLC,SHOPPERS WHITE,Custom,92.38
Test Customer 3,CHDC08240 8OZ DELI COMBO 240/ CONTAINER W/ LID MICROWAVEABLE,7665 NATIONAL PAPER & PLASTICS CO.,CONTAINER DELI,Custom,46.24
Test Customer 3,BLEACH PURE BRIGHT  6/1GALGERMICIDAL,10053 S.P. RICHARDS COMPANY,DISINFECTANTS,Custom,23.71
Test Customer 3,4MG WHITE SILVERWARE BAG 2M/CS2.75"X10",3266 FISCHER PAPER PRODUCTS  INC.,BAG SILVERWARE,Custom,29.82
Test Customer 3,YSPP300EA 3.25oz BLK SOUFFLE MW CUP       3M/CS,8720 PACTIV LLC,SOUFFLE PLASTIC,Custom,108.92
Test Customer 3,6# KRFT SO BAGS  500/CS 6x3-5/8x11  18406,2780 DURO HILEX POLY LLC,BAGS GROCERY KRAFT,Custom,19.74
Test Customer 3,126 SAFEDGE COLLINS 11OZ 36/CS,4991 JACKSON & ASSOCIATES INC.,GLASSWARE,Custom,100.00
Test Customer 3,ACM122 12X2M FOODSERVICE FILM,570 ANCHOR PACKAGING INC.,FILM FOODSERVICE,Custom,17.41
Test Customer 3,QUAT TEST STRIPS  100/BTL,955 BARTOVATION LLC.,TEST STRIPS,Custom,13.16
Test Customer 3,5# KRFT SOS BAGS   500/BD 5-1/4x3-7/16x10-15/16 18405,2780 DURO HILEX POLY LLC,BAGS GROC KRAFT,Custom,17.48
Test Customer 3,3# KRAFT SO BAGS 500/BDL18403,2780 DURO HILEX POLY LLC,BAGS GROCERY KRAFT,Custom,14.60
Test Customer 3,1/6 57# KRAFT SACK 500/BDL80076  12X7X17,2780 DURO HILEX POLY LLC,BAG SACKS,Custom,77.42
Test Customer 3,8# KRFT SO BAGS 500/BLD 6-1/8x4x12-3/8   80957,3370 FORMAN INC,BAGS GROC KRAFT,Custom,5.58
Test Customer 3,***12X3X18 BRN BAG 30# 1M/BDL0,2780 DURO HILEX POLY LLC,BAG BROWN MERCHANDISE,Custom,100.00
Test Customer 3,12# KRFT SO BAGS 500/BD 18412  7-1/8x4-1/2x13-3/4,2780 DURO HILEX POLY LLC,BAGS GROC KRAFT,Custom,100.00
Test Customer 3,1/6 75# KRAFT SACK 400/BDL80080  HEAVY SACK,2780 DURO HILEX POLY LLC,BAG SACKS,Custom,74.36
Test Customer 3,20# WHITE BAG TALL 500/BDL51040   8-1/4X5-1/4X16-1/4,669 ROSENBLOOM GROUPE INC.,BAGS GROCERY WHITE,Custom,38.78
Test Customer 3,20# KRAFT SQUAT BAG 500/BDL18421  8-1/8X6X14-1/16,2780 DURO HILEX POLY LLC,BAGS GROCERY KRAFT,Custom,21.44
Test Customer 3,SPS Error Item, , ,Custom,100.00
Test Customer 3,test drop ship item, , ,Custom,4.00
Test Customer 3,FUEL CHARGE,132 ACME PAPER & SUPPLY CO. INC., ,Custom,10.00
Test Customer 3,TEST STRIP F/FRUIT & VEGGIE TREATMENT 92332047    S/O,2830 ECOLAB INC.,TEST STRIPS,Custom,33.27
