CUSTOMER,ITEM,VENDOR,COMMODITY CODE,PRICE Level,UNIT PRICE
Test Customer,GC20 20oz CLEAR GREENWARE CUP1M/CS,3120 FABRI KAL CORP.,CUP CLEAR PLA,Custom,112.00
Test Customer,1/6 40/40 TWIN SACK KRAFT 400/DW40NP4CES 80091,2780 DURO HILEX POLY LLC,BAG SACKS,Custom,10.00
Test Customer,POWDER FREE GLOVE LG SYNTHETIC10/100  LARGE  CHESAPEAKE,7665 NATIONAL PAPER & PLASTICS CO.,SYNTHETIC GLOVES,Custom,59.45
Test Customer,BLACK NITRILE GLOVES EXTRA LARGE 1M/CS,10200 AMERCARE ROYAL  LLC,NITRILE GLOVES,Custom,87.59
Test Customer,1/6 40/40 TWIN SACK KRAFT 400/DW40NP4CES 80091,2780 DURO HILEX POLY LLC,BAG SACKS,Custom,51.70
Test Customer,1# KRAFT SO BAGS 8/500DURO 18401,2780 DURO HILEX POLY LLC,BAGS GROCERY KRAFT,Custom,55.70
Test Customer,1/6 57# KRAFT SACK 500/BDL80076  12X7X17,2780 DURO HILEX POLY LLC,BAG SACKS,Custom,32.70
Test Customer,Test Item Primary Description,12737 Test Vendor ACME,ACME USE ONLY,Custom,16.667
RA NEW YORK,GC24FK STKPRT 24oz GREENWARE600/CS,3120 FABRI KAL CORP.,CUP CLEAR PLA,Custom,90.41
Acme Test Customer,PET16 16OZ CLEAR PET CUP 1MPTC16-D98,2975 EATERY ESSENTIALS,CUP PET CLEAR,Custom,80.00
Acme Test Customer,89460 ENMOTION ROLL TOWEL 6/CS800' WHITE,3735 GEORGIA-PACIFIC CORPORATION,TOWEL ROLL,Custom,53.60
Acme Test Customer,HEAVY DUTY DEGREASER GS 4/1GALE2-G,2903 ECOLOGIC SOLUTIONS,CLEANR/DEGREASER,Custom,83.57
Acme Test Customer,01499 GIANT ORANGE STRAW 4/300WRP   WRAPPED  8.35",7665 NATIONAL PAPER & PLASTICS CO.,STRAWS WRAPPED,Custom,10.35
Acme Test Customer,1000028, ,COMBI-OVEN,Custom,100.00
Acme Test Customer,40X48 16MIC Clear Canliner 10/25/CS 40-45 GALLON,4519 I.B.S. SOLUTIONS CORP,CANLINER HIGH DENSITY ROLL,Custom,27.65
Acme Test Customer,BLEACH CHLOR-GLO  4/1GAL4942,11158 SPECTRUM SERVICES,DISINFECTANTS,Custom,11.64
Acme Test Customer,MISSION BBQ KRAFT SHOPPER12X9X15.5 BROWN KRAFT 200/CS,3283 FLEXO CONVERTERS USA  INC.,SHOPPERS BROWN,Custom,56.31
Acme Test Customer,126 SAFEDGE COLLINS 11OZ 36/CS,2764 DOT FOODS  INC.,GLASSWARE,Custom,10.00
Acme Test Customer,1/6 57# KRAFT SACK 500/BDL80076  12X7X17,2780 DURO HILEX POLY LLC,BAG SACKS,Custom,32.70
Acme Test Customer,Test item new8, ,COMBI-OVEN,Custom,1000.00
Acme Test Customer,RENTAL TP18WD WET/DRY VACTP20WD,7776 NILFISK-ADVANCE  INC,MACHINE ADVANCE,Custom,612.85
Acme Test Customer,1000025, ,COMBI-OVEN,Custom,100.00
Acme Test Customer,1000027, ,COMBI-OVEN,Custom,100.00
CAVA MEZZE- BALTIMORE,CHPP991B 1-COMP 9" HINGE CONTCHESAPEAKE  150/CS BLACK MFPP,7665 NATIONAL PAPER & PLASTICS CO.,POLYPRO HINGE,Custom,23.00
CAVA MEZZE- BALTIMORE,CHPP991W 1-COMP 9" HINGE CONTCHESAPEAKE  150/CS WHITE MFPP,7665 NATIONAL PAPER & PLASTICS CO.,POLYPRO HINGE,Custom,23.00
CAVA MEZZE- BALTIMORE,UNWRP 8" RED STIRRER  4/750/CS,7665 NATIONAL PAPER & PLASTICS CO.,STIRRER PLASTIC,Custom,11.50
AVENUE GOURMET,MISSION BBQ KRAFT SHOPPER12X9X15.5 BROWN KRAFT 200/CS,3283 FLEXO CONVERTERS USA  INC.,SHOPPERS BROWN,Custom,55.00
AVENUE GOURMET,10X9.75X10 BROWN SHOPPER1010UNK                 250/CS,5670 KAL PAC CORP.,SHOPPERS BROWN,Custom,87.50
AVENUE GOURMET,200APS 2OZ Clear SOUFFLE 2500/CSPLASTIC   CHESAPEAKE,7665 NATIONAL PAPER & PLASTICS CO.,SOUFFLE PLASTIC,Custom,.00
AVENUE GOURMET,1/6 HI-D THANK YOU TSHIRT BAG1M/CS 11.5X6.5X22 12.5MIC,4519 I.B.S. SOLUTIONS CORP,T-SHIRT BAG POLY,Custom,16.44
Test Company,Large Black Nitrile Gloves 1M/CS,10200 AMERCARE ROYAL  LLC,NITRILE GLOVES,Custom,87.59
Test Company,TEST ITEM FOR DROP SHIP,12737 Test Vendor ACME, ,Custom,1.00
Test Company xyz,CHPP991W 1-COMP 9" HINGE CONTCHESAPEAKE  150/CS WHITE MFPP,7665 NATIONAL PAPER & PLASTICS CO.,POLYPRO HINGE,Custom,23.00
Test Company xyz,CHPP66W 6" WHT PP HNG CONT 300MFPP CHESAPEAKE,7665 NATIONAL PAPER & PLASTICS CO.,POLYPRO HINGE,Custom,20.00
Test Company xyz,159 BEVERAGE GLASS 12.5OZ 48CSHEAVY BASE -,2764 DOT FOODS  INC.,GLASSWARE,Custom,55.68
Test Company xyz,050 TO GO WIN DELI BAG 500/CS500/CS NATURAL 300050,8796 BAGCRAFTPAPERCON,BAG WINDOW,Custom,150.00
Test Company xyz,6# KRAFT SO BAGS  500/CS6x3-5/8x11  18406,669 ROSENBLOOM GROUPE INC.,BAGS GROCERY KRAFT,Custom,8.49
Test Company xyz,16880 ANGEL SOFT 2-PLY T.T.80/CS 450 SHEETS,3735 GEORGIA-PACIFIC CORPORATION,TOILET TISSUE TT 2PLY,Custom,51.25
Test Company xyz,8X4.75X10.25 RED SHOPPER  KRAFT NAT TINT    250/CS,11890 TULSACK,OTHER SHOPPERS,Custom,67.25
Test Company xyz,KC16S 16oz VANISH COLD CUP,3120 FABRI KAL CORP.,CUP PET CLEAR,Custom,50.00
Test Company xyz,5392-02 TFX PURELL FOAM SANTZR2/1200ML SANITIZER,3790 GOJO INDUSTRIES INC.,SANITIZER HAND,Custom,54.40
Test Company xyz,1000748 3-COMP SQ HINGE CONTBlack BASE/Clear LID 112/CS,10650 SABERT CORPORATION,CONTAINER MICROWAVE,Custom,50.52
Test Company xyz,test  item,12737 Test Vendor ACME, ,Custom,1.00
Test Company xyz,3# KRAFT SO BAGS 500/BDL18403,2780 DURO HILEX POLY LLC,BAGS GROCERY KRAFT,Custom,8.12
Test Company xyz,1/6 57# KRAFT SACK 500/BDL80076  12X7X17,2780 DURO HILEX POLY LLC,BAG SACKS,Custom,32.50
Test Company xyz,1# KRAFT SO BAGS 8/500DURO 18401,2780 DURO HILEX POLY LLC,BAGS GROCERY KRAFT,Custom,79.90
Test Company xyz,Opening Balance Credits, , ,Custom,100.00
Test Company xyz,4# WHT BAGS 500/CS   510045X3-1/8X9-3/4   WB04NP5CES,669 ROSENBLOOM GROUPE INC.,BAGS GROCERY WHITE,Custom,8.15
Test Company xyz,***68RWA COZY CUP HOLDER 12/CS0,2440 DART CONTAINER CORPORATION,SPECIAL ORDER ONLY,Custom,3.03
ACME Test Customer - Sagar,PET16 16OZ CLEAR PET CUP 1MPTC16-D98,2975 EATERY ESSENTIALS,CUP PET CLEAR,Custom,70.00
STEVENSON UNIVERSITY,DSCP3 3OZ RED/WHITE FRY CUP 1M,8720 PACTIV LLC,CUP FRENCH FRY,Custom,83.77
EUREST BLD 45 UNIT 6263,9X12 BBQ TRAY LINER 1M/BD50# RCYL KRAFT PAPER,3825 GORDON PAPER COMPANY INC.,BUTCHERS PAPER,Custom,8.61
HEALTH SOUTH REHAB HOSPITAL,20# KRFT SO BAGS TALL 500/BDL 8-1/4x5-1/4x16-1/4,6246 ESSENDANT,BAGS GROCERY KRAFT,Custom,23.65
