CUSTOMER,ITEM,VENDOR,COMMODITY CODE,PRICE Level,UNIT PRICE
RA DELOITTE CORP EXEC BOARD,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,62.85
TRADE CTR MGT ASSOC LLC,20"X1000' 80GA STRETCH FILMWITH HANDLES  4RL/CS,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,69.35
TRADE CTR MGT ASSOC LLC,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,64.95
MOM'S ORGANIC MARKET/ WASH NL : MOM'S ORGANIC ABINGTON,18"X1500' 90GA STRETCH 4/CS HAND WRAP  S/O,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,78.99
MOM'S ORGANIC MARKET/ WASH NL : MOM'S ORGANIC OF MERRIFIELD,18"X1476' 47GA  4/CSSTEEL 70 HAND CAST FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,58.21
MOM'S ORGANIC MARKET/ WASH NL : MOM'S ORGANIC MARKET BALTIMORE,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,68.73
MOM'S ORGANIC MARKET/ WASH NL : MOM'S ORGANIC MARKET NEW JERSE,18"X1500' 80GA STRETCH 4/CSHAND FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,68.73
MOM'S ORGANIC MARKET/ WASH NL : MOM'S ORGANIC MARKET- PHILA,20"X1000' 80GA STRETCH FILMWITH HANDLES  4RL/CS,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,63.50
MOM'S ORGANIC MARKET/ WASH NL : MOM'S ORGANIC MARKET/COLUM-JES,18"X1500' 90GA STRETCH 4/CS HAND WRAP  S/O,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,78.99
HAMPTON ROADS REST EQUIPMENT,18"X1476' 47GA  4/CSSTEEL 70 HAND CAST FILM,10895 SIGMA STRETCH FILM,PALLET WRAP HAND,Custom,42.00
