CUSTOMER,ITEM,PRICE Level,COMMODITY,Current Sell,UNIT COST C/S,CURRENT GP%,LAST SALE DATE,LAST SELL C/S,LAST COST C/S,LAST GP%,LAST QUANTITY C/S,WH AVAIL C/S,COST TYPE
292142 Inverness Brewing,262294 9077-0047  3"X90 2PLY REG TAPE .45" CORE WHITE/CANARY   50/CS,Custom,BOND PAPER,54.28,46.14,15.00,N/A,N/A,N/A,N/A,N/A,44,Item Defined Cost
292142 Inverness Brewing,350087 12" PLAIN KRAFT CORR PIZZA BOX 50/BD 12X12X2 *,Custom,BOX PIZZA CORRG,16.75,12.56,25.01,N/A,N/A,N/A,N/A,N/A,105,Item Defined Cost
292142 Inverness Brewing,350084 10" B-FLUTE KRAFT PIZZA BOX 50/BD 10X10X2 CORRUGATED STOCK PRINT,Custom,BOX PIZZA CORRG,13.01,9.76,24.98,N/A,N/A,N/A,N/A,N/A,529,Item Defined Cost
292142 Inverness Brewing,350085 14" B-FLUTE KRAFT PIZZA BOX 50/BD 14X14X2 CORRUGATED STOCK PRINT,Custom,BOX PIZZA CORRG,21.03,15.77,25.01,N/A,N/A,N/A,N/A,N/A,11,Item Defined Cost
292142 Inverness Brewing,440510 2757 CHICKEN BOX 250/CS9X5X4 PLAIN WHITE TUCK TOP,Custom,C/0 BARNS BOXES,63.09,50.47,20.00,N/A,N/A,N/A,N/A,N/A,84,Item Defined Cost
292142 Inverness Brewing,500197 RCM-4347X 43X47 BLK CANLNR 100 1.5MIL COEX SUPERTUFF 3-PLY,Custom,CANLNR LIN/LOW,28.92,20.82,28.01,N/A,N/A,N/A,N/A,N/A,406,Item Defined Cost
292142 Inverness Brewing,170046 14" CORRUGATED CIRCLE 100/CS11525,Custom,CIRCLES CORRG,35.83,26.87,25.01,N/A,N/A,N/A,N/A,N/A,48,Item Defined Cost
292142 Inverness Brewing,560129 13804 PH7 NEUTRAL CLNR 4/1GAL 35#,Custom,CLEANER FLOOR,38.29,28.72,24.99,N/A,N/A,N/A,N/A,N/A,17,Item Defined Cost
292142 Inverness Brewing,031186 FC-12 12oz COMPOST FOOD CONT20/25  500/CASE COMPOSTABLE,Custom,CONT FOOD ECO,71.41,53.56,25.00,N/A,N/A,N/A,N/A,N/A,10,Item Defined Cost
292142 Inverness Brewing,031187 FC-16 16oz COMPOST FOOD CONT20/25  500/CASE COMPOSTABLE,Custom,CONT FOOD ECO,72.79,54.59,25.00,N/A,N/A,N/A,N/A,N/A,9,Item Defined Cost
292142 Inverness Brewing,101096 CHDC16240 16oz DELI COMBO 240/ MICROWAVEABLE,Custom,CONTAINER DELI,28.84,21.63,25.00,N/A,N/A,N/A,N/A,N/A,643,Item Defined Cost
292142 Inverness Brewing,101097 CHDC32240 32oz DELI COMBO 240/ MICROWAVEABLE,Custom,CONTAINER DELI,45.32,33.99,25.00,N/A,N/A,N/A,N/A,N/A,829,Item Defined Cost
292142 Inverness Brewing,100345 PET16 16OZ CLEAR PET CUP 1M PTC16-D98,Custom,CUP PET CLEAR,51.51,38.63,25.00,N/A,N/A,N/A,N/A,N/A,1001,Item Defined Cost
