Contract ID,SAP Code,Sell Price
Medstar KC CPC,1000414,57.68
Medstar KC CPC,1000417,49.91
Medstar KC CPC,1000419,27.94
Medstar KC CPC,1000420,22.3
Medstar KC CPC,1028472,41.15
Medstar KC CPC,1000423,20.94
Medstar KC CPC,1000424,20.92
Medstar KC CPC,1023753,24.36
Medstar KC CPC,1274947,39.21
Medstar KC CPC,1000428,39.52
Medstar KC CPC,1001670,37.53
Medstar KC CPC,1000433,45.12
Medstar KC CPC,1000436,27.3
Medstar KC CPC,1028159,38.01
Medstar KC CPC,1028057,73.98
Medstar KC CPC,1000439,36.98
Medstar KC CPC,1001934,40.86
Medstar KC CPC,1000441,37.48
Medstar KC CPC,1000445,42.56
Medstar KC CPC,1000446,26.03
Medstar KC CPC,1026239,33.24
Medstar KC CPC,1000464,31.57
Medstar KC CPC,1025123,33.26
Medstar KC CPC,1000467,30.81
Medstar KC CPC,1162773,51.88
Medstar KC CPC,1168284,51.88
Medstar KC CPC,1167844,51.88
Medstar KC CPC,1027810,60.12
Medstar KC CPC,1271981,15.93
Medstar KC CPC,1255796,38.72
Medstar KC CPC,1295446,31.97
Medstar KC CPC,1307048,42.18
Medstar KC CPC,1025276,25.79
