Contract ID,SAP Code,Sell Price
7401714,1000010,74.6
7401714,1000013,44.93
7401714,1000144,21.07
7401714,1000162,38.66
7401714,1000166,42.76
7401714,1000167,52.25
7401714,1000168,49.41
7401714,1000169,29.22
7401714,1000179,4.16
7401714,1000181,16.15
7401714,1000183,8.16
7401714,1000185,37.96
7401714,1000186,34.71
7401714,1000187,25.15
7401714,1000188,7.55
7401714,1000189,24.81
7401714,1000191,5.51
7401714,1000192,12.5
7401714,1000193,17.67
7401714,1000202,66.07
7401714,1000204,4.31
7401714,1000205,6.76
7401714,1000206,21.18
7401714,1000210,6.92
7401714,1000211,111.8
7401714,1000215,21.52
7401714,1000216,50.78
7401714,1000218,73.22
7401714,1000221,45.26
7401714,1000222,416.13
7401714,1000223,574.42
7401714,1000227,148.48
7401714,1000414,96.78
7401714,1000415,89.45
7401714,1000419,48.34
7401714,1000420,41.35
7401714,1000423,35.89
7401714,1000424,36.5
7401714,1000425,51.67
7401714,1000427,58.67
7401714,1000428,61.11
7401714,1000432,51.96
7401714,1000433,81.97
7401714,1000436,50.15
7401714,1000437,47.77
7401714,1000439,62.15
7401714,1000440,73.38
7401714,1000441,63.09
7401714,1000443,54.58
7401714,1000445,73.21
7401714,1000446,47.23
7401714,1000447,52.78
7401714,1000464,53.7
7401714,1000465,32.89
7401714,1000466,62.79
7401714,1000467,49.4
7401714,1000468,81.2
7401714,1000470,35.3
7401714,1000472,88.65
7401714,1000473,39.13
7401714,1000474,56.92
7401714,1000475,69.86
7401714,1000477,71.35
7401714,1000486,49.37
7401714,1000487,54.52
7401714,1000489,53.1
7401714,1000490,28.85
7401714,1000491,35.59
7401714,1000497,1.21
7401714,1000527,34.31
7401714,1000530,80.9
7401714,1000532,63.71
7401714,1000535,50.7
7401714,1000536,62.93
7401714,1000537,36.55
7401714,1000538,42.17
7401714,1000539,28.68
7401714,1000540,29.53
7401714,1000541,33.76
7401714,1000542,37.09
7401714,1000544,38.36
7401714,1000545,44.77
7401714,1000547,37.51
7401714,1000548,52.46
7401714,1000549,42.29
7401714,1000550,70.49
7401714,1000551,70.73
7401714,1000555,75.33
7401714,1000557,34.25
7401714,1000565,52.07
7401714,1000566,261.38
7401714,1000568,27.87
7401714,1000570,139.65
7401714,1000573,29.51
7401714,1000578,157.22
7401714,1000584,8.64
7401714,1000585,76.09
7401714,1000592,198.36
7401714,1000594,144.61
7401714,1000599,86.33
7401714,1000600,7.39
7401714,1000601,96.2
7401714,1000602,114.72
7401714,1000603,46.03
7401714,1000606,23.89
7401714,1000607,225.51
7401714,1000619,13.59
7401714,1000723,14.21
7401714,1000799,72.61
7401714,1000800,81.66
7401714,1000864,44.96
7401714,1001327,64.68
7401714,1001329,42.29
7401714,1001330,73.09
7401714,1001331,83.44
7401714,1001332,48.79
7401714,1001338,68.19
7401714,1001345,6.41
