Contract ID,SAP Code,Sell Price
14611,1000144,20.19
14611,1000170,62.27
14611,1000171,40.72
14611,1000189,29.45
14611,1000192,15.77
14611,1000206,20.19
14611,1000210,8.11
14611,1000433,68.43
14611,1000468,71.75
14611,1000527,24.16
14611,1000532,42.69
14611,1000535,34.37
14611,1000536,52.08
14611,1000550,52.95
14611,1000551,51.4
14611,1000555,52.25
14611,1000557,24.98
14611,1000565,43.77
14611,1000566,0.01
14611,1000573,44.04
14611,1000600,10.08
14611,1000637,49.49
14611,1001327,49.78
14611,1001338,53.18
14611,1001345,5.77
14611,1001409,23.56
14611,1001619,28.61
14611,1001670,62.87
14611,1001677,3.58
14611,1001743,7.78
14611,1001864,71.52
14611,1001865,19.38
14611,1001978,86.53
14611,1001980,13.49
14611,1001981,20.05
14611,1001985,73.43
14611,1002014,21.05
14611,1002020,23.72
14611,1002022,21.72
14611,1002079,15.41
14611,1002502,0.58
14611,1002506,24.46
14611,1002509,22.32
14611,1002511,18.31
14611,1003040,31.58
14611,1003041,30.4
14611,1003063,15.32
14611,1003083,27.11
14611,1003100,40.67
14611,1003171,30.31
14611,1003189,17.71
14611,1003205,28.36
14611,1003227,25.56
14611,1003238,12.97
14611,1003304,14.77
14611,1003382,0.01
14611,1003384,23.56
14611,1003483,23.72
14611,1003520,22.8
14611,1008289,24.46
14611,1008896,0.01
14611,1024221,47.99
14611,1024880,44.93
14611,1024956,47.76
14611,1025298,28.2
14611,1025299,51.86
14611,1025652,0.01
14611,1025750,51.74
14611,1026001,41.01
14611,1026255,0.01
14611,1026306,39.57
14611,1026840,40.72
14611,1027312,29.76
14611,1028059,60.32
14611,1028214,66.16
14611,1028397,44.37
14611,1028417,42.74
14611,1028476,2.89
14611,1028688,45.02
14611,1028707,0.62
14611,1028755,55.54
14611,1028831,57.31
14611,1050983,29.87
14611,1051139,25.93
14611,1051331,28.02
14611,1051763,31.02
14611,1051764,41.06
14611,1051820,17.81
14611,1051886,27.57
14611,1052468,28.25
14611,1052469,19.45
14611,1052910,33.93
14611,1053447,10.98
14611,1053467,26.94
14611,1053481,29.06
14611,1053550,30.53
14611,1053602,17.81
14611,1053720,14.21
14611,1053738,18.52
14611,1053780,22.7
14611,1053841,45.39
14611,1053868,24.94
14611,1054171,37.8
14611,1054184,72.89
14611,1054537,67.48
14611,1054839,45.99
14611,1054909,59.62
14611,1054958,59.62
14611,1055000,35.25
14611,1057302,26.18
14611,1057324,23.72
14611,1057501,28.02
14611,1057507,18.17
14611,1057509,29.57
14611,1057554,26.18
14611,1057557,31.88
14611,1057558,30.95
14611,1057815,30.03
14611,1069893,11.54
14611,1069998,12.67
14611,1071563,23.39
14611,1071564,1.95
14611,1071592,7.78
14611,1072212,13.6
14611,1073341,7.24
14611,1073702,10.73
14611,1073872,8.13
14611,1073885,8.99
14611,1074377,9.78
14611,1075149,11.59
14611,1075312,14.33
14611,1075319,15.83
14611,1075595,24.71
14611,1076439,11.54
14611,1076450,6.46
14611,1077109,86.21
14611,1077110,7.19
14611,1077339,11.43
14611,1077448,8.04
14611,1077490,9.53
14611,1078277,2.48
14611,1078498,47.12
14611,1078499,3.93
14611,1080310,0.62
14611,1081703,19.6
14611,1083221,27.57
14611,1083575,0.58
14611,1091188,52.74
14611,1091236,0.01
14611,1091277,23.56
14611,1091362,14.28
14611,1091426,34.88
14611,1091904,64.61
14611,1092959,70.2
14611,1093290,0.01
14611,1093552,44.91
14611,1093601,70.73
14611,1093613,50.39
14611,1095435,9.69
14611,1095945,4.67
14611,1096274,4.46
14611,1097804,4.46
14611,1097805,4.46
14611,1097899,0.01
14611,1098569,0
14611,1100887,9.42
14611,1101589,7.43
14611,1101783,4.67
14611,1101877,4.67
14611,1102430,4.67
14611,1118794,19.73
14611,1122527,30.22
14611,1140365,37.32
14611,1141025,0.62
14611,1144185,60.27
14611,1148571,14.08
14611,1153179,8.72
14611,1154421,117.38
