Account,Header Code/Type ,Document Number,Date,PO#,Original Invoice Amount,Current Total Open Amount,Acme Customer Number,Ship To Network Number

120,RI,7565795,05/02/2022,361090027660,135.15,.00,449441,
120,RI,7693863,01/10/2023,4503411816,3.39,.00,195445,
120,RI,7732319,03/30/2023,VERBAL,47.48,.00,461484,
120,RI,7795221,08/07/2023,.,79.40,.00,406125,
120,RI,7803816,08/25/2023,B04050002323,18.09,.00,406113,
120,RI,7804766,08/28/2023,B04050002326,821.82,.00,406119,
120,RI,7809631,09/07/2023,B04050002357,462.63,.00,406521,
120,RI,7812115,09/12/2023,CANTON091123,1565.52,.00,406028,
120,RI,7812355,09/12/2023,MATT WILSON,545.24,.00,406028,
120,RI,7812686,09/13/2023,KRIS,788.77,.00,406024,
120,RI,7814818,09/18/2023,50630166,36.54,.00,437478,
120,RI,7815622,09/19/2023,VERBAL,115.84,.00,461011,
120,RI,7816094,09/19/2023,TGT091823,6442.14,.00,406024,
120,RI,7816924,09/21/2023,KITS,122.97,.00,406024,
120,RI,7817695,09/22/2023,B04050002400,357.74,.00,406126,
120,RI,7819183,09/26/2023,TGT092223,1353.69,.00,406024,
120,RI,7822044,09/29/2023,VERBAL,45.11,.00,632334,
120,RI,7822649,10/03/2023,FRANK STALLINGS,700.13,.00,406521,
120,RI,7822650,10/03/2023,FRANK STALLINGS,207.46,.00,406521,
120,RI,7822895,10/03/2023,B04050002432,1808.95,.00,406110,
120,RI,7823033,10/03/2023,SF10022023,1134.67,.00,626722,
120,RI,7823171,10/03/2023,TGT10223,3212.74,.00,406024,
120,RI,7823260,10/03/2023,B04050002442,81.79,.00,406119,
120,RI,7824630,10/05/2023,B04060002363,815.37,.00,406004,
120,RI,7825749,10/09/2023,B04050002428,69.79,.00,406520,
120,RI,7826780,10/10/2023,B04050002466,129.40,.00,406112,
120,RI,7827698,10/12/2023,FRANK STALLINGS,68.99,.00,406521,
120,RI,7828637,10/13/2023,0047,511.10,.00,499301,
120,RI,7829333,10/16/2023,0047,222.52,.00,499301,
120,RI,7830939,10/18/2023,53478581,56.85,.00,449302,
120,RI,7831124,10/18/2023,TGT101623,876.41,.00,406024,
120,RI,7831455,10/18/2023,TGT092223,1839.79,.00,406024,
120,RI,7833072,10/23/2023,B04610039723,431.98,.00,740183,
120,RI,7834252,10/24/2023,TGT092223,561.91,.00,406024,
120,RI,7834298,10/25/2023,B04050002508,103.95,.00,406520,
120,RI,7834351,10/25/2023,B04610039293,86.65,.00,461807,
120,RI,7834361,10/25/2023,B04610039605,90.39,.00,740183,
120,RI,7834766,10/25/2023,B04050002510,604.87,.00,406103,
120,RI,7835040,10/25/2023,FRANK STALLINGS,156.16,.00,406521,
120,RI,7835066,10/26/2023,0047,229.35,.00,499301,
120,RI,7835107,10/26/2023,IAN SCHEFF,198.01,.00,406117,
120,RI,7835349,10/26/2023,B04050002511,1400.22,.00,406020,
120,RI,7835374,10/26/2023,B04050002512,898.69,.00,406105,
120,RI,7835551,10/26/2023,B04050002515,472.72,.00,406521,
120,RI,7835701,10/26/2023,B04050002441,89.72,.00,406521,
120,RI,7836553,10/30/2023,B04050002510,37.21,.00,406103,
120,RI,7836939,10/30/2023,B04050002516,668.90,.00,406119,
120,RI,7837146,10/30/2023,MATT WILSON,663.97,.00,406028,
120,RI,7837211,10/30/2023,B04050002443,13.36,.00,406028,
120,RI,7837223,10/31/2023,B04050002518,1444.09,.00,406126,
120,RI,7837241,10/31/2023,B04610040124,29.56,.00,461615,
120,RI,7837316,10/31/2023,B04050002519,1483.06,.00,406106,
120,RI,7837499,10/31/2023,B04050002517,1500.27,.00,406110,
120,RI,7837511,10/31/2023,B04050002520,764.79,.00,406108,
120,RI,7837551,10/31/2023,TGT103023,1328.06,.00,406024,
120,RI,7837554,10/31/2023,B04050002522,2080.12,.00,406125,
120,RI,7837601,10/31/2023,B04050002523,1457.15,.00,406111,
120,RI,7837654,10/31/2023,B04050002525,858.48,.00,406115,
120,RI,7837694,10/31/2023,B04050002526,1584.34,.00,406107,
120,RI,7837714,10/31/2023,TGT092223,34.48,.00,406024,
120,RI,7837758,10/31/2023,B04050002527,1232.18,.00,406103,
120,RI,7837921,10/31/2023,TGT092223,318.17,.00,406024,
120,RI,7837965,11/01/2023,DRINK MACHINE PARTS,172.44,.00,194661,
120,RI,7838339,11/01/2023,B04050002528,1037.66,.00,406028,
120,RI,7838409,11/01/2023,B04050002530,881.89,.00,406112,
120,RI,7838773,11/02/2023,B04050002526,37.68,.00,406107,
120,RI,7838775,11/02/2023,TOILET TISSUE,61.76,.00,406126,
120,RI,7839104,11/02/2023,B04050002532,1346.65,.00,406101,
120,RI,7839109,11/02/2023,B04050002533,1153.47,.00,406020,
120,RI,7839157,11/02/2023,B04050002534,1400.13,.00,406113,
120,RI,7839798,11/03/2023,B04050002535,775.45,.00,406520,
120,RI,7840363,11/06/2023,0047/010047,162.78,.00,499301,
120,RI,7840663,11/06/2023,B04050002536,609.31,.00,406119,
120,RI,7841070,11/07/2023,B04050002544,1184.10,.00,406106,
120,RI,7841152,11/07/2023,SHORTED,281.01,.00,406520,
120,RI,7841202,11/07/2023,B04050002537,1383.54,.00,406110,
120,RI,7841206,11/07/2023,B04050002538,589.03,.00,406108,
120,RI,7841207,11/07/2023,B04050002539,1505.37,.00,406105,
120,RI,7841208,11/07/2023,B04050002540,195.15,.00,406108,
120,RI,7841299,11/07/2023,B04050002541,1758.52,.00,406125,
120,RI,7841394,11/07/2023,B04050002542,741.13,.00,406115,
120,RI,7841417,11/07/2023,B04050002543,962.85,.00,406107,
120,RI,7841455,11/07/2023,B04050002545,1202.51,.00,406103,
120,RI,7841482,11/07/2023,GTCAN110623,792.87,.00,406028,
120,RI,7841505,11/07/2023,B04050002546,1123.83,.00,406112,
120,RI,7841601,11/07/2023,B04050002548,1220.82,.00,406111,
120,RI,7841632,11/07/2023,B04050002517,10.59,.00,406110,
120,RI,7841641,11/07/2023,B04050002503,16.42,.00,406107,
120,RI,7841654,11/07/2023,B04050002535,29.00,.00,406520,
120,RI,7841743,11/08/2023,FRED,84.27,.00,406105,
120,RI,7842016,11/08/2023,TGT11623,1359.30,.00,406024,
120,RI,7842158,11/08/2023,B04050002550,328.54,.00,406111,
120,RI,7842785,11/09/2023,B04050002551,1333.98,.00,406020,
120,RI,7842812,11/09/2023,MATT,176.63,.00,406028,
120,RI,7842842,11/09/2023,B04050002553,1054.33,.00,406113,
120,RI,7843143,11/09/2023,B04050002533,8.01,.00,406020,
120,RI,7843252,11/10/2023,KATIE,57.35,.00,406117,
120,RI,7843270,11/10/2023,.,73.30,.00,406028,
120,RI,7843305,11/10/2023,B04050002555,206.67,.00,406106,
120,RI,7843414,11/10/2023,LB110823,3620.49,.00,626722,
120,RI,7843448,11/10/2023,B04050002554,860.49,.00,406520,
120,RI,7844243,11/13/2023,B04050002556,563.01,.00,406119,
120,RI,7844540,11/14/2023,B04050002558,1423.56,.00,406126,
120,RI,7844613,11/14/2023,B04050002559,1194.80,.00,406106,
120,RI,7844634,11/14/2023,0040,67.82,.00,499301,
120,RI,7844765,11/14/2023,B04050002557,1164.03,.00,406110,
120,RI,7844776,11/14/2023,B04050002560,491.91,.00,406108,
120,RI,7844836,11/14/2023,TGT111323,721.58,.00,406024,
120,RI,7844891,11/14/2023,B04050002562,628.32,.00,406105,
120,RI,7844929,11/14/2023,B04050002564,910.88,.00,406520,
120,RI,7844933,11/14/2023,B04050002565,798.88,.00,406115,
120,RI,7844938,11/14/2023,B04050002566,1121.08,.00,406107,
120,RI,7844966,11/14/2023,B04050002567,1665.00,.00,406125,
120,RI,7845031,11/14/2023,CANTON111323,595.36,.00,406028,
120,RI,7845074,11/14/2023,B04050002569,1332.13,.00,406111,
120,RI,7845163,11/14/2023,B04050002541,200.79,.00,406125,
120,RI,7845181,11/14/2023,TGT103023,26.24,.00,406024,
120,RI,7845195,11/14/2023,TGT092223,103.45,.00,406024,
120,RI,7845270,11/15/2023,JOHN,65.19,.00,406115,
120,RI,7845278,11/15/2023,WILL CALL,255.60,.00,407300,
120,RI,7845578,11/15/2023,B04050002570,1391.41,.00,406112,
120,RI,7845663,11/15/2023,B04050002571,207.67,.00,406119,
120,RI,7845716,11/15/2023,B04050002572,1223.89,.00,406103,
120,RI,7845912,11/15/2023,TGT111323,106.15,.00,406024,
120,RI,7845913,11/15/2023,CANTON111323,283.06,.00,406028,
120,RI,7845914,11/15/2023,B04050002562,176.91,.00,406105,
120,RI,7845915,11/15/2023,B04050002560,141.53,.00,406108,
120,RI,7845965,11/16/2023,WILL CALL,290.60,.00,407300,
120,RI,7846033,11/16/2023,HINGED,140.92,.00,406126,
120,RI,7846313,11/16/2023,B04050002573,1468.29,.00,406020,
120,RI,7846356,11/16/2023,B04050002575,1347.67,.00,406113,
120,RI,7846414,11/16/2023,B04050002576,143.52,.00,406113,
120,RI,7846720,11/17/2023,IAN SCHEFF,346.19,.00,406117,
120,RI,7846826,11/17/2023,NURSING,28.17,.00,885700,
