Contract ID,SAP Code,Sell Price
405/406 0524,1000206,22.26
405/406 0524,1003055,4.73
405/406 0524,1034128,5.78
405/406 0524,1339559,65.8
405/406 0524,1383531,30.83
405/406 0524,1383533,44.17
405/406 0524,1390118,38.56
405/406 0524,1021250,0
405/406 0524,1023645,25.85
405/406 0524,1025742,39.71
405/406 0524,1188344,28.8
405/406 0524,1220796,52.78
405/406 0524,1240480,55.95
405/406 0524,1300905,46.87
405/406 0524,1199912,224.94
405/406 0524,1347856,64.16
405/406 0524,1347857,83.7
405/406 0524,1351926,229.27
405/406 0524,1013252,119.08
405/406 0524,1116036,66.46
405/406 0524,1124608,89.96
405/406 0524,1141405,74.19
405/406 0524,1142315,48.53
405/406 0524,1142890,124.88
405/406 0524,1199079,33.23
405/406 0524,1262849,97.06
405/406 0524,1267952,124.26
405/406 0524,1299558,28.28
405/406 0524,1341831,116.85
405/406 0524,1349036,83.46
405/406 0524,1358570,38.18
405/406 0524,1111314,10.62
405/406 0524,1111317,10.62
405/406 0524,1111319,10.62
405/406 0524,1111320,10.62
405/406 0524,1111321,10.62
405/406 0524,1111322,10.62
405/406 0524,1111323,10.62
405/406 0524,1115484,24.42
405/406 0524,1222639,3.41
405/406 0524,1222640,3.41
405/406 0524,1222641,3.41
405/406 0524,1222642,3.41
405/406 0524,1222643,3.41
405/406 0524,1222644,3.41
405/406 0524,1239597,3.41
405/406 0524,1258057,28.38
405/406 0524,1258059,28.38
405/406 0524,1258060,28.38
405/406 0524,1258062,28.38
405/406 0524,1258063,28.38
405/406 0524,1258064,28.38
405/406 0524,1258065,28.38
405/406 0524,1274513,13.06
405/406 0524,1140421,17.55
405/406 0524,1177637,17.55
405/406 0524,1180120,17.55
405/406 0524,1183944,17.55
405/406 0524,1195838,31.85
405/406 0524,1195839,31.85
405/406 0524,1355537,31.85
405/406 0524,1371436,31.85
