Contract ID,SAP Code,Sell Price
Vizient_50025713_Diversey T2,1000641,71.95
Vizient_50025713_Diversey T2,1000367,96.78
Vizient_50025713_Diversey T2,1000384,98.53
Vizient_50025713_Diversey T2,1000654,12.75
Vizient_50025713_Diversey T2,1000047,23.22
Vizient_50025713_Diversey T2,1083222,20.89
Vizient_50025713_Diversey T2,1083282,23.4
Vizient_50025713_Diversey T2,1083380,20.89
Vizient_50025713_Diversey T2,1085320,62.32
Vizient_50025713_Diversey T2,1000637,40.84
Vizient_50025713_Diversey T2,1000348,35.41
Vizient_50025713_Diversey T2,1000069,70.66
Vizient_50025713_Diversey T2,1000068,47.33
Vizient_50025713_Diversey T2,1000655,63.71
Vizient_50025713_Diversey T2,1000386,41.27
Vizient_50025713_Diversey T2,1086119,40.28
Vizient_50025713_Diversey T2,1000659,35.61
Vizient_50025713_Diversey T2,1086166,80.52
Vizient_50025713_Diversey T2,1087091,32.49
Vizient_50025713_Diversey T2,1000630,45.48
Vizient_50025713_Diversey T2,1000366,62.78
Vizient_50025713_Diversey T2,1000371,58.15
Vizient_50025713_Diversey T2,1087807,69.55
Vizient_50025713_Diversey T2,1000082,44.76
Vizient_50025713_Diversey T2,1088354,100.41
Vizient_50025713_Diversey T2,1003568,35.06
Vizient_50025713_Diversey T2,1144131,139.25
Vizient_50025713_Diversey T2,1000652,81.58
Vizient_50025713_Diversey T2,1000651,68.46
Vizient_50025713_Diversey T2,1089485,83.8
Vizient_50025713_Diversey T2,1089486,77.62
Vizient_50025713_Diversey T2,1089618,72.09
Vizient_50025713_Diversey T2,1089619,68.42
Vizient_50025713_Diversey T2,1089621,48.07
Vizient_50025713_Diversey T2,1089638,449.92
Vizient_50025713_Diversey T2,1003282,90.57
Vizient_50025713_Diversey T2,1000398,72.8
Vizient_50025713_Diversey T2,1003281,61.37
Vizient_50025713_Diversey T2,1000399,51.53
Vizient_50025713_Diversey T2,1000400,68.44
Vizient_50025713_Diversey T2,1003562,95.51
Vizient_50025713_Diversey T2,1000667,57.28
Vizient_50025713_Diversey T2,1000401,72.17
Vizient_50025713_Diversey T2,1000395,58.8
Vizient_50025713_Diversey T2,1000393,69.97
Vizient_50025713_Diversey T2,1000394,133.99
Vizient_50025713_Diversey T2,1000402,61.03
Vizient_50025713_Diversey T2,1003243,78.37
Vizient_50025713_Diversey T2,1142103,90.77
Vizient_50025713_Diversey T2,1000404,118.7
Vizient_50025713_Diversey T2,1000514,60.47
Vizient_50025713_Diversey T2,1089868,87.78
Vizient_50025713_Diversey T2,1089882,71.84
Vizient_50025713_Diversey T2,1089889,71.87
