Contract ID,SAP Code,Sell Price
iBuy0810724,1000004,1.2
iBuy0810724,1000014,55.46
iBuy0810724,1000414,78.67
iBuy0810724,1000415,69.04
iBuy0810724,1000417,66.47
iBuy0810724,1000419,34.72
iBuy0810724,1000420,30.5
iBuy0810724,1000423,26.92
iBuy0810724,1000424,26.52
iBuy0810724,1000425,40.21
iBuy0810724,1000428,51.68
iBuy0810724,1000433,62.87
iBuy0810724,1000437,41.99
iBuy0810724,1000441,44.45
iBuy0810724,1000443,44.57
iBuy0810724,1000444,54.38
iBuy0810724,1000446,37
iBuy0810724,1000447,40.88
iBuy0810724,1000464,35.77
iBuy0810724,1000465,25.38
iBuy0810724,1000466,47.56
iBuy0810724,1000467,37.44
iBuy0810724,1000468,70.38
iBuy0810724,1000471,38.35
iBuy0810724,1000473,31.54
iBuy0810724,1000474,40.03
iBuy0810724,1000486,44.59
iBuy0810724,1000487,50.69
iBuy0810724,1000489,49.64
iBuy0810724,1000491,33.5
iBuy0810724,1000565,55.72
iBuy0810724,1000868,50.06
iBuy0810724,1001234,29.56
iBuy0810724,1001326,56.4
iBuy0810724,1001409,41.89
iBuy0810724,1001670,47.02
iBuy0810724,1001771,20.89
iBuy0810724,1001919,42.95
iBuy0810724,1001934,51.29
iBuy0810724,1002010,28.13
iBuy0810724,1002011,19.43
iBuy0810724,1002014,23.15
iBuy0810724,1002020,28.13
iBuy0810724,1002021,34.4
iBuy0810724,1002022,26.48
iBuy0810724,1003040,38.92
iBuy0810724,1003041,41.08
iBuy0810724,1003063,18
iBuy0810724,1003083,33.26
iBuy0810724,1003095,34.16
iBuy0810724,1003100,55.24
iBuy0810724,1003101,18.42
iBuy0810724,1003102,26.62
iBuy0810724,1003109,26.48
iBuy0810724,1003137,33.26
iBuy0810724,1003204,40.44
iBuy0810724,1003205,35.32
iBuy0810724,1003227,32.93
iBuy0810724,1003228,28.25
iBuy0810724,1003387,16.78
iBuy0810724,1003454,35.82
iBuy0810724,1003483,29.02
iBuy0810724,1003520,27.85
iBuy0810724,1003772,59.13
iBuy0810724,1004301,53.8
iBuy0810724,1004351,122.74
iBuy0810724,1004352,68.79
iBuy0810724,1004353,62.28
iBuy0810724,1004674,61.35
iBuy0810724,1006516,68.86
iBuy0810724,1007452,30.56
iBuy0810724,1007862,49.51
iBuy0810724,1008159,45.43
iBuy0810724,1008185,31.24
iBuy0810724,1008383,68.81
iBuy0810724,1009459,45.96
iBuy0810724,1009738,93.94
iBuy0810724,1009933,77.59
iBuy0810724,1010214,185.1
iBuy0810724,1010231,144.05
iBuy0810724,1010233,163.46
iBuy0810724,1010234,194.85
iBuy0810724,1010238,152.28
iBuy0810724,1010287,144.29
iBuy0810724,1010455,151.11
iBuy0810724,1010465,127.98
iBuy0810724,1010479,182.04
iBuy0810724,1010511,73.48
iBuy0810724,1010516,74.63
iBuy0810724,1010526,82.81
iBuy0810724,1010528,75.6
iBuy0810724,1010530,36.34
iBuy0810724,1010541,108.2
iBuy0810724,1010559,135.71
iBuy0810724,1010725,114.68
iBuy0810724,1010727,119.84
