CUSTOMER,ITEM,PRICE Level,COMMODITY, Current Sell 
703409 REVELER'S HOUR,510791 BLEACH PURE BRIGHT  6/1GALGERMICIDAL,Custom,DISINFECTANTS,$26.37 
703409 REVELER'S HOUR,510695 CH9620 6X9 NYLON SCOURING 20CSGREEN CHESAPEAKE,Custom,PAD HAND MISC,$5.60 
703409 REVELER'S HOUR,502422 24X24 6MIC Clear Canliner 20/50/CS 7-10 GALLON,Custom,CANLNR HI D ROLL,$16.13 
703409 REVELER'S HOUR,944502 30502 LIQUID WAX 10HR 144/CS,Custom,LIQUID FUEL CELL,$70.10 
703409 REVELER'S HOUR,372598 17CPRCB58 58oz BLK RECT CONT,Custom,CONTNR MICROWAVE,$84.47 
703409 REVELER'S HOUR,430767 182294 12X16 GUEST TOWEL 1M/CS LINEN-LIKE 1/6 FOLD,Custom,NAPKINS DINNER,$79.09 
703409 REVELER'S HOUR,101096 CHDC16240 16oz DELI COMBO 240/ MICROWAVEABLE,Custom,CONTAINER DELI,$28.84 
703409 REVELER'S HOUR,372582 CHB888 38OZ RECT COMBO 150/CS 0,Custom,CONTNR MICROWAVE,$35.31 
703409 REVELER'S HOUR,372590 CHB8168 16OZ RECT BLK COMBO 150/CS,Custom,CONTNR MICROWAVE,$27.96 
703409 REVELER'S HOUR,330898 MED POWDR FREE LATEX GLOVE 1M 10/100 NATRUFIT FL202,Custom,LATEX GLOVES,$39.05 
703409 REVELER'S HOUR,330899 LG POWDR FREE LATEX GLOVE 1M 10/100 NATRUFIT FL203,Custom,LATEX GLOVES,$39.05 
703409 REVELER'S HOUR,500195 38X53 1.7MIL BLK CANLNR 100/CS RCM-3853X COEX SUPERTUFF 3-PLY,Custom,CANLNR LIN/LOW,$26.47 
703409 REVELER'S HOUR,510301 GRILL BRICKS GB12TSH 12/CS,Custom,GRILL BRICK/SCRE,$26.95 
703409 REVELER'S HOUR,450201 MB200 WHITE M/F TOWEL 16/250/C,Custom,TOWEL MULTIFOLD,$27.33 
703409 REVELER'S HOUR,013213 9.65X4.92X13 BROWN SHOPPER MISSY    100GSM    250/CS,Custom,SHOPPERS BROWN,$47.04 
703409 REVELER'S HOUR,011127 12X8X13 BROWN SHOPPER 250/CS TWIST HANDLE   100GSM,Custom,SHOPPERS BROWN,$51.59 
703409 REVELER'S HOUR,010318 PB675675 SAND POLY BAG 2M/CS6.75X6.75 LI32204,Custom,BAG SAND POLY,$7.04 
703409 REVELER'S HOUR,243110 4LB KRAFT TAKEOUT BX 160/CS100460 ECO-BOX,Custom,BIOPAK,$47.05 
703409 REVELER'S HOUR,243122 8LB KRAFT TAKEOUT BX 300/CS100860 ECO-BOX,Custom,BIOPAK,$57.34 
703409 REVELER'S HOUR,450534 MFK Kraft Multifold Towel 4M/CS,Custom,TOWEL MULTIFOLD,$20.60 
703409 REVELER'S HOUR,458005 FOODSERVICE PINK WET WIPE 200/CHESAPEAKE WIPER,Custom,WIPER FOODSVC,$19.41 
703409 REVELER'S HOUR,"527079 .94""X60YD PAINTER'S TAPE BLUE 2090-24EVP  24/CS",Custom,TAPE,$95.09 
703409 REVELER'S HOUR,557218 AZU1L REFRESH AZURE FOAM SOAP 6/1LTR  HAND SOAP,Custom,SOAP HAND,$59.83 
703409 REVELER'S HOUR,223127 HD-12 FUEL CELL 12HR 144/CSSTOCK,Custom,LIQUID FUEL CELL,$92.41 
703409 REVELER'S HOUR,330304 BLACK NITRILE GLOVES MD 1M/CS,Custom,NITRILE GLOVES,$34.33 
703409 REVELER'S HOUR,330305 Large Black Nitrile Gloves 1M/CS,Custom,NITRILE GLOVES,$34.33 
703409 REVELER'S HOUR,550126 HD26 FUEL CELL 26HR Clear 60/CS,Custom,LIQUID FUEL CELL,$65.52 
703409 REVELER'S HOUR,510561 CHEESECLOTH 20X12 #10 10/CS100YDS PER BOLT BLEACHED,Custom,RAGS,$51.84 
703409 REVELER'S HOUR,310053 ACM182 18X2M FOODSERVICE FILM,Custom,FILM FOODSERV,$17.15 
703409 REVELER'S HOUR,"218081 83000.18081  21"" PASTRY BAG HD10/CS 100/ROLL DISP -",Custom,PASTRY BAGS-TIPS,$19.73 
703409 REVELER'S HOUR,"511377 00578 MOP HEAD #24 12/CS 1.25"" BAND",Custom,MOPS WET,$3.30 
703409 REVELER'S HOUR,514952 3X5 GREASE MAT BLACK TOPDEK JR 2530-C5  GREASE PROOF  S/O,Custom,MATTING,$58.67 
703409 REVELER'S HOUR,"224416 4416HD/12 TONG HINGE 16"" HD EASTOCK",Custom,TONGS,$11.22 
703409 REVELER'S HOUR,512323 434SPB S/S SPONGES 6/12/CS STAINLESS STEEL,Custom,SPONGES METAL,$5.04 
