Contract ID,SAP Code,Sell Price
7540424,1000010,71.36
7540424,1000013,42.98
7540424,1000144,20.15
7540424,1000162,36.98
7540424,1000166,40.91
7540424,1000167,49.98
7540424,1000168,47.26
7540424,1000169,27.95
7540424,1000179,3.98
7540424,1000181,15.45
7540424,1000183,7.8
7540424,1000185,36.31
7540424,1000186,33.2
7540424,1000187,24.05
7540424,1000188,7.22
7540424,1000189,23.73
7540424,1000191,5.27
7540424,1000192,11.96
7540424,1000193,16.9
7540424,1000202,63.2
7540424,1000204,4.12
7540424,1000205,6.47
7540424,1000206,20.26
7540424,1000210,6.62
7540424,1000211,106.94
7540424,1000215,20.58
7540424,1000216,48.57
7540424,1000218,70.04
7540424,1000221,43.29
7540424,1000222,398.04
7540424,1000223,549.45
7540424,1000227,142.03
7540424,1000414,92.58
7540424,1000415,85.56
7540424,1000419,46.24
7540424,1000420,39.55
7540424,1000423,34.33
7540424,1000424,34.91
7540424,1000425,49.43
7540424,1000427,56.12
7540424,1000428,58.45
7540424,1000432,49.7
7540424,1000433,78.41
7540424,1000436,47.97
7540424,1000437,45.7
7540424,1000439,59.45
7540424,1000440,70.19
7540424,1000441,60.35
7540424,1000443,52.2
7540424,1000445,70.03
7540424,1000446,45.18
7540424,1000447,50.49
7540424,1000464,51.37
7540424,1000465,31.46
7540424,1000466,60.06
7540424,1000467,47.25
7540424,1000468,77.67
7540424,1000470,33.76
7540424,1000472,84.8
7540424,1000473,37.43
7540424,1000474,54.45
7540424,1000475,66.82
7540424,1000477,68.25
7540424,1000486,47.23
7540424,1000487,52.15
7540424,1000489,50.79
7540424,1000490,27.59
7540424,1000491,34.04
7540424,1000497,1.16
7540424,1000527,32.82
7540424,1000530,77.38
7540424,1000532,60.94
7540424,1000535,48.5
7540424,1000536,60.19
7540424,1000537,34.96
7540424,1000538,40.34
7540424,1000539,27.43
7540424,1000540,28.24
7540424,1000541,32.29
7540424,1000542,35.48
7540424,1000544,36.69
7540424,1000545,42.83
7540424,1000547,35.88
7540424,1000548,50.18
7540424,1000549,40.45
7540424,1000550,67.42
7540424,1000551,67.66
7540424,1000555,72.05
7540424,1000557,32.76
7540424,1000565,49.81
7540424,1000566,250.02
7540424,1000568,26.66
7540424,1000570,133.58
7540424,1000573,28.23
7540424,1000578,150.38
7540424,1000584,8.26
7540424,1000585,72.78
7540424,1000592,189.74
7540424,1000594,138.32
7540424,1000599,82.58
7540424,1000600,7.07
7540424,1000601,92.02
7540424,1000602,109.73
7540424,1000603,44.03
7540424,1000606,22.85
7540424,1000607,215.71
7540424,1000619,13
7540424,1000723,13.59
7540424,1000799,69.45
7540424,1000800,78.11
7540424,1000864,43
7540424,1001327,61.87
7540424,1001329,40.45
7540424,1001330,69.91
7540424,1001331,79.81
7540424,1001332,46.67
