Contract ID,SAP Code,Sell Price
912Vizient-Medstar,1027738,32.83
912Vizient-Medstar,1025131,56.69
912Vizient-Medstar,1025713,44.41
912Vizient-Medstar,1330836,54.29
912Vizient-Medstar,1000527,22.37
912Vizient-Medstar,1000161,33.31
912Vizient-Medstar,1002505,22.56
912Vizient-Medstar,1002506,22.37
912Vizient-Medstar,1026144,44.5
912Vizient-Medstar,1026186,22.21
912Vizient-Medstar,1152270,29.83
912Vizient-Medstar,1148195,48.06
912Vizient-Medstar,1026001,48.81
912Vizient-Medstar,1026002,38.99
912Vizient-Medstar,1026121,39.26
912Vizient-Medstar,1000532,45.11
912Vizient-Medstar,1000535,34.94
912Vizient-Medstar,1218438,27.22
912Vizient-Medstar,1214864,36.56
912Vizient-Medstar,1170565,39.08
912Vizient-Medstar,1028822,68.37
912Vizient-Medstar,1028759,70.86
912Vizient-Medstar,1028599,91.1
912Vizient-Medstar,1028495,38.25
912Vizient-Medstar,1028496,29.78
912Vizient-Medstar,1027740,57.47
912Vizient-Medstar,1027773,46.57
912Vizient-Medstar,1028372,88.67
912Vizient-Medstar,1027991,89.21
912Vizient-Medstar,1028514,65.39
912Vizient-Medstar,1028500,56.85
912Vizient-Medstar,1028823,65.24
912Vizient-Medstar,1024464,49.08
912Vizient-Medstar,1003477,22.28
912Vizient-Medstar,1000864,24.47
912Vizient-Medstar,1000537,23.52
912Vizient-Medstar,1000162,21.32
912Vizient-Medstar,1023833,20.58
912Vizient-Medstar,1001329,26.59
912Vizient-Medstar,1000538,26.94
912Vizient-Medstar,1023773,17.62
912Vizient-Medstar,1220844,66.4
912Vizient-Medstar,1023906,18.92
912Vizient-Medstar,1000539,18.52
912Vizient-Medstar,1000540,18.79
912Vizient-Medstar,1000541,22.83
912Vizient-Medstar,1028026,54.02
912Vizient-Medstar,1027987,79.25
912Vizient-Medstar,1027778,56.85
912Vizient-Medstar,1028268,57.2
912Vizient-Medstar,1000542,21.32
912Vizient-Medstar,1024444,36.61
912Vizient-Medstar,1001619,23.17
912Vizient-Medstar,1000544,21.94
912Vizient-Medstar,1145607,52.25
912Vizient-Medstar,1145606,45.37
912Vizient-Medstar,1282437,71.55
912Vizient-Medstar,1282435,65.97
912Vizient-Medstar,1000545,27.97
912Vizient-Medstar,1157604,28.95
912Vizient-Medstar,1002500,29.48
912Vizient-Medstar,1000547,24.01
912Vizient-Medstar,1024294,28.32
912Vizient-Medstar,1024278,40.45
912Vizient-Medstar,1024302,34.51
912Vizient-Medstar,1024369,30.82
912Vizient-Medstar,1000548,35.12
912Vizient-Medstar,1024280,24.2
912Vizient-Medstar,1356461,56.93
912Vizient-Medstar,1000549,29.54
