FieldID,name,unitname,pluralname,abbreviation,pluralabbreviation,conversionrate,inuse,baseunit,ss_error_col
Field Name,Type Name,Name,Plural Name,Abbreviation,Plural Abbreviation,Conversion Rate,In Use,Base Unit,Errors: Reserved
Field Description,Name of the unit of Measure Record that will be added/updated.  Each unitName field will be added as a separate line matched to this name.,The name of the unit under the units sublist.,The plural name of the unit of measure.,The abbreviation of the singular name.,The abbreviation of the plural name.,The conversion rate of the unit of measure.,Whether or not the current unit of measure is in use.,Is the the base unit for the units type? The first unit name in a unit type MUST be the base unit for that unit type. Not doing so will cause this to fail.,Leave this blank. This is used to sort error lines when errors are returned.
Sublist,,uom,uom,uom,uom,uom,uom,uom,
Mandatory Field?,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Character Limit?,,,,,,,,,
Search Type,,,,,,,,,
Data Type,String,String,String,String,String,Number,Boolean,Boolean,
Special Field,,,,,,,,,
Linked Field,,,,,,,,,
Duplicates Permitted?,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,
Search Id,,,,,,,,,
,Mass (lbs),Pound,Pounds,lb,lbs,1,TRUE,TRUE,
,Mass (lbs),Kilogram,Kilograms,kg,kgs,2.20462442,TRUE,FALSE,
,Mass (lbs),Ounce,Ounces,oz,ozs,0.0625,TRUE,FALSE,
,Mass (lbs),Gram,Grams,g,gs,0.002204624,TRUE,FALSE,
,Mass (lbs),Miligram,Miligrams,mg,mgs,2.20462E-06,TRUE,FALSE,
,Mass (lbs),US Ton,US Tons,ton,tons,2000,TRUE,FALSE,
,Mass (lbs),Tonne,Tonnes,t,ts,2204.62442,TRUE,FALSE,
,Mass (kg),Kilogram,Kilograms,kg,kgs,1,TRUE,TRUE,
,Mass (kg),Pound,Pounds,lb,lbs,0.453592909,TRUE,FALSE,
,Mass (kg),Ounce,Ounces,oz,ozs,0.028349493,TRUE,FALSE,
,Mass (kg),Gram,Grams,g,gs,0.001,TRUE,FALSE,
,Mass (kg),Miligram,Miligrams,mg,mgs,0.000001,TRUE,FALSE,
,Mass (kg),US Ton,US Tons,ton,tons,907.1858189,TRUE,FALSE,
,Mass (kg),Tonne,Tonnes,t,ts,1000,TRUE,FALSE,
,Volume (Gal),Gallon,Gallons,Gal,Gals,1,TRUE,TRUE,
,Volume (Gal),Liter,Liters,L,L,0.264172177,TRUE,FALSE,
,Volume (Gal),Fluid Ounce,Fluid Ounces,fl oz.,fl oz.,0.0078125,TRUE,FALSE,
,Volume (Gal),Milliliter,Milliliters,ml,mls,0.000264172,TRUE,FALSE,
,Volume (L),Liter,Liters,L,L,1,TRUE,TRUE,
,Volume (L),Gallon,Gallons,Gal,Gals,3.785412534,TRUE,FALSE,
,Volume (L),Fluid Ounce,Fluid Ounces,fl oz.,fl oz.,0.029573549,TRUE,FALSE,
,Volume (L),Milliliter,Milliliters,ml,mls,0.001,TRUE,FALSE,
,Each,Each,Eaches,Ea,Eas,1,TRUE,TRUE,
,Time (min),Minute,Minutes,min,mins,1,TRUE,TRUE,
